ID,Species,Colony,Treatment,percent_change
123,Pseudodiploria clivosa,C,Untreated,-20.710059171597635
124,Pseudodiploria clivosa,B,Untreated,-14.520958083832337
133,Pseudodiploria clivosa,B,Untreated,-3.231292517006803
5,Pseudodiploria clivosa,A,Untreated,4.724409448818897
12,Pseudodiploria clivosa,B,Untreated,-11.790393013100436
29,Pseudodiploria clivosa,B,Untreated,-4.448105436573312
30,Pseudodiploria clivosa,A,Untreated,-0.5444646098003629
38,Pseudodiploria clivosa,C,Untreated,-6.606606606606606
32,Pseudodiploria clivosa,B,Untreated,-11.975116640746501
33,Pseudodiploria clivosa,A,Untreated,-18.07044410413476
91,Pseudodiploria clivosa,C,Untreated,-0.4716981132075472
139,Pseudodiploria clivosa,B,Untreated,-17.269736842105264
142,Pseudodiploria clivosa,A,Untreated,-10.245310245310245
26,Pseudodiploria clivosa,A,Untreated,-1.2433392539964476
61,Pseudodiploria clivosa,A,Untreated,-5.194805194805195
82,Pseudodiploria clivosa,C,Untreated,-19.897084048027445
146,Pseudodiploria clivosa,B,Untreated,2.5423728813559325
148,Pseudodiploria clivosa,C,Untreated,-24.418604651162788
57,Pseudodiploria clivosa,A,Untreated,-11.88707280832095
72,Pseudodiploria clivosa,C,Untreated,-15.292096219931272
93,Pseudodiploria clivosa,B,Untreated,-26.398852223816355
19,Pseudodiploria clivosa,A,Treated,-9.090909090909092
25,Pseudodiploria clivosa,A,Treated,7.915993537964459
96,Pseudodiploria clivosa,B,Treated,4.25531914893617
114,Pseudodiploria clivosa,B,Treated,-19.899665551839465
121,Pseudodiploria clivosa,A,Treated,-2.814814814814815
11,Pseudodiploria clivosa,A,Treated,-11.204268292682928
62,Pseudodiploria clivosa,C,Treated,2.535211267605634
75,Pseudodiploria clivosa,A,Treated,9.516129032258064
119,Pseudodiploria clivosa,A,Treated,-21.460506706408346
132,Pseudodiploria clivosa,A,Treated,15.220949263502456
21,Pseudodiploria clivosa,A,Treated,2.14168039538715
76,Pseudodiploria clivosa,C,Treated,5.278592375366569
86,Pseudodiploria clivosa,A,Treated,4.8120300751879705
94,Pseudodiploria clivosa,C,Treated,7.286821705426356
141,Pseudodiploria clivosa,A,Treated,-13.274336283185843
31,Pseudodiploria clivosa,C,Treated,-13.275613275613276
51,Pseudodiploria clivosa,C,Treated,0
65,Pseudodiploria clivosa,B,Treated,-25.63739376770538
90,Pseudodiploria clivosa,B,Treated,-12.275449101796406
99,Pseudodiploria clivosa,B,Treated,-3.862660944206009
48,Pseudodiploria clivosa,C,Treated,2.0895522388059704
74,Pseudodiploria clivosa,C,Treated,8.181818181818182
101,Pseudodiploria clivosa,A,Treated,18.92744479495268
106,Pseudodiploria clivosa,C,Treated,-9.870550161812297
107,Pseudodiploria clivosa,C,Treated,-6.151645207439199
53,Pseudodiploria clivosa,A,Treated,19.6113074204947
78,Pseudodiploria clivosa,B,Treated,-5.828220858895705
108,Pseudodiploria clivosa,B,Treated,-6.940063091482649
120,Pseudodiploria clivosa,B,Treated,-7.2642967542503865
143,Pseudodiploria clivosa,B,Treated,-16
2,Pseudodiploria clivosa,B,Treated,-9.388335704125177
10,Pseudodiploria clivosa,A,Treated,9.584664536741213
79,Pseudodiploria clivosa,B,Treated,-13.07471264367816
85,Pseudodiploria clivosa,B,Treated,-3.1578947368421053
103,Pseudodiploria clivosa,C,Treated,7.424960505529225
15,Pseudodiploria clivosa,C,Treated,16.97171381031614
22,Pseudodiploria clivosa,C,Treated,5.846153846153846
43,Pseudodiploria clivosa,B,Treated,-5.172413793103448
47,Pseudodiploria clivosa,C,Treated,6.606606606606606
145,Pseudodiploria clivosa,C,Treated,-4.636785162287481
1,Pseudodiploria clivosa,B,Untreated,-5.9748427672955975
4,Pseudodiploria clivosa,A,Untreated,12.251655629139073
28,Pseudodiploria clivosa,C,Untreated,-1.6528925619834711
