 contrast                                     estimate      SE     df t.ratio p.value
 (MB-B Treated t1) - (BC-8b Untreated t1)     0.048979 0.02631   2.81   1.862  0.8308
 (MB-B Treated t1) - (MB-B Untreated t1)      0.076622 0.02626   2.79   2.917  0.4957
 (MB-B Treated t1) - (SI-C Untreated t1)      0.071352 0.02659   2.93   2.683  0.5581
 (MB-B Treated t1) - (BC-8b Treated t2)       0.070275 0.01117 365.49   6.289  <.0001
 (MB-B Treated t1) - (MB-B Treated t2)        0.073856 0.01082 255.42   6.828  <.0001
 (MB-B Treated t1) - (SI-C Treated t2)        0.106179 0.01218 365.13   8.717  <.0001
 (MB-B Treated t1) - (BC-8b Untreated t2)     0.146823 0.02626   2.79   5.590  0.1319
 (MB-B Treated t1) - (MB-B Untreated t2)      0.189063 0.02626   2.79   7.198  0.0708
 (MB-B Treated t1) - (SI-C Untreated t2)      0.174681 0.02652   2.90   6.586  0.0828
 (SI-C Treated t1) - (BC-8b Untreated t1)     0.071112 0.02663   2.95   2.670  0.5616
 (SI-C Treated t1) - (MB-B Untreated t1)      0.098755 0.02659   2.93   3.714  0.3146
 (SI-C Treated t1) - (SI-C Untreated t1)      0.093485 0.02691   3.07   3.474  0.3516
 (SI-C Treated t1) - (BC-8b Treated t2)       0.092408 0.01191 365.39   7.758  <.0001
 (SI-C Treated t1) - (MB-B Treated t2)        0.095989 0.01215 365.08   7.898  <.0001
 (SI-C Treated t1) - (SI-C Treated t2)        0.128312 0.01218 252.88  10.533  <.0001
 (SI-C Treated t1) - (BC-8b Untreated t2)     0.168955 0.02659   2.93   6.355  0.0894
 (SI-C Treated t1) - (MB-B Untreated t2)      0.211195 0.02659   2.93   7.944  0.0496
 (SI-C Treated t1) - (SI-C Untreated t2)      0.196813 0.02684   3.04   7.332  0.0569
 (BC-8b Untreated t1) - (MB-B Untreated t1)   0.027643 0.01054 364.93   2.622  0.4403
 (BC-8b Untreated t1) - (SI-C Untreated t1)   0.022373 0.01133 365.63   1.975  0.8793
 (BC-8b Untreated t1) - (BC-8b Treated t2)    0.021296 0.02609   2.72   0.816  0.9990
 (BC-8b Untreated t1) - (MB-B Treated t2)     0.024877 0.02619   2.76   0.950  0.9964
 (BC-8b Untreated t1) - (SI-C Treated t2)     0.057200 0.02653   2.91   2.156  0.7328
 (BC-8b Untreated t1) - (BC-8b Untreated t2)  0.097844 0.00999 251.43   9.795  <.0001
 (BC-8b Untreated t1) - (MB-B Untreated t2)   0.140083 0.01054 364.93  13.286  <.0001
 (BC-8b Untreated t1) - (SI-C Untreated t2)   0.125701 0.01117 364.86  11.251  <.0001
 (MB-B Untreated t1) - (SI-C Untreated t1)   -0.005270 0.01123 365.15  -0.469  1.0000
 (MB-B Untreated t1) - (BC-8b Treated t2)    -0.006347 0.02605   2.70  -0.244  1.0000
 (MB-B Untreated t1) - (MB-B Treated t2)     -0.002766 0.02615   2.74  -0.106  1.0000
 (MB-B Untreated t1) - (SI-C Treated t2)      0.029557 0.02649   2.89   1.116  0.9885
 (MB-B Untreated t1) - (BC-8b Untreated t2)   0.070201 0.01044 364.30   6.727  <.0001
 (MB-B Untreated t1) - (MB-B Untreated t2)    0.112441 0.00988 248.42  11.386  <.0001
 (MB-B Untreated t1) - (SI-C Untreated t2)    0.098059 0.01107 364.29   8.858  <.0001
 (SI-C Untreated t1) - (BC-8b Treated t2)    -0.001077 0.02637   2.84  -0.041  1.0000
 (SI-C Untreated t1) - (MB-B Treated t2)      0.002504 0.02648   2.88   0.095  1.0000
 (SI-C Untreated t1) - (SI-C Treated t2)      0.034827 0.02681   3.03   1.299  0.9703
 (SI-C Untreated t1) - (BC-8b Untreated t2)   0.075470 0.01123 365.15   6.721  <.0001
 (SI-C Untreated t1) - (MB-B Untreated t2)    0.117710 0.01123 365.15  10.483  <.0001
 (SI-C Untreated t1) - (SI-C Untreated t2)    0.103328 0.01120 252.20   9.224  <.0001
 (BC-8b Treated t2) - (MB-B Treated t2)       0.003581 0.01090 364.03   0.328  1.0000
