,TimePoint,Species,Genotype,ID,Replicate,Percent,Name,Tank,Treatment
35,T0,Acer,BC-8b,A63,r2,7.26,A63-2,T6,Control
36,T0,Acer,BC-8b,A63,r3,7.75,A63-3,T6,Control
37,T0,Acer,SI-C,A64,r1,8.06,A64-1,T5,Variable
38,T0,Acer,SI-C,A64,r2,7.52,A64-2,T5,Variable
39,T0,Acer,SI-C,A64,r3,NA,A64-3,T5,Variable
40,T0,Acer,SI-C,A78,r1,5.67,A78-1,T6,Control
41,T0,Acer,SI-C,A78,r2,5.13,A78-2,T6,Control
42,T0,Acer,SI-C,A78,r3,5.35,A78-3,T6,Control
43,T0,Acer,SI-C,A79,r1,4.93,A79-1,T8,Variable
44,T0,Acer,SI-C,A79,r2,4.54,A79-2,T8,Variable
45,T0,Acer,SI-C,A79,r3,5.18,A79-3,T8,Variable
46,T0,Acer,MB-B,A83,r1,9.98,A83-1,T5,Variable
47,T0,Acer,MB-B,A83,r2,9.48,A83-2,T5,Variable
48,T0,Acer,MB-B,A83,r3,9.84,A83-3,T5,Variable
4,T0,Acer,BC-8b,A9,r1,8.07,A9-1,T5,Variable
5,T0,Acer,BC-8b,A9,r2,8.66,A9-2,T5,Variable
6,T0,Acer,BC-8b,A9,r3,8.31,A9-3,T5,Variable
49,T0,Acer,MB-B,A94,r1,6.47,A94-1,T8,Variable
50,T0,Acer,MB-B,A94,r2,6.84,A94-2,T8,Variable
51,T0,Acer,MB-B,A94,r3,5.79,A94-3,T8,Variable
52,T0,Acer,SI-C,A95,r1,8.01,A95-1,T6,Control
53,T0,Acer,SI-C,A95,r2,6.58,A95-2,T6,Control
54,T0,Acer,SI-C,A95,r3,6.27,A95-3,T6,Control
118,T0,Pcli,C,P103,r1,5.35,P103-1,T2,Variable
119,T0,Pcli,C,P103,r2,5.03,P103-2,T2,Variable
120,T0,Pcli,C,P103,r3,4.43,P103-3,T2,Variable
121,T0,Pcli,B,P105,r1,5.53,P105-1,T3,Variable
122,T0,Pcli,B,P105,r2,5.08,P105-2,T3,Variable
123,T0,Pcli,B,P105,r3,3.51,P105-3,T3,Variable
73,T0,Pcli,A,P11,r1,7.52,P11-1,T2,Variable
74,T0,Pcli,A,P11,r2,8.38,P11-2,T2,Variable
75,T0,Pcli,A,P11,r3,7.92,P11-3,T2,Variable
124,T0,Pcli,A,P111,r1,11.7,P111-1,T4,Control
125,T0,Pcli,A,P111,r2,8.76,P111-2,T4,Control
126,T0,Pcli,A,P111,r3,6.85,P111-3,T4,Control
127,T0,Pcli,B,P114,r1,3.06,P114-1,T2,Variable
128,T0,Pcli,B,P114,r2,3.44,P114-2,T2,Variable
129,T0,Pcli,B,P114,r3,2.44,P114-3,T2,Variable
130,T0,Pcli,C,P115,r1,6.37,P115-1,T4,Control
131,T0,Pcli,C,P115,r2,6.05,P115-2,T4,Control
132,T0,Pcli,C,P115,r3,4.51,P115-3,T4,Control
133,T0,Pcli,B,P120,r1,6.92,P120-1,T2,Variable
134,T0,Pcli,B,P120,r2,6.09,P120-2,T2,Variable
135,T0,Pcli,B,P120,r3,6.31,P120-3,T2,Variable
136,T0,Pcli,A,P126,r1,5.9,P126-1,T4,Control
137,T0,Pcli,A,P126,r2,4.89,P126-2,T4,Control
138,T0,Pcli,A,P126,r3,5.19,P126-3,T4,Control
139,T0,Pcli,A,P128,r1,9.78,P128-1,T3,Variable
140,T0,Pcli,A,P128,r2,9.95,P128-2,T3,Variable
141,T0,Pcli,A,P128,r3,7.93,P128-3,T3,Variable
142,T0,Pcli,C,P148,r1,10.6,P148-1,T1,Control
143,T0,Pcli,C,P148,r2,10.2,P148-2,T1,Control
144,T0,Pcli,C,P148,r3,7.91,P148-3,T1,Control
76,T0,Pcli,A,P26,r1,8.32,P26-1,T1,Control
77,T0,Pcli,A,P26,r2,7.72,P26-2,T1,Control
78,T0,Pcli,A,P26,r3,5.87,P26-3,T1,Control
79,T0,Pcli,C,P28,r1,2.9,P28-1,T4,Control
80,T0,Pcli,C,P28,r2,3.09,P28-2,T4,Control
81,T0,Pcli,C,P28,r3,3.33,P28-3,T4,Control
82,T0,Pcli,B,P29,r1,13.3,P29-1,T1,Control
83,T0,Pcli,B,P29,r2,12.4,P29-2,T1,Control
84,T0,Pcli,B,P29,r3,12,P29-3,T1,Control
85,T0,Pcli,A,P33,r1,14.7,P33-1,T1,Control
86,T0,Pcli,A,P33,r2,14.5,P33-2,T1,Control
87,T0,Pcli,A,P33,r3,13,P33-3,T1,Control
88,T0,Pcli,C,P40,r1,13,P40-1,T3,Variable
89,T0,Pcli,C,P40,r2,10.9,P40-2,T3,Variable
90,T0,Pcli,C,P40,r3,10.7,P40-3,T3,Variable
91,T0,Pcli,B,P45,r1,4.26,P45-1,T3,Variable
92,T0,Pcli,B,P45,r2,3.55,P45-2,T3,Variable
93,T0,Pcli,B,P45,r3,2.88,P45-3,T3,Variable
94,T0,Pcli,B,P52,r1,6.81,P52-1,T4,Control
95,T0,Pcli,B,P52,r2,5.96,P52-2,T4,Control
96,T0,Pcli,B,P52,r3,4.07,P52-3,T4,Control
97,T0,Pcli,B,P55,r1,5.18,P55-1,T1,Control
98,T0,Pcli,B,P55,r2,4.3,P55-2,T1,Control
99,T0,Pcli,B,P55,r3,5.12,P55-3,T1,Control
100,T0,Pcli,C,P67,r1,5.49,P67-1,T3,Variable
101,T0,Pcli,C,P67,r2,4.46,P67-2,T3,Variable
102,T0,Pcli,C,P67,r3,3.7,P67-3,T3,Variable
103,T0,Pcli,B,P70,r1,8.07,P70-1,T4,Control
104,T0,Pcli,B,P70,r2,6.44,P70-2,T4,Control
105,T0,Pcli,B,P70,r3,4.42,P70-3,T4,Control
106,T0,Pcli,A,P75,r1,7.56,P75-1,T2,Variable
107,T0,Pcli,A,P75,r2,8.34,P75-2,T2,Variable
108,T0,Pcli,A,P75,r3,8.59,P75-3,T2,Variable
109,T0,Pcli,A,P77,r1,9.9,P77-1,T3,Variable
110,T0,Pcli,A,P77,r2,9.1,P77-2,T3,Variable
111,T0,Pcli,A,P77,r3,8.93,P77-3,T3,Variable
112,T0,Pcli,C,P91,r1,11.4,P91-1,T1,Control
113,T0,Pcli,C,P91,r2,12,P91-2,T1,Control
114,T0,Pcli,C,P91,r3,10.4,P91-3,T1,Control
115,T0,Pcli,C,P94,r1,16.5,P94-1,T2,Variable
116,T0,Pcli,C,P94,r2,11.8,P94-2,T2,Variable
117,T0,Pcli,C,P94,r3,7.84,P94-3,T2,Variable
184,T1,Acer,MB-B,A101,r1,6.16,A101-1,T7,Control
185,T1,Acer,MB-B,A101,r2,5.77,A101-2,T7,Control
186,T1,Acer,MB-B,A101,r3,6.43,A101-3,T7,Control
154,T1,Acer,BC-8b,A105,r1,12.4,A105-1,T6,Control
155,T1,Acer,BC-8b,A105,r2,11.1,A105-2,T6,Control
156,T1,Acer,BC-8b,A105,r3,10.2,A105-3,T6,Control
145,T1,Acer,BC-8b,A109,r1,15,A109-1,T5,Variable
146,T1,Acer,BC-8b,A109,r2,14.9,A109-2,T5,Variable
147,T1,Acer,BC-8b,A109,r3,14.7,A109-3,T5,Variable
196,T1,Acer,SI-C,A11,r1,8.28,A11-1,T5,Variable
197,T1,Acer,SI-C,A11,r2,8.93,A11-2,T5,Variable
198,T1,Acer,SI-C,A11,r3,8.26,A11-3,T5,Variable
157,T1,Acer,BC-8b,A115,r1,6.24,A115-1,T7,Control
158,T1,Acer,BC-8b,A115,r2,4.35,A115-2,T7,Control
159,T1,Acer,BC-8b,A115,r3,4.63,A115-3,T7,Control
178,T1,Acer,MB-B,A116,r1,8.13,A116-1,T6,Control
179,T1,Acer,MB-B,A116,r2,7.54,A116-2,T6,Control
180,T1,Acer,MB-B,A116,r3,7.41,A116-3,T6,Control
205,T1,Acer,SI-C,A119,r1,7.62,A119-1,T7,Control
206,T1,Acer,SI-C,A119,r2,8.2,A119-2,T7,Control
207,T1,Acer,SI-C,A119,r3,7.84,A119-3,T7,Control
199,T1,Acer,SI-C,A120,r1,8.87,A120-1,T6,Control
200,T1,Acer,SI-C,A120,r2,7.46,A120-2,T6,Control
201,T1,Acer,SI-C,A120,r3,7.53,A120-3,T6,Control
175,T1,Acer,MB-B,A121,r1,7.79,A121-1,T6,Control
176,T1,Acer,MB-B,A121,r2,8.07,A121-2,T6,Control
177,T1,Acer,MB-B,A121,r3,7.58,A121-3,T6,Control
148,T1,Acer,BC-8b,A122,r1,13,A122-1,T5,Variable
149,T1,Acer,BC-8b,A122,r2,12.3,A122-2,T5,Variable
150,T1,Acer,BC-8b,A122,r3,12.6,A122-3,T5,Variable
202,T1,Acer,SI-C,A14,r1,8.88,A14-1,T6,Control
203,T1,Acer,SI-C,A14,r2,10.3,A14-2,T6,Control
204,T1,Acer,SI-C,A14,r3,10.3,A14-3,T6,Control
166,T1,Acer,BC-8b,A145,r1,9.83,A145-1,T8,Variable
167,T1,Acer,BC-8b,A145,r2,10.3,A145-2,T8,Variable
168,T1,Acer,BC-8b,A145,r3,10.1,A145-3,T8,Variable
193,T1,Acer,SI-C,A20,r1,10.1,A20-1,T5,Variable
194,T1,Acer,SI-C,A20,r2,11.3,A20-2,T5,Variable
195,T1,Acer,SI-C,A20,r3,9.91,A20-3,T5,Variable
151,T1,Acer,BC-8b,A3,r1,10.9,A3-1,T6,Control
152,T1,Acer,BC-8b,A3,r2,10.4,A3-2,T6,Control
153,T1,Acer,BC-8b,A3,r3,10.6,A3-3,T6,Control
208,T1,Acer,SI-C,A31,r1,7,A31-1,T7,Control
209,T1,Acer,SI-C,A31,r2,5.82,A31-2,T7,Control
210,T1,Acer,SI-C,A31,r3,5.69,A31-3,T7,Control
169,T1,Acer,MB-B,A36,r1,9.96,A36-1,T5,Variable
170,T1,Acer,MB-B,A36,r2,8.57,A36-2,T5,Variable
171,T1,Acer,MB-B,A36,r3,8.55,A36-3,T5,Variable
187,T1,Acer,MB-B,A4,r1,6.47,A4-1,T8,Variable
188,T1,Acer,MB-B,A4,r2,6.2,A4-2,T8,Variable
189,T1,Acer,MB-B,A4,r3,5.59,A4-3,T8,Variable
181,T1,Acer,MB-B,A44,r1,6.18,A44-1,T7,Control
182,T1,Acer,MB-B,A44,r2,5.18,A44-2,T7,Control
183,T1,Acer,MB-B,A44,r3,4.99,A44-3,T7,Control
160,T1,Acer,BC-8b,A52,r1,6,A52-1,T7,Control
161,T1,Acer,BC-8b,A52,r2,5.03,A52-2,T7,Control
162,T1,Acer,BC-8b,A52,r3,3.95,A52-3,T7,Control
211,T1,Acer,SI-C,A61,r1,6.12,A61-1,T8,Variable
212,T1,Acer,SI-C,A61,r2,5.97,A61-2,T8,Variable
213,T1,Acer,SI-C,A61,r3,5.27,A61-3,T8,Variable
214,T1,Acer,SI-C,A62,r1,8.13,A62-1,T8,Variable
215,T1,Acer,SI-C,A62,r2,7.85,A62-2,T8,Variable
216,T1,Acer,SI-C,A62,r3,6.96,A62-3,T8,Variable
190,T1,Acer,MB-B,A65,r1,7.7,A65-1,T8,Variable
191,T1,Acer,MB-B,A65,r2,6.31,A65-2,T8,Variable
192,T1,Acer,MB-B,A65,r3,5.88,A65-3,T8,Variable
172,T1,Acer,MB-B,A71,r1,7.58,A71-1,T5,Variable
173,T1,Acer,MB-B,A71,r2,6.85,A71-2,T5,Variable
174,T1,Acer,MB-B,A71,r3,6.51,A71-3,T5,Variable
163,T1,Acer,BC-8b,A77,r1,9.22,A77-1,T8,Variable
164,T1,Acer,BC-8b,A77,r2,6.92,A77-2,T8,Variable
165,T1,Acer,BC-8b,A77,r3,6.67,A77-3,T8,Variable
259,T1,Pcli,B,P1,r1,2.75,P1-1,T4,Control
260,T1,Pcli,B,P1,r2,2.85,P1-2,T4,Control
261,T1,Pcli,B,P1,r3,2.34,P1-3,T4,Control
229,T1,Pcli,A,P102,r1,12.6,P102-1,T3,Variable
230,T1,Pcli,A,P102,r2,11.1,P102-2,T3,Variable
231,T1,Pcli,A,P102,r3,11.3,P102-3,T3,Variable
271,T1,Pcli,C,P107,r1,9.9,P107-1,T2,Variable
272,T1,Pcli,C,P107,r2,7.96,P107-2,T2,Variable
273,T1,Pcli,C,P107,r3,7.55,P107-3,T2,Variable
235,T1,Pcli,A,P110,r1,6.68,P110-1,T4,Control
236,T1,Pcli,A,P110,r2,6.46,P110-2,T4,Control
237,T1,Pcli,A,P110,r3,4.54,P110-3,T4,Control
256,T1,Pcli,B,P112,r1,4.99,P112-1,T3,Variable
257,T1,Pcli,B,P112,r2,4.62,P112-2,T3,Variable
258,T1,Pcli,B,P112,r3,4.49,P112-3,T3,Variable
223,T1,Pcli,A,P121,r1,9.09,P121-1,T2,Variable
224,T1,Pcli,A,P121,r2,10.1,P121-2,T2,Variable
225,T1,Pcli,A,P121,r3,9.52,P121-3,T2,Variable
268,T1,Pcli,C,P123,r1,10.5,P123-1,T1,Control
269,T1,Pcli,C,P123,r2,9.53,P123-2,T1,Control
270,T1,Pcli,C,P123,r3,8.65,P123-3,T1,Control
253,T1,Pcli,B,P138,r1,3.4,P138-1,T3,Variable
254,T1,Pcli,B,P138,r2,2.88,P138-2,T3,Variable
255,T1,Pcli,B,P138,r3,2.88,P138-3,T3,Variable
280,T1,Pcli,C,P140,r1,11,P140-1,T3,Variable
281,T1,Pcli,C,P140,r2,8.26,P140-2,T3,Variable
282,T1,Pcli,C,P140,r3,7.3,P140-3,T3,Variable
220,T1,Pcli,A,P144,r1,14.3,P144-1,T1,Control
221,T1,Pcli,A,P144,r2,12.4,P144-2,T1,Control
222,T1,Pcli,A,P144,r3,12,P144-3,T1,Control
241,T1,Pcli,B,P146,r1,5.59,P146-1,T1,Control
242,T1,Pcli,B,P146,r2,4.38,P146-2,T1,Control
243,T1,Pcli,B,P146,r3,4.6,P146-3,T1,Control
286,T1,Pcli,C,P35,r1,4.9,P35-1,T4,Control
287,T1,Pcli,C,P35,r2,5.23,P35-2,T4,Control
288,T1,Pcli,C,P35,r3,4.77,P35-3,T4,Control
283,T1,Pcli,C,P41,r1,7.33,P41-1,T4,Control
284,T1,Pcli,C,P41,r2,6.5,P41-2,T4,Control
285,T1,Pcli,C,P41,r3,4.98,P41-3,T4,Control
232,T1,Pcli,A,P42,r1,7.85,P42-1,T3,Variable
233,T1,Pcli,A,P42,r2,6.34,P42-2,T3,Variable
234,T1,Pcli,A,P42,r3,5.9,P42-3,T3,Variable
250,T1,Pcli,B,P43,r1,3.43,P43-1,T2,Variable
251,T1,Pcli,B,P43,r2,2.82,P43-2,T2,Variable
252,T1,Pcli,B,P43,r3,2.5,P43-3,T2,Variable
274,T1,Pcli,C,P47,r1,9.07,P47-1,T2,Variable
275,T1,Pcli,C,P47,r2,7.7,P47-2,T2,Variable
276,T1,Pcli,C,P47,r3,6.18,P47-3,T2,Variable
262,T1,Pcli,B,P56,r1,5.52,P56-1,T4,Control
263,T1,Pcli,B,P56,r2,4.6,P56-2,T4,Control
264,T1,Pcli,B,P56,r3,4.13,P56-3,T4,Control
217,T1,Pcli,A,P57,r1,13.9,P57-1,T1,Control
218,T1,Pcli,A,P57,r2,11.7,P57-2,T1,Control
219,T1,Pcli,A,P57,r3,9.98,P57-3,T1,Control
277,T1,Pcli,C,P71,r1,7.71,P71-1,T3,Variable
278,T1,Pcli,C,P71,r2,6.57,P71-2,T3,Variable
279,T1,Pcli,C,P71,r3,5.15,P71-3,T3,Variable
265,T1,Pcli,C,P81,r1,14.1,P81-1,T1,Control
266,T1,Pcli,C,P81,r2,12.6,P81-2,T1,Control
267,T1,Pcli,C,P81,r3,12.2,P81-3,T1,Control
238,T1,Pcli,A,P83,r1,9.13,P83-1,T4,Control
239,T1,Pcli,A,P83,r2,9.94,P83-2,T4,Control
240,T1,Pcli,A,P83,r3,9.92,P83-3,T4,Control
226,T1,Pcli,A,P86,r1,12.9,P86-1,T2,Variable
227,T1,Pcli,A,P86,r2,10.4,P86-2,T2,Variable
228,T1,Pcli,A,P86,r3,9.44,P86-3,T2,Variable
244,T1,Pcli,B,P9,r1,13.7,P9-1,T1,Control
245,T1,Pcli,B,P9,r2,111.5,P9-2,T1,Control
246,T1,Pcli,B,P9,r3,10.9,P9-3,T1,Control
247,T1,Pcli,B,P90,r1,6.05,P90-1,T2,Variable
248,T1,Pcli,B,P90,r2,5.66,P90-2,T2,Variable
249,T1,Pcli,B,P90,r3,4.69,P90-3,T2,Variable
334,T2,Acer,SI-C,A106,r1,3.1,,T6,Control
335,T2,Acer,SI-C,A106,r2,2.94,,T6,Control
336,T2,Acer,SI-C,A106,r3,2.89,,T6,Control
337,T2,Acer,BC-8b,A108,r1,3.06,,T7,Control
338,T2,Acer,BC-8b,A108,r2,2.29,,T7,Control
339,T2,Acer,BC-8b,A108,r3,2.66,,T7,Control
340,T2,Acer,SI-C,A113,r1,3.17,,T8,Variable
341,T2,Acer,SI-C,A113,r2,2.59,,T8,Variable
342,T2,Acer,SI-C,A113,r3,2.75,,T8,Variable
343,T2,Acer,SI-C,A114,r1,2.73,,T7,Control
344,T2,Acer,SI-C,A114,r2,2.62,,T7,Control
345,T2,Acer,SI-C,A114,r3,2.27,,T7,Control
346,T2,Acer,SI-C,A123,r1,2.8,,T6,Control
347,T2,Acer,SI-C,A123,r2,2.75,,T6,Control
348,T2,Acer,SI-C,A123,r3,2.64,,T6,Control
349,T2,Acer,BC-8b,A137,r1,3.01,,T5,Variable
350,T2,Acer,BC-8b,A137,r2,3.32,,T5,Variable
351,T2,Acer,BC-8b,A137,r3,3.08,,T5,Variable
352,T2,Acer,SI-C,A141,r1,2.8,,T5,Variable
353,T2,Acer,SI-C,A141,r2,2.66,,T5,Variable
354,T2,Acer,SI-C,A141,r3,2.89,,T5,Variable
355,T2,Acer,MB-B,A143,r1,3.95,,T6,Control
356,T2,Acer,MB-B,A143,r2,3.82,,T6,Control
357,T2,Acer,MB-B,A143,r3,3.2,,T6,Control
358,T2,Acer,BC-8b,A146,r1,3.52,,T6,Control
359,T2,Acer,BC-8b,A146,r2,2.87,,T6,Control
360,T2,Acer,BC-8b,A146,r3,2.72,,T6,Control
289,T2,Acer,BC-8b,A30,r1,3.04,,T5,Variable
290,T2,Acer,BC-8b,A30,r2,3.16,,T5,Variable
291,T2,Acer,BC-8b,A30,r3,2.74,,T5,Variable
292,T2,Acer,MB-B,A38,r1,3.08,,T8,Variable
293,T2,Acer,MB-B,A38,r2,2.96,,T8,Variable
294,T2,Acer,MB-B,A38,r3,2.94,,T8,Variable
295,T2,Acer,MB-B,A41,r1,3.24,,T5,Variable
296,T2,Acer,MB-B,A41,r2,3.24,,T5,Variable
297,T2,Acer,MB-B,A41,r3,3,,T5,Variable
298,T2,Acer,MB-B,A56,r1,3.11,,T7,Control
299,T2,Acer,MB-B,A56,r2,2.94,,T7,Control
300,T2,Acer,MB-B,A56,r3,3.16,,T7,Control
301,T2,Acer,MB-B,A57,r1,2.48,,T7,Control
302,T2,Acer,MB-B,A57,r2,2.71,,T7,Control
303,T2,Acer,MB-B,A57,r3,2.55,,T7,Control
304,T2,Acer,MB-B,A59,r1,3.13,,T5,Variable
305,T2,Acer,MB-B,A59,r2,2.85,,T5,Variable
306,T2,Acer,MB-B,A59,r3,2.81,,T5,Variable
307,T2,Acer,BC-8b,A68,r1,2.55,,T8,Variable
308,T2,Acer,BC-8b,A68,r2,2.41,,T8,Variable
309,T2,Acer,BC-8b,A68,r3,2.65,,T8,Variable
310,T2,Acer,SI-C,A69,r1,3.13,,T8,Variable
311,T2,Acer,SI-C,A69,r2,2.85,,T8,Variable
312,T2,Acer,SI-C,A69,r3,2.74,,T8,Variable
313,T2,Acer,BC-8b,A72,r1,2.88,,T6,Control
314,T2,Acer,BC-8b,A72,r2,3.11,,T6,Control
315,T2,Acer,BC-8b,A72,r3,2.71,,T6,Control
316,T2,Acer,MB-B,A74,r1,3.17,,T8,Variable
317,T2,Acer,MB-B,A74,r2,2.66,,T8,Variable
318,T2,Acer,MB-B,A74,r3,2.92,,T8,Variable
319,T2,Acer,SI-C,A82,r1,2.4,,T7,Control
320,T2,Acer,SI-C,A82,r2,2.21,,T7,Control
321,T2,Acer,SI-C,A82,r3,2.15,,T7,Control
322,T2,Acer,BC-8b,A89,r1,2.89,,T7,Control
323,T2,Acer,BC-8b,A89,r2,2.34,,T7,Control
324,T2,Acer,BC-8b,A89,r3,2.59,,T7,Control
325,T2,Acer,BC-8b,A91,r1,4.89,,T8,Variable
326,T2,Acer,BC-8b,A91,r2,4.41,,T8,Variable
327,T2,Acer,BC-8b,A91,r3,3.85,,T8,Variable
328,T2,Acer,SI-C,A96,r1,2.71,,T5,Variable
329,T2,Acer,SI-C,A96,r2,2.65,,T5,Variable
330,T2,Acer,SI-C,A96,r3,2.44,,T5,Variable
331,T2,Acer,MB-B,A97,r1,3.59,,T6,Control
332,T2,Acer,MB-B,A97,r2,3.79,,T6,Control
333,T2,Acer,MB-B,A97,r3,3.19,,T6,Control
415,T2,Pcli,A,P101,r1,8.35,,T2,Variable
416,T2,Pcli,A,P101,r2,8.5,,T2,Variable
417,T2,Pcli,A,P101,r3,8.84,,T2,Variable
418,T2,Pcli,B,P109,r1,4.94,,T3,Variable
419,T2,Pcli,B,P109,r2,5,,T3,Variable
420,T2,Pcli,B,P109,r3,4.88,,T3,Variable
421,T2,Pcli,B,P124,r1,3.8,,T1,Control
422,T2,Pcli,B,P124,r2,3.04,,T1,Control
423,T2,Pcli,B,P124,r3,3.39,,T1,Control
424,T2,Pcli,A,P130,r1,2.45,,T3,Variable
425,T2,Pcli,A,P130,r2,2.23,,T3,Variable
426,T2,Pcli,A,P130,r3,2.06,,T3,Variable
427,T2,Pcli,A,P132,r1,6.2,,T2,Variable
428,T2,Pcli,A,P132,r2,6.28,,T2,Variable
429,T2,Pcli,A,P132,r3,6.18,,T2,Variable
430,T2,Pcli,C,P135,r1,4.21,,T4,Control
431,T2,Pcli,C,P135,r2,4.27,,T4,Control
432,T2,Pcli,C,P135,r3,3.65,,T4,Control
373,T2,Pcli,C,P15,r1,11.2,,T2,Variable
374,T2,Pcli,C,P15,r2,10.5,,T2,Variable
375,T2,Pcli,C,P15,r3,10.2,,T2,Variable
376,T2,Pcli,C,P18,r1,3.6,,T3,Variable
377,T2,Pcli,C,P18,r2,3.29,,T3,Variable
378,T2,Pcli,C,P18,r3,3.34,,T3,Variable
379,T2,Pcli,B,P24,r1,3.48,,T4,Control
380,T2,Pcli,B,P24,r2,3.24,,T4,Control
381,T2,Pcli,B,P24,r3,3.15,,T4,Control
361,T2,Pcli,C,P3,r1,2.01,,T1,Control
362,T2,Pcli,C,P3,r2,1.48,,T1,Control
363,T2,Pcli,C,P3,r3,1.39,,T1,Control
382,T2,Pcli,C,P38,r1,6.3,,T1,Control
383,T2,Pcli,C,P38,r2,5.7,,T1,Control
384,T2,Pcli,C,P38,r3,5.04,,T1,Control
385,T2,Pcli,C,P39,r1,2.96,,T3,Variable
386,T2,Pcli,C,P39,r2,2.83,,T3,Variable
387,T2,Pcli,C,P39,r3,2.18,,T3,Variable
364,T2,Pcli,A,P4,r1,2.49,,T4,Control
365,T2,Pcli,A,P4,r2,2.72,,T4,Control
366,T2,Pcli,A,P4,r3,2.74,,T4,Control
388,T2,Pcli,B,P49,r1,4.78,,T4,Control
389,T2,Pcli,B,P49,r2,4.38,,T4,Control
390,T2,Pcli,B,P49,r3,4.83,,T4,Control
391,T2,Pcli,A,P50,r1,4.14,,T1,Control
392,T2,Pcli,A,P50,r2,4.11,,T1,Control
393,T2,Pcli,A,P50,r3,3.94,,T1,Control
394,T2,Pcli,A,P58,r1,3.9,,T4,Control
395,T2,Pcli,A,P58,r2,3.59,,T4,Control
396,T2,Pcli,A,P58,r3,3.66,,T4,Control
367,T2,Pcli,B,P6,r1,5.45,,T3,Variable
368,T2,Pcli,B,P6,r2,5.66,,T3,Variable
369,T2,Pcli,B,P6,r3,4.65,,T3,Variable
397,T2,Pcli,C,P64,r1,4.88,,T4,Control
398,T2,Pcli,C,P64,r2,4.06,,T4,Control
399,T2,Pcli,C,P64,r3,3.73,,T4,Control
400,T2,Pcli,B,P66,r1,2.91,,T1,Control
401,T2,Pcli,B,P66,r2,2.44,,T1,Control
