  Tukey multiple comparisons of means
Untreated:36-Treated:30   -0.266126984 -0.345812466 -0.186441502 0.0000000
Treated:37-Treated:30     -0.373821429 -0.455656808 -0.291986049 0.0000000
Untreated:37-Treated:30   -0.383321429 -0.465156808 -0.301486049 0.0000000
Treated:32-Untreated:30    0.041750000 -0.037310488  0.120810488 0.8923681
Untreated:32-Untreated:30  0.005430556 -0.071402428  0.082263539 1.0000000
Treated:33-Untreated:30    0.081000000  0.001939512  0.160060488 0.0387502
Untreated:33-Untreated:30  0.007763889 -0.069069095  0.084596872 1.0000000
Treated:34-Untreated:30    0.050446429 -0.031388951  0.132281808 0.7228676
Untreated:34-Untreated:30  0.009250000 -0.069810488  0.088310488 1.0000000
Treated:35-Untreated:30    0.064875000 -0.014185488  0.143935488 0.2443231
Untreated:35-Untreated:30  0.001763889 -0.075069095  0.078596872 1.0000000
Treated:36-Untreated:30   -0.169791667 -0.246624650 -0.092958683 0.0000000
Untreated:36-Untreated:30 -0.228680556 -0.305513539 -0.151847572 0.0000000
Treated:37-Untreated:30   -0.336375000 -0.415435488 -0.257314512 0.0000000
Untreated:37-Untreated:30 -0.345875000 -0.424935488 -0.266814512 0.0000000
Untreated:32-Treated:32   -0.036319444 -0.113152428  0.040513539 0.9537567
Treated:33-Treated:32      0.039250000 -0.039810488  0.118310488 0.9316804
Untreated:33-Treated:32   -0.033986111 -0.110819095  0.042846872 0.9737984
Treated:34-Treated:32      0.008696429 -0.073138951  0.090531808 1.0000000
Untreated:34-Treated:32   -0.032500000 -0.111560488  0.046560488 0.9866777
Treated:35-Treated:32      0.023125000 -0.055935488  0.102185488 0.9996704
Untreated:35-Treated:32   -0.039986111 -0.116819095  0.036846872 0.9029559
Treated:36-Treated:32     -0.211541667 -0.288374650 -0.134708683 0.0000000
Untreated:36-Treated:32   -0.270430556 -0.347263539 -0.193597572 0.0000000
Treated:37-Treated:32     -0.378125000 -0.457185488 -0.299064512 0.0000000
Untreated:37-Treated:32   -0.387625000 -0.466685488 -0.308564512 0.0000000
Treated:33-Untreated:32    0.075569444 -0.001263539  0.152402428 0.0590398
Untreated:33-Untreated:32  0.002333333 -0.072205609  0.076872276 1.0000000
Treated:34-Untreated:32    0.045015873 -0.034669609  0.124701355 0.8317040
Untreated:34-Untreated:32  0.003819444 -0.073013539  0.080652428 1.0000000
Treated:35-Untreated:32    0.059444444 -0.017388539  0.136277428 0.3374676
Untreated:35-Untreated:32 -0.003666667 -0.078205609  0.070872276 1.0000000
Treated:36-Untreated:32   -0.175222222 -0.249761165 -0.100683279 0.0000000
Untreated:36-Untreated:32 -0.234111111 -0.308650054 -0.159572168 0.0000000
Treated:37-Untreated:32   -0.341805556 -0.418638539 -0.264972572 0.0000000
Untreated:37-Untreated:32 -0.351305556 -0.428138539 -0.274472572 0.0000000
Untreated:33-Treated:33   -0.073236111 -0.150069095  0.003596872 0.0794282
Treated:34-Treated:33     -0.030553571 -0.112388951  0.051281808 0.9948994
Untreated:34-Treated:33   -0.071750000 -0.150810488  0.007310488 0.1208412
Treated:35-Treated:33     -0.016125000 -0.095185488  0.062935488 0.9999967
Untreated:35-Treated:33   -0.079236111 -0.156069095 -0.002403128 0.0360759
Treated:36-Treated:33     -0.250791667 -0.327624650 -0.173958683 0.0000000
Untreated:36-Treated:33   -0.309680556 -0.386513539 -0.232847572 0.0000000
Treated:37-Treated:33     -0.417375000 -0.496435488 -0.338314512 0.0000000
Untreated:37-Treated:33   -0.426875000 -0.505935488 -0.347814512 0.0000000
Treated:34-Untreated:33    0.042682540 -0.037002942  0.122368021 0.8812158
Untreated:34-Untreated:33  0.001486111 -0.075346872  0.078319095 1.0000000
Treated:35-Untreated:33    0.057111111 -0.019721872  0.133944095 0.4066396
Untreated:35-Untreated:33 -0.006000000 -0.080538943  0.068538943 1.0000000
Treated:36-Untreated:33   -0.177555556 -0.252094498 -0.103016613 0.0000000
Untreated:36-Untreated:33 -0.236444444 -0.310983387 -0.161905502 0.0000000
Treated:37-Untreated:33   -0.344138889 -0.420971872 -0.267305905 0.0000000
Untreated:37-Untreated:33 -0.353638889 -0.430471872 -0.276805905 0.0000000
Untreated:34-Treated:34   -0.041196429 -0.123031808  0.040638951 0.9240396
Treated:35-Treated:34      0.014428571 -0.067406808  0.096263951 0.9999996
Untreated:35-Treated:34   -0.048682540 -0.128368021  0.031002942 0.7356018
Treated:36-Treated:34     -0.220238095 -0.299923577 -0.140552614 0.0000000
Untreated:36-Treated:34   -0.279126984 -0.358812466 -0.199441502 0.0000000
Treated:37-Treated:34     -0.386821429 -0.468656808 -0.304986049 0.0000000
Untreated:37-Treated:34   -0.396321429 -0.478156808 -0.314486049 0.0000000
Treated:35-Untreated:34    0.055625000 -0.023435488  0.134685488 0.5046520
Untreated:35-Untreated:34 -0.007486111 -0.084319095  0.069346872 1.0000000
Treated:36-Untreated:34   -0.179041667 -0.255874650 -0.102208683 0.0000000
Untreated:36-Untreated:34 -0.237930556 -0.314763539 -0.161097572 0.0000000
Treated:37-Untreated:34   -0.345625000 -0.424685488 -0.266564512 0.0000000
Untreated:37-Untreated:34 -0.355125000 -0.434185488 -0.276064512 0.0000000
Untreated:35-Treated:35   -0.063111111 -0.139944095  0.013721872 0.2428360
Treated:36-Treated:35     -0.234666667 -0.311499650 -0.157833683 0.0000000
Untreated:36-Treated:35   -0.293555556 -0.370388539 -0.216722572 0.0000000
Treated:37-Treated:35     -0.401250000 -0.480310488 -0.322189512 0.0000000
Untreated:37-Treated:35   -0.410750000 -0.489810488 -0.331689512 0.0000000
Treated:36-Untreated:35   -0.171555556 -0.246094498 -0.097016613 0.0000000
Untreated:36-Untreated:35 -0.230444444 -0.304983387 -0.155905502 0.0000000
Treated:37-Untreated:35   -0.338138889 -0.414971872 -0.261305905 0.0000000
Untreated:37-Untreated:35 -0.347638889 -0.424471872 -0.270805905 0.0000000
Untreated:36-Treated:36   -0.058888889 -0.133427832  0.015650054 0.3029436
Treated:37-Treated:36     -0.166583333 -0.243416317 -0.089750350 0.0000000
Untreated:37-Treated:36   -0.176083333 -0.252916317 -0.099250350 0.0000000
Treated:37-Untreated:36   -0.107694444 -0.184527428 -0.030861461 0.0003278
Untreated:37-Untreated:36 -0.117194444 -0.194027428 -0.040361461 0.0000523
Untreated:37-Treated:37   -0.009500000 -0.088560488  0.069560488 1.0000000

