Sample ID,Count Raw Reads,Good Reads,Duplicate Reads,No Header Reads,N in Header Reads,Trimmed Reads Acer,Trimmed Reads Pcli,Percent loss,Percent remaining Acer,Percent remaining Pcli,Acer Aligned Reads (Locatelli + Shoguchi),Acer percent alignment,Pcli Aligned Reads (Avila-Magana ),Pcli percent alignment
Acer-078,12982523,4518500,7995161,468170,692,4210722,,67.6%,32.4%,,2876914,68.3%,,
Acer-079,8999379,2885402,5785713,327766,498,2615820,,70.9%,29.1%,,1719431,65.7%,,
Acer-082,8925185,2590358,6023869,310475,483,2191125,,75.5%,24.5%,,1255095,57.3%,,
Acer-083,10765315,3832744,6556926,375099,546,3709718,,65.5%,34.5%,,2329565,62.8%,,
Acer-089,6642725,1668858,4737455,236096,316,1197643,,82.0%,18.0%,,756622,63.2%,,
Acer-091,9667701,2402571,6927282,337333,515,2089329,,78.4%,21.6%,,1221674,58.5%,,
Acer-094,12461234,4644535,7366510,449511,678,4508437,,63.8%,36.2%,,2961053,65.7%,,
Acer-095,11546185,4943729,6191769,410068,619,4728151,,59.1%,40.9%,,3131725,66.2%,,
Acer-096,11893894,6107116,5368056,418072,650,5608466,,52.8%,47.2%,,3355000,59.8%,,
Acer-097,9525611,3016172,6181261,327658,520,2647726,,72.2%,27.8%,,1460306,55.2%,,
Acer-102,10786783,3667349,6740598,378272,564,3556875,,67.0%,33.0%,,2249647,63.2%,,
Acer-106,11865741,3967556,7476091,421470,624,3636838,,69.4%,30.6%,,2321014,63.8%,,
Acer-108,6537998,1743368,4569321,224963,346,1447075,,77.9%,22.1%,,797049,55.1%,,
Acer-110,13224558,4607503,8153501,462832,722,4375058,,66.9%,33.1%,,2808404,64.2%,,
Acer-112,13680610,6324658,6791062,564168,722,5899108,,56.9%,43.1%,,3720218,63.1%,,
Acer-113,14877314,4637854,9719315,519343,802,4090239,,72.5%,27.5%,,2434273,59.5%,,
Acer-114,7959769,2528904,5132666,297749,450,2100417,,73.6%,26.4%,,1247946,59.4%,,
