Time,T1,T2,T3,T4,T5,T6,T7,T8,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
7/21/2022 17:00:06.166,28.01913,28.041324,31.977985,32.025044,28.057322,28.004854,28.000166,28.000412,27.100596,28.023376,28.004493,28.027588,27.099252,27.080517,27.168276,27.139984
7/21/2022 17:05:11.589,27.993363,28.022294,32.025896,32.000916,28.035997,28.022605,28.00623,28.017049,27.096023,27.999903,28.029768,27.990544,27.097908,27.076681,27.16462,27.140083
7/21/2022 17:10:10.588,28.016852,28.005444,31.980935,31.960512,28.01,28.01105,28.040636,28.042406,27.090876,28.00964,28.017475,28.055273,27.084139,27.072977,27.164391,27.141099
7/21/2022 17:15:09.322,28.004132,27.993035,31.9761,32.003096,27.986987,28.003903,27.989249,28.036702,27.096629,28.010394,27.998838,28.037079,27.075616,27.069321,27.161965,27.143689
7/21/2022 17:20:09.225,28.001379,28.056683,32.030929,32.015373,28.045996,28.007804,28.032834,28.019065,27.085729,28.018639,28.028703,28.001379,27.075599,27.06583,27.165407,27.140935
7/21/2022 17:25:09.489,28.029162,28.041636,31.982853,31.967035,28.041242,28.005263,28.011738,27.99256,27.082729,27.999149,28.047471,28.027703,27.063863,27.061732,27.157834,27.132149
7/21/2022 17:30:09.118,28.004673,28.033817,31.980116,31.965642,28.006657,28.002313,28.006214,28.030703,27.07078,28.045389,28.036833,28.018885,27.058782,27.047242,27.157408,27.143066
7/21/2022 17:35:09.290,28.000133,28.016213,32.031469,32.023061,27.997969,27.999559,28.034309,28.04316,27.068961,28.023359,28.020458,28.002739,27.050685,27.044915,27.147819,27.137017
7/21/2022 17:40:09.942,28.03049,27.996658,31.970723,31.994851,28.048176,28.004427,27.996707,28.031932,27.058421,28.000674,28.002542,28.041521,27.032687,27.037178,27.149458,27.134821
7/21/2022 17:45:10.293,28.017245,28.031457,31.97333,31.979657,28.031457,27.999035,28.018737,28.019999,27.051619,28.0269,28.011672,28.001575,27.02672,27.032375,27.144377,27.134641
7/21/2022 17:50:10.855,27.993986,28.051831,32.02488,32.009702,27.994757,28.009214,28.033063,27.994593,27.050996,28.008312,28.027424,28.025015,27.019295,27.015329,27.141246,27.120364
7/21/2022 17:55:06.728,28.033751,28.033129,31.965298,32.008899,27.999526,28.00746,27.996642,28.033997,27.031163,28.008673,28.012115,28.033981,27.014738,27.021279,27.137771,27.125412
7/21/2022 18:00:07.494,28.023048,28.005083,31.987885,31.962987,28.0616,28.003657,28.03962,28.031817,27.020115,28.018049,27.999871,28.003214,27.004035,27.008772,27.128674,27.118839
7/21/2022 18:05:09.853,27.996281,27.988839,32.016275,31.986984,28.045258,27.998609,27.986856,28.015229,27.009346,27.999854,28.017393,28.036849,27.023541,27.004379,27.125445,27.113873
7/21/2022 18:10:07.736,28.011869,28.045094,31.960315,32.021946,28.01718,28.005198,28.034178,27.997625,27.002494,28.006984,28.041537,28.031407,27.019394,27.02931,27.129428,27.10889
7/21/2022 18:15:10.391,28.046651,28.068747,31.975395,31.969724,27.989544,28.010607,27.999707,28.024376,27.001543,28.016983,28.029047,27.999313,27.015476,27.025327,27.121118,27.107152
7/21/2022 18:20:10.239,28.032145,28.040505,32.023405,31.956873,28.033456,28.00487,28.01759,28.025949,27.034424,28.017655,28.010754,28.024835,27.002429,27.023082,27.115414,27.105808
7/21/2022 18:25:07.417,28.005198,28.031489,31.969838,32.017225,28.051503,28.003559,28.03403,28.010066,27.041505,28.006427,28.004231,27.997215,27.008297,27.012722,27.109742,27.105923
7/21/2022 18:30:07.073,28.003985,28.008443,31.988295,32.014455,28.025523,28.007575,28.000772,27.996625,27.02418,28.011541,28.034128,28.036423,27.005756,27.002248,27.103809,27.095695
7/21/2022 18:35:10.585,28.042177,28.01972,32.021323,31.964429,27.989675,28.014639,28.025785,28.020458,27.015296,28.005558,28.025015,27.996232,26.999445,27.009821,27.106366,27.09858
7/21/2022 18:40:09.692,28.015639,28.056257,31.956447,31.994507,28.008279,27.997215,28.028424,28.022786,27.007166,28.002837,28.004034,28.050749,27.012444,27.015574,27.099416,27.09976
