Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
4/26/2022 21:15:10.751,27.98861,28.049438,28.033932,27.99656,28.025244,28.02749,27.974579,28.01341,26.991528,26.992528,27.05016,26.990381,26.982185,27.022115,26.990545,26.989791
4/26/2022 21:20:06.596,28.011459,28.018573,28.05288,28.005296,28.048831,28.025408,28.044291,28.035259,26.99638,27.063289,27.034408,27.034064,27.020443,27.047357,27.053766,27.015935
4/26/2022 21:25:10.035,27.994937,27.982643,28.012361,28.05524,28.00746,27.989544,28.013164,27.993839,27.068256,27.052274,26.99979,27.072354,27.054241,27.002543,27.049226,27.0795
4/26/2022 21:30:09.815,28.010968,28.048504,27.97571,28.035079,27.964449,28.00546,28.000494,27.982676,27.065994,27.018525,27.004494,27.032966,27.045111,26.988447,27.023901,27.068813
4/26/2022 21:35:09.470,28.008099,28.032702,28.04098,28.00782,28.011377,28.042275,28.039898,28.040423,27.033162,26.979251,27.040506,26.995446,27.007903,27.04775,26.988824,27.041407
4/26/2022 21:40:09.740,27.992839,27.982824,28.053126,27.996838,28.050552,28.000149,27.978382,28.033161,26.998741,27.003756,27.015673,27.011067,26.981317,27.016607,27.026622,27.006035
4/26/2022 21:45:10.069,28.012525,28.046717,28.01618,28.05624,28.023064,27.981135,28.046717,27.99038,26.982644,27.071419,26.987136,27.088843,27.052438,26.974285,27.047636,26.992217
4/26/2022 21:50:11.428,28.000313,28.023687,27.976087,28.030244,27.971219,28.039636,27.991265,28.012164,27.058651,27.061634,27.036424,27.049504,27.06165,27.030523,27.030851,27.029228
4/26/2022 21:55:08.425,28.013459,27.981053,28.034358,27.988216,27.991839,28.029031,28.008886,28.037702,27.06801,27.030064,27.036457,27.018722,27.028327,27.029409,26.990971,27.072632
4/26/2022 22:00:08.648,27.984184,28.04139,28.052716,28.017442,28.047586,27.985151,28.029588,28.012672,27.044948,26.993086,27.00533,26.981858,26.996069,26.994299,27.002117,27.060306
4/26/2022 22:05:07.668,28.017819,28.017508,28.020491,28.041882,28.038423,28.004182,27.975169,27.97494,27.008936,26.99061,26.99997,27.075517,26.997708,27.004199,27.070223,27.022049
4/26/2022 22:10:11.221,27.996297,27.981135,27.985807,28.030949,27.988675,28.044832,28.052683,28.029064,26.979448,27.05911,27.05752,27.058405,27.054995,27.041833,27.070436,26.991692
4/26/2022 22:15:07.924,28.011345,28.043816,28.028211,27.987823,27.973497,28.006837,27.999067,28.036685,27.050619,27.059257,27.039702,27.023852,27.056012,27.012444,27.037883,27.014214
4/26/2022 22:20:07.157,28.002346,28.020278,28.043783,28.034489,28.050307,27.972481,28.010328,27.995199,27.070977,27.024639,27.003986,26.982923,27.030392,26.983152,27.002658,27.072649
4/26/2022 22:25:07.263,28.012787,27.98625,28.009935,28.044701,28.048586,28.032457,28.032194,27.978693,27.047669,26.985873,27.002052,27.043882,26.983906,27.050127,26.995856,27.069141
4/26/2022 22:30:10.179,27.991724,28.046012,27.971956,28.010263,28.007722,28.028752,27.975956,28.032604,27.009887,27.001134,27.048996,27.081566,27.010001,27.0329,27.06406,27.039424
