gene,Fish_kME
Acropora1240,0
Acropora1242,0.654927330930496
Acropora1243,0
Acropora1251,0.7935891202861
Acropora1252,0
Acropora1253,0.575129667456756
Acropora1254,0.88840424375899
Acropora1257,0.386696823604757
Acropora1258,0.814643538744297
Acropora1259,0.528036210933089
Acropora1260,0
Acropora1264,0
Acropora1275,0
Acropora1276,0
Acropora1277,0.531476906793383
Acropora1278,0.782101247235801
Acropora1281,0
Acropora1291,0
Acropora1293,0.419837538153012
Acropora1294,0
Acropora1296,0.903504701331579
Acropora1297,0
Acropora1298,0.389990889203711
Acropora1303,0
Acropora1305,0.619235840997167
Acropora1306,0
Acropora1309,0
Acropora1312,0.501426667132745
Acropora1313,0.635895965968745
Acropora1314,0
Acropora1315,0.891945487625214
Acropora1316,0.415879580826601
Acropora1318,0.64305562530329
Acropora1320,0
Acropora1321,0.245327417107357
Acropora1322,0
Acropora1323,0.819250178090709
Acropora1327,0
Acropora1329,0
Acropora1331,0
Acropora1332,0
Acropora1335,0.290925542733997
Acropora1336,0.557426981609407
Acropora1337,0
Acropora1338,0.245715635424948
Acropora1339,0
Acropora1343,0
Acropora1344,-0.00885885778354346
Acropora1347,0
Acropora1356,0.314298681987063
Acropora1360,0
Acropora1361,0.863007057225893
Acropora1364,0
Acropora1370,0
Acropora1377,0.423190801862238
Acropora1378,0.696709994776454
Acropora1379,0
Acropora1380,0
Acropora1381,0.165629770879478
Acropora1382,0
Acropora1384,0
Acropora1389,0
Acropora1397,0
Acropora1399,0
Acropora1402,0
Acropora1405,0.320026733688254
Acropora1406,0
Acropora1409,0.653495722980144
Acropora1411,0.648113461555503
Acropora1424,0.462966035477898
Acropora1432,0
Acropora1435,0
Acropora1436,0
Acropora1437,0
Acropora1438,0
Acropora1439,0.89681911940803
Acropora1441,0
Acropora1442,0
Acropora1446,0
Acropora1458,0
Acropora1475,0
Acropora1493,0
Acropora1497,0.139950407686818
Acropora1498,0.616408022585069
Acropora1502,0
Acropora1504,0
Acropora1508,0.397702112175856
Acropora1511,0
Acropora1514,0.655056672334206
Acropora1515,0.44636605502876
Acropora1516,0.826101184388344
Acropora1517,0.154698698968115
Acropora1518,0
Acropora1519,0.333651960065802
Acropora1521,0
Acropora1522,0
Acropora1523,0
Acropora1524,0
Acropora1526,0
Acropora1528,0
Acropora1529,0
Acropora1530,0
Acropora1531,0
Acropora1532,0.111835172100853
Acropora1533,0
Acropora1534,0
Acropora1538,0.170102128079396
Acropora1540,0
Acropora1545,0
Acropora1546,0
Acropora1557,0
Acropora1558,0
Acropora1560,0
Acropora1561,0
Acropora1579,0
Acropora1580,0
Acropora1581,0
Acropora1583,0
Acropora1586,0
Acropora1587,0
Acropora1590,0
Acropora1592,0
Acropora1594,0
Acropora1595,0
Acropora1596,0
Acropora1597,0
Acropora1598,0
Acropora1599,0
Acropora1600,0
Acropora1601,0
Acropora1602,0
Acropora1603,0
Acropora1605,0
Acropora1606,0
Acropora1609,0.421214105965203
Acropora1610,0.713083058345963
Acropora1611,0
Acropora1613,0
Acropora1615,0
Acropora1616,0
Acropora1617,0
Acropora1618,0
Acropora1619,0
Acropora1622,0.390511551079046
Acropora1623,0
Acropora1625,0
Acropora1627,0
Acropora1630,0
Acropora1632,0
Acropora1633,0.0571929632834067
Acropora1634,0
Acropora1635,0.731457854657658
Acropora1636,0
Acropora1637,0.316720231315671
Acropora1638,0.278294506156938
Acropora1642,0.552753619953448
Acropora1643,0
Acropora1645,0.875027537184151
Acropora1646,0
Acropora1647,0.907976471602131
Acropora1648,0.311975896181124
Acropora1653,0
Acropora1654,0
Acropora1656,0
Acropora1657,0
Acropora1660,0
Acropora1662,0
Acropora1663,0.500420731122024
Acropora1664,0
Acropora1665,0
Acropora1666,0
Acropora1667,0
Acropora1668,0
Acropora1669,0
Acropora1670,0.33220502841323
Acropora1671,0
Acropora1673,0.772037127728906
Acropora1676,0
Acropora1678,0
Acropora1680,0
Acropora1681,0
Acropora1684,0
Acropora1687,0
Acropora1689,0
Acropora1691,0
Acropora1694,0
Acropora1699,0
Acropora1703,0
Acropora1705,0
Acropora1707,0.513531668859
Acropora1708,0
Acropora1710,0
Acropora1711,0
Acropora1712,0
Acropora1716,0
Acropora1718,0
Acropora1720,0
Acropora1723,0
Acropora1724,0
Acropora1727,0
Acropora1729,0
Acropora1731,0.702026913995459
Acropora1734,0.350481305456743
Acropora1746,0
Acropora1748,0.417753651183679
Acropora1754,0
Acropora1755,0
Acropora1757,0
Acropora1760,0
Acropora1761,0
Acropora1763,0.432427457768346
Acropora1764,0
Acropora1765,0
Acropora1766,0
Acropora1767,0.440915649138936
Acropora1768,0
Acropora1769,0
Acropora1770,0
Acropora1771,0.193405554132255
Acropora1772,0
Acropora1775,0.540597842994037
Acropora1776,0.387209802281662
Acropora1777,0
Acropora1779,0
Acropora1781,0
Acropora1782,0
Acropora1783,0.214082680985002
Acropora1784,0.268624465918586
Acropora1785,0
Acropora1786,0
Acropora1788,0
Acropora1789,0.601572138149065
Acropora1791,0
Acropora1793,0.780777844620364
Acropora1797,0
Acropora1799,0
Acropora1801,0.445994157575744
Acropora1802,0.686656011943267
Acropora1803,0
Acropora1805,0
Acropora1806,0
Acropora1808,0
Acropora1809,0
Acropora1816,0
Acropora1827,0
Acropora1829,0.159928875408069
Acropora1837,0.60551014900713
Acropora1847,0.441203368409813
Acropora1848,0
Acropora1850,0.35023955497966
Acropora1853,0.633688423157794
Acropora1855,0
Acropora1857,0
Acropora1859,0.280972106213469
Acropora1861,0.202317798659038
Acropora1862,0.211838569378908
Acropora1863,0.189613014855914
Acropora1864,0
Acropora1867,0
Acropora1869,0.545040146143049
Acropora1870,0
Acropora1871,0
Acropora1872,0.681335471926054
Acropora1873,0
Acropora1874,0
Acropora1876,0.69630577791045
Acropora1877,0
Acropora1879,0
Acropora1882,0
Acropora1886,0
Acropora1887,0
Acropora1888,0
Acropora1889,0
Acropora1890,0
Acropora1892,0
Acropora1893,0
Acropora1894,0
Acropora1895,0
Acropora1897,0
Acropora1898,0
Acropora1901,0
Acropora1902,0
Acropora1906,0
Acropora1907,0.521262421352281
Acropora1909,0.858893529937966
Acropora1911,0
