gene,lpv
Acropora445,0.122746535
Acropora446,-0.007015124
Acropora447,-3.734223007
Acropora448,13.81970385
Acropora449,-0.195838603
Acropora452,-0.78729305
Acropora453,-0.241193294
Acropora454,0.580255984
Acropora455,-0.13093662
Acropora456,-0.108124675
Acropora457,1.603377349
Acropora464,-0.038493846
Acropora465,0.022614298
Acropora466,-2.062785542
Acropora467,-0.377202296
Acropora469,-0.417672282
Acropora470,0.136488937
Acropora471,0.112242438
Acropora475,0.17156137900000001
Acropora476,0.348020546
Acropora477,-0.534286028
Acropora478,0.14573283
Acropora479,0.284870777
Acropora480,-7.351104219
Acropora481,-5.121922182
Acropora482,-0.186974278
Acropora483,-0.520233383
Acropora485,0.002639292
Acropora486,-0.184267535
Acropora487,-2.648351136
Acropora490,5.175926711
Acropora492,-0.257703792
Acropora494,-0.164007642
Acropora496,2.557954948
Acropora497,-3.139138347
Acropora498,8.096712719
Acropora499,-6.51276095
Acropora500,-2.132980678
Acropora501,-7.234015313
Acropora502,0.339145094
Acropora503,-3.697234539
Acropora506,0.055368919
Acropora507,-0.275330702
Acropora508,-1.951914032
Acropora509,1.762998883
Acropora510,-0.161510455
Acropora511,-11.2522583
Acropora512,-0.743498023
Acropora513,2.984311737
Acropora514,0.53116762
Acropora515,0.009335446
Acropora516,1.829118953
Acropora517,-1.168283556
Acropora518,0.032443503
Acropora519,9.947918446
Acropora520,-0.425944436
Acropora521,0.092920732
Acropora522,0.152511531
Acropora523,-0.291989959
Acropora524,0.36904844
Acropora525,2.823304337
Acropora526,-0.128464529
Acropora527,0.536893369
Acropora528,0.086170308
Acropora531,0.837761143
Acropora532,1.205411949
Acropora533,0.010046576
Acropora534,-1.989593382
Acropora535,0.969768555
Acropora536,1.874028377
Acropora537,0.412082614
Acropora538,0.311536841
Acropora539,-0.074873625
Acropora541,1.515272857
Acropora542,0.032021097
Acropora543,-0.440653786
Acropora544,0.045850814
Acropora546,-2.212809091
Acropora549,-0.043297665
Acropora550,-0.285328758
Acropora551,-1.456447599
Acropora552,-0.209482722
Acropora555,0.998839254
Acropora556,0.675213766
Acropora561,-0.44011445
Acropora562,0.083618386
Acropora564,-1.857307509
Acropora565,-0.29131394
Acropora566,-2.509126942
Acropora567,-0.161127008
Acropora570,-1.670202624
Acropora572,-0.120592462
Acropora573,-1.814609114
Acropora574,-0.010332158
Acropora575,-0.197639426
Acropora576,0.360775388
Acropora577,-0.122382384
Acropora579,-0.540640447
Acropora580,-3.914091851
Acropora581,-0.141442608
Acropora582,4.510106495
Acropora583,-0.526557899
Acropora584,-0.134638562
Acropora587,-1.180533307
Acropora588,0.098288532
Acropora590,0.614069517
Acropora594,-4.517356756
Acropora595,-0.012621595
Acropora596,0.726288599
Acropora598,0.123415954
Acropora601,2.637802371
Acropora602,9.102844455
Acropora603,0.127041224
Acropora604,-0.520385963
Acropora605,5.796840914
Acropora607,0.159013391
Acropora608,-0.353858792
Acropora609,-0.008534134
Acropora610,-2.955633815
Acropora611,-4.860994361
Acropora612,-0.116788447
Acropora613,-0.613027686
Acropora614,-3.564552972
Acropora615,1.403485408
Acropora616,0.550853206
Acropora617,0.620624259
Acropora618,-0.46434668
Acropora619,5.204954572
Acropora620,-0.16132817
Acropora624,1.597425924
Acropora625,-0.364713124
Acropora626,-6.597851336
Acropora627,-1.403485408
Acropora628,-1.482762371
Acropora629,-13.05627697
Acropora631,1.612130659
Acropora632,0.215323611
Acropora633,-2.619823064
Acropora634,0.079608893
