term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0008039,synaptic target recognition,102,0.765168334003836,4,29,0.951207132844099,140,0.615508201403157,2,58,0.792595756555462
GO:0008045,motor neuron axon guidance,324,0.171787003478542,2,60,0.618138591012828,-481,0.0862718363613433,3,57,0.245751392892314
GO:0008063,Toll signaling pathway,307,0.515685487507899,3,15,0.852682434352321,-236,0.303102904336901,2,86,0.525366567967704
GO:0008088,axo-dendritic transport,-267,0.268302138245428,2,58,0.715147999289727,102,0.760257087312702,4,40,0.882817423806437
GO:0008156,negative regulation of DNA replication,1080,0.00147737190198751,4,29,0.05233158263209,1228,0.00145927421430913,4,30,0.0122487948728098
GO:0008202,steroid metabolic process,45,0.790047917475564,2,120,0.956226179238785,331,0.0443424063796915,4,168,0.154356171072048
GO:0008203,cholesterol metabolic process,-12,0.965702780082918,2,44,0.994714383228984,339,0.230524012124516,4,56,0.448403247212666
GO:0008217,regulation of blood pressure,370,0.109635295283804,3,63,0.516906253909378,-114,0.670629217743541,2,63,0.822671818466664
GO:0008277,regulation of G protein-coupled receptor signaling pathway,-211,0.32980697917598,2,72,0.757548080783833,192,0.509774291903751,5,53,0.714303795038387
GO:0008283,cell population proliferation,177,0.0447305538255404,1,464,0.370265813533115,-37,0.710356890760421,1,468,0.851394127500526
GO:0008284,positive regulation of cell population proliferation,191,0.0447165592986514,2,392,0.370265813533115,-56,0.623454465675843,2,362,0.79649393278602
GO:0008285,negative regulation of cell population proliferation,63,0.535054590791362,2,345,0.863527453481325,-235,0.0535773876826357,5,313,0.176675076693098
GO:0008286,insulin receptor signaling pathway,14,0.954345421420964,2,58,0.99377233269367,-662,0.00114464497199464,2,109,0.0104119226921267
GO:0008293,torso signaling pathway,-133,0.770819713893906,2,16,0.951502292035375,513,0.163611961213467,7,33,0.36472492320797
GO:0008298,intracellular mRNA localization,-254,0.326952618038685,4,50,0.757548080783833,-186,0.503176610352011,4,58,0.708504634612942
GO:0008306,associative learning,-257,0.175831626752559,6,94,0.620731291126685,-446,0.0408614453509677,2,95,0.145067443236295
GO:0008333,endosome to lysosome transport,121,0.641332551233837,3,50,0.911771974714772,-418,0.242729129749748,2,35,0.463154506683087
GO:0008344,adult locomotory behavior,287,0.154348593361293,2,83,0.597751663592126,12,0.953545565242306,2,107,0.974620679856316
GO:0008345,larval locomotory behavior,794,0.0465560580962152,3,21,0.377938817786484,264,0.448497193596767,2,37,0.66310842286116
GO:0008347,glial cell migration,-271,0.344035310417242,2,41,0.766005150337165,-58,0.843463502278238,4,52,0.923654381809892
GO:0008354,germ cell migration,-226,0.412668202547057,2,44,0.816495528721302,176,0.486860495930126,2,70,0.696594316026655
