delta.rank,pval,level,nseqs,term,name,p.adj,GO_category,Contrast
-630,0.00124538170423353,2,112,GO:0036294;GO:0071453;GO:0071456,cellular response to oxygen levels,0.0193321040700533,BP,Variable_vs_Initial
-2354,0.0023921218003551,4,7,GO:0036500,ATF6-mediated unfolded protein response,0.0305849858759688,BP,Variable_vs_Initial
-513,3.31110685266449e-4,3,212,GO:0040029,"regulation of gene expression, epigenetic",0.00735117056281481,BP,Variable_vs_Initial
-1397,0.0030066224736172,2,19,GO:0040034,"regulation of development, heterochronic",0.036411127366724,BP,Variable_vs_Initial
-797,8.14544897590071e-4,2,75,GO:0042048,olfactory behavior,0.0144449324253744,BP,Variable_vs_Initial
-577,0.00251274019380209,3,117,GO:0042110,T cell activation,0.0317402920036502,BP,Variable_vs_Initial
1931,1.67180918946101e-4,4,16,GO:0042135,neurotransmitter catabolic process,0.00435278319874212,BP,Variable_vs_Initial
1915,4.76993453418878e-5,6,19,GO:0042402;GO:0009310,cellular biogenic amine catabolic process,0.00175518598006388,BP,Variable_vs_Initial
1646,4.72792681408452e-4,4,19,GO:0042447,hormone catabolic process,0.00974941888380934,BP,Variable_vs_Initial
-761,0.00173354218815951,2,72,GO:0042490;GO:0060113,mechanoreceptor differentiation,0.0245178509969819,BP,Variable_vs_Initial
-284,0.00131155254386363,2,585,GO:0043066;GO:0043069;GO:0060548,negative regulation of cell death,0.0200335279233357,BP,Variable_vs_Initial
-684,0.00432171193185826,3,74,GO:0043122;GO:0043123,regulation of I-kappaB kinase/NF-kappaB signaling,0.0469729904092678,BP,Variable_vs_Initial
-1345,0.002113192919195,2,22,GO:0043267,negative regulation of potassium ion transport,0.0282812360774508,BP,Variable_vs_Initial
-749,0.00389590194225141,2,63,GO:0043277,apoptotic cell clearance,0.0440473260326602,BP,Variable_vs_Initial
-429,0.00455409702732889,4,189,GO:0043405;GO:0043406,regulation of MAP kinase activity,0.0485770349581748,BP,Variable_vs_Initial
-355,0.00139157624078525,2,358,GO:0043408,regulation of MAPK cascade,0.0208118765201512,BP,Variable_vs_Initial
-576,0.00424690006178536,7,105,GO:0043409,negative regulation of MAPK cascade,0.046424128919669,BP,Variable_vs_Initial
-294,0.00127453810797097,2,548,GO:0043549;GO:0051338;GO:0045859,regulation of transferase activity,0.0195886409634369,BP,Variable_vs_Initial
734,0.00145648781646838,6,80,GO:0043648,dicarboxylic acid metabolic process,0.02172594326232,BP,Variable_vs_Initial
-319,6.22897329427124e-4,2,521,GO:0044092,negative regulation of molecular function,0.0119133029360396,BP,Variable_vs_Initial
446,2.02962006772513e-5,2,406,GO:0044283,small molecule biosynthetic process,8.51080745436441e-4,BP,Variable_vs_Initial
-531,0.0012084826621611,2,160,GO:0045089;GO:0002833;GO:0031349,positive regulation of defense response,0.018965935269085,BP,Variable_vs_Initial
-511,0.0039512745870545,3,136,GO:0045637,regulation of myeloid cell differentiation,0.0444104715981638,BP,Variable_vs_Initial
-551,0.0013108939875664,2,146,GO:0045665,negative regulation of neuron differentiation,0.0200335279233357,BP,Variable_vs_Initial
-724,0.00428646245819018,2,66,GO:0045746,negative regulation of Notch signaling pathway,0.046767346591454,BP,Variable_vs_Initial
-715,0.00158585140648888,3,83,GO:0045766;GO:1904018,positive regulation of vasculature development,0.0229968528009324,BP,Variable_vs_Initial
-517,0.00201198769229517,2,153,GO:0045785,positive regulation of cell adhesion,0.0272450721074864,BP,Variable_vs_Initial
-646,5.00217755022578e-4,2,124,GO:0045807,positive regulation of endocytosis,0.0102330260741762,BP,Variable_vs_Initial
795,0.00199749471113591,2,64,GO:0046165,alcohol biosynthetic process,0.0271129139938069,BP,Variable_vs_Initial
1836,2.24974297482767e-4,2,17,GO:0046337,phosphatidylethanolamine metabolic process,0.00541450746210626,BP,Variable_vs_Initial
1553,5.2810155173559e-4,5,21,GO:0046466,membrane lipid catabolic process,0.0106139146959349,BP,Variable_vs_Initial
-548,0.00106730977692518,2,153,GO:0046578;GO:0051056,regulation of small GTPase mediated signal transduction,0.0176061622146528,BP,Variable_vs_Initial
-1192,0.00148708667884619,5,30,GO:0046631;GO:0046632,alpha-beta T cell activation,0.0220482894192581,BP,Variable_vs_Initial
-518,0.00122226524782784,4,168,GO:0046883,regulation of hormone secretion,0.0190248242922768,BP,Variable_vs_Initial
-668,0.00251572845140663,3,87,GO:0046887,positive regulation of hormone secretion,0.0317402920036502,BP,Variable_vs_Initial
-904,5.45610866919234e-4,2,62,GO:0048259,regulation of receptor-mediated endocytosis,0.010851593908727,BP,Variable_vs_Initial
-677,0.00279023669937827,5,83,GO:0048814,regulation of dendrite morphogenesis,0.0344449909785317,BP,Variable_vs_Initial
-1599,4.14983319612043e-6,3,35,GO:0050433,regulation of catecholamine secretion,2.59614320399233e-4,BP,Variable_vs_Initial
-1073,4.70508999622059e-5,4,61,GO:0050688,regulation of defense response to virus,0.00175004905833452,BP,Variable_vs_Initial
-1337,0.00178518888887849,2,23,GO:0050691,regulation of defense response to virus by host,0.0248790071460138,BP,Variable_vs_Initial
-423,1.57515218317009e-4,2,352,GO:0050776,regulation of immune response,0.00425375149318136,BP,Variable_vs_Initial
-1847,7.54870742406528e-4,4,14,GO:0050779;GO:0061157,RNA destabilization,0.0137703809315433,BP,Variable_vs_Initial
-554,0.00307947195985602,2,122,GO:0050863;GO:1903037,regulation of T cell activation,0.037012837120715,BP,Variable_vs_Initial
-437,0.00273829969655012,2,203,GO:0050878,regulation of body fluid levels,0.0340238192230783,BP,Variable_vs_Initial
-1788,0.00384269658892492,2,11,GO:0050907;GO:0050911,detection of chemical stimulus involved in sensory perception,0.043846545938968,BP,Variable_vs_Initial
-762,2.39506369343758e-4,4,99,GO:0051048;GO:1903531,negative regulation of secretion,0.005668977204963,BP,Variable_vs_Initial
-1707,0.00269619345993142,2,13,GO:0051085,chaperone cofactor-dependent protein refolding,0.0336466146808,BP,Variable_vs_Initial
-464,9.46695116366643e-4,2,220,GO:0051090,regulation of DNA-binding transcription factor activity,0.0162512166545755,BP,Variable_vs_Initial
-492,2.04963447034581e-4,3,248,GO:0051098,regulation of binding,0.00510448097658296,BP,Variable_vs_Initial
-534,0.00452517905544154,2,121,GO:0051099,positive regulation of binding,0.0483586299059126,BP,Variable_vs_Initial
-750,7.95324190914547e-4,4,85,GO:0051101,regulation of DNA binding,0.0142599388854552,BP,Variable_vs_Initial
-376,9.45985644479512e-5,2,485,GO:0051129,negative regulation of cellular component organization,0.00286698718072944,BP,Variable_vs_Initial
-2647,0.00389874202139642,3,5,GO:0051208,sequestering of calcium ion,0.0440473260326602,BP,Variable_vs_Initial
-370,2.95336699198654e-5,2,582,GO:0051248;GO:0032269,negative regulation of protein metabolic process,0.00117478375903465,BP,Variable_vs_Initial
-423,5.73110798306112e-4,3,291,GO:0051493,regulation of cytoskeleton organization,0.0112040227054519,BP,Variable_vs_Initial
-1947,0.00164572617329858,2,11,GO:0051567,histone H3-K9 methylation,0.0235667988016357,BP,Variable_vs_Initial
-1200,0.00165576990193982,2,29,GO:0051602,response to electrical stimulus,0.0236122073385716,BP,Variable_vs_Initial
-291,0.00224477112353639,3,500,GO:0051656;GO:0051640,organelle localization,0.0294234530792138,BP,Variable_vs_Initial
-722,0.00467486172608653,2,65,GO:0051668,localization within membrane,0.0494965027116888,BP,Variable_vs_Initial
-317,5.44723150845568e-4,3,542,GO:0051707;GO:0043207;GO:0009607,response to biotic stimulus,0.010851593908727,BP,Variable_vs_Initial
-1018,5.20740621762459e-5,3,67,GO:0051865,protein autoubiquitination,0.00185103904142212,BP,Variable_vs_Initial
-446,6.42844828506451e-5,3,355,GO:0060627,regulation of vesicle-mediated transport,0.00219179474862199,BP,Variable_vs_Initial
-1380,1.14385008013973e-4,4,33,GO:0061014,positive regulation of mRNA catabolic process,0.00333912457351173,BP,Variable_vs_Initial
-2488,6.01218852477777e-4,6,8,GO:0061158,3'-UTR-mediated mRNA destabilization,0.0117135428129004,BP,Variable_vs_Initial
-1921,0.00306136229661005,2,10,GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia,0.0369168068104892,BP,Variable_vs_Initial
-1453,0.00462888093080331,4,16,GO:0061548,ganglion development,0.0491915212831936,BP,Variable_vs_Initial
-1660,0.00121185969072715,3,16,GO:0061647,histone H3-K9 modification,0.018965935269085,BP,Variable_vs_Initial
1674,7.71210944699143e-4,4,17,GO:0070129,regulation of mitochondrial translation,0.0139353195307151,BP,Variable_vs_Initial
-697,0.001126355014952,2,93,GO:0071216;GO:0071219;GO:0071222,cellular response to biotic stimulus,0.0180721611362607,BP,Variable_vs_Initial
-342,0.00415560171530429,5,308,GO:0071407,cellular response to organic cyclic compound,0.0456876902596218,BP,Variable_vs_Initial
-389,0.0014896452523137,4,293,GO:0071900,regulation of protein serine/threonine kinase activity,0.0220482894192581,BP,Variable_vs_Initial
-2514,0.00267091929287265,5,6,GO:0072383;GO:0072386,plus-end-directed organelle transport along microtubule,0.0334039862654466,BP,Variable_vs_Initial
-306,0.0030822491806182,3,417,GO:0090066,regulation of anatomical structure size,0.037012837120715,BP,Variable_vs_Initial
-1689,0.00434644754039032,3,12,GO:0097201,negative regulation of transcription from RNA polymerase II promoter in response to stress,0.0471523702866586,BP,Variable_vs_Initial
-1297,0.00377708094499492,3,21,GO:0098815,modulation of excitatory postsynaptic potential,0.0432702393058618,BP,Variable_vs_Initial
-1936,0.00174710953260539,2,11,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,0.0246308035577682,BP,Variable_vs_Initial
