Colony,Species,Treatment,Puck,Ft,Fm,fvfmraw,fvfm,max_temp,problem
SI-C,Acervicornis,Variable,A131,0.1862,0.3226,0.423,0.423,30.058009,none
SI-C,Acervicornis,Variable,A8,0.0484,0.0577,0.161,0.161,37.237979,none
MB-B,Acervicornis,Variable,A65,0.2121,0.4027,0.473,0.473,32.028421,none
SI-C,Acervicornis,Variable,A62,0.1862,0.3245,0.426,0.426,28.062485,none
SI-C,Acervicornis,Variable,A113,0.1588,0.2199,0.278,0.278,36.242635,none
MB-B,Acervicornis,Variable,A38,0.172,0.3543,0.514,0.514,34.194577,none
MB-B,Acervicornis,Variable,A54,0.0479,0.0552,0.133,0.133,37.237979,none
BC-8b,Acervicornis,Variable,A76,0.1984,0.2405,0.175,0.175,36.242635,none
BC-8b,Acervicornis,Variable,A58,0.1818,0.2033,0.106,0.106,37.237979,none
BC-8b,Acervicornis,Variable,A60,0.1931,0.3451,0.441,0.441,34.194577,none
BC-8b,Acervicornis,Variable,A68,0.2019,0.3954,0.489,0.489,34.194577,none
SI-C,Acervicornis,Variable,A69,0.1579,0.2019,0.218,0.218,36.242635,none
MB-B,Acervicornis,Variable,A94,0.1701,0.324,0.475,0.475,30.058009,none
SI-C,Acervicornis,Variable,A29,0.2229,0.3729,0.402,0.402,32.028421,none
BC-8b,Acervicornis,Variable,A32,0.1579,0.35,0.549,0.549,30.058009,none
BC-8b,Acervicornis,Variable,A125,0.2009,0.3368,0.403,0.403,28.062485,none
SI-C,Acervicornis,Variable,A79,0.219,0.4027,0.456,0.456,33.051499,none
MB-B,Acervicornis,Variable,A13,0.1779,0.3563,0.501,0.501,30.058009,none
A,Pclivosa,Control,P13,0.1921,0.3157,0.392,0.392,28.062485,none
B,Pclivosa,Control,P122,0.1481,0.2835,0.478,0.478,30.058009,none
C,Pclivosa,Control,P91,0.1642,0.2903,0.434,0.434,28.062485,none
A,Pclivosa,Control,P57,0.1246,0.1525,0.183,0.183,37.237979,none
C,Pclivosa,Control,P148,0.1696,0.2908,0.417,0.417,32.028421,none
A,Pclivosa,Control,P26,0.1256,0.2542,0.506,0.506,33.051499,none
MB-B,Acervicornis,Variable,A103,0.0816,0.0934,0.126,0.126,37.237979,none
BC-8b,Acervicornis,Variable,A145,0.1657,0.2297,0.279,0.279,36.242635,none
MB-B,Acervicornis,Variable,A21,0.2165,0.4316,0.498,0.498,32.028421,none
BC-8b,Acervicornis,Variable,A91,0.2326,0.458,0.492,0.492,30.058009,none
SI-C,Acervicornis,Variable,A117,0.0484,0.0538,0.1,0.1,37.237979,none
MB-B,Acervicornis,Variable,A4,0.1745,0.3392,0.486,0.486,34.194577,none
A,Pclivosa,Control,P33,0.1598,0.2722,0.413,0.413,34.194577,none
A,Pclivosa,Control,P7,0.1515,0.2747,0.448,0.448,28.062485,none
B,Pclivosa,Control,P146,0.1491,0.2717,0.451,0.451,34.194577,none
A,Pclivosa,Control,P30,0.1457,0.2683,0.457,0.457,34.194577,none
B,Pclivosa,Control,P29,0.1359,0.2561,0.469,0.469,32.028421,none
C,Pclivosa,Control,P17,0.1681,0.2664,0.369,0.369,35.166187,none
C,Pclivosa,Control,P38,0.1437,0.1716,0.162,0.162,37.237979,none
B,Pclivosa,Variable,P120,0.176,0.3353,0.475,0.475,35.166187,none
A,Pclivosa,Variable,P25,0.1574,0.2864,0.451,0.451,35.166187,none
A,Pclivosa,Variable,P53,0.1373,0.1579,0.13,0.13,37.237979,none
A,Pclivosa,Variable,P21,0.1422,0.2727,0.478,0.478,28.062485,none
C,Pclivosa,Variable,P106,0.2053,0.2859,0.282,0.282,36.242635,none
C,Pclivosa,Variable,P22,0.173,0.3372,0.487,0.487,33.051499,none
C,Pclivosa,Variable,P103,0.1364,0.2331,0.415,0.415,35.166187,none
B,Pclivosa,Variable,P90,0.1608,0.2889,0.443,0.443,30.058009,none
B,Pclivosa,Variable,P114,0.1505,0.2908,0.482,0.482,28.062485,none
C,Pclivosa,Variable,P31,0.1652,0.1965,0.159,0.159,37.237979,none
BC-8b,Acervicornis,Variable,A147,0.1535,0.3456,0.556,0.556,35.166187,none
MB-B,Acervicornis,Variable,A59,0.1232,0.1872,0.342,NA,36.242635,abnormally high w/ low Ft
SI-C,Acervicornis,Control,A86,0.0391,0.043,0,0,37.237979,none
BC-8b,Acervicornis,Control,A104,0.1378,0.1789,0.23,0.23,36.242635,none
SI-C,Acervicornis,Variable,A107,0.174,0.2512,0.307,0.307,36.242635,none
A,Pclivosa,Control,P142,0.1584,0.2957,0.464,0.464,30.058009,none
