"","Puck","Colony","Treatment","Species","fvfm","Tank","Date","Treatment_period","CBASS_temp"
"41","P6","B","Variable","Pclivosa",0.24,1,2022-04-22,"CBASS","36"
"42","P71","C","Variable","Pclivosa",0.152,2,2022-04-22,"CBASS","37"
"43","P112","B","Variable","Pclivosa",0.456,6,2022-04-22,"CBASS","30"
"44","P109","B","Variable","Pclivosa",0.424,8,2022-04-22,"CBASS","28"
"45","P87","A","Variable","Pclivosa",0.399,7,2022-04-22,"CBASS","34"
"46","P125","A","Variable","Pclivosa",0.366,8,2022-04-22,"CBASS","28"
"47","P118","B","Variable","Pclivosa",0.217,2,2022-04-22,"CBASS","37"
"48","P14","B","Variable","Pclivosa",0.244,2,2022-04-22,"CBASS","37"
"49","P128","A","Variable","Pclivosa",0.201,1,2022-04-22,"CBASS","36"
"50","P77","A","Variable","Pclivosa",0.344,7,2022-04-22,"CBASS","34"
"51","P45","B","Variable","Pclivosa",0.459,3,2022-04-22,"CBASS","32"
"52","P138","B","Variable","Pclivosa",0.45,3,2022-04-22,"CBASS","32"
"53","P100","A","Variable","Pclivosa",0.429,3,2022-04-22,"CBASS","32"
"54","P98","A","Variable","Pclivosa",0.429,4,2022-04-22,"CBASS","33"
"55","P119","A","Variable","Pclivosa",0.388,8,2022-04-22,"CBASS","28"
"56","P67","C","Variable","Pclivosa",0.407,3,2022-04-22,"CBASS","32"
"57","P105","B","Variable","Pclivosa",0.445,8,2022-04-22,"CBASS","28"
"58","P40","C","Variable","Pclivosa",0.436,6,2022-04-22,"CBASS","30"
"59","P88","B","Variable","Pclivosa",0.497,4,2022-04-22,"CBASS","33"
"60","P42","A","Variable","Pclivosa",0.368,6,2022-04-22,"CBASS","30"
"61","P104","C","Variable","Pclivosa",0.442,4,2022-04-22,"CBASS","33"
"62","P137","C","Variable","Pclivosa",0.148,2,2022-04-22,"CBASS","37"
"63","P129","B","Control","Pclivosa",0.501,4,2022-04-22,"CBASS","33"
"64","P93","B","Control","Pclivosa",0.464,6,2022-04-22,"CBASS","30"
"65","P139","B","Control","Pclivosa",0.446,5,2022-04-22,"CBASS","35"
"66","P69","A","Control","Pclivosa",0.472,4,2022-04-22,"CBASS","33"
"67","P97","A","Control","Pclivosa",0.472,6,2022-04-22,"CBASS","30"
"68","P81","C","Control","Pclivosa",0.417,7,2022-04-22,"CBASS","34"
"69","P149","B","Variable","Pclivosa",0.465,7,2022-04-22,"CBASS","34"
"70","P117","A","Variable","Pclivosa",0.161,2,2022-04-22,"CBASS","37"
"71","P130","A","Variable","Pclivosa",0.379,7,2022-04-22,"CBASS","34"
"72","P113","B","Variable","Pclivosa",0.258,2,2022-04-22,"CBASS","37"
"73","P136","C","Variable","Pclivosa",0.392,4,2022-04-22,"CBASS","33"
"74","P92","B","Variable","Pclivosa",0.433,5,2022-04-22,"CBASS","35"
"75","P23","C","Variable","Pclivosa",0.405,6,2022-04-22,"CBASS","30"
"76","P84","B","Control","Pclivosa",0.324,1,2022-04-22,"CBASS","36"
"77","P4","A","Control","Pclivosa",0.469,3,2022-04-22,"CBASS","32"
"78","P56","B","Control","Pclivosa",0.321,1,2022-04-22,"CBASS","36"
"79","P27","B","Control","Pclivosa",0.502,7,2022-04-22,"CBASS","34"
"80","P134","C","Control","Pclivosa",0.496,4,2022-04-22,"CBASS","33"
"81","P64","C","Control","Pclivosa",0.477,6,2022-04-22,"CBASS","30"
"82","P20","B","Control","Pclivosa",0.441,5,2022-04-22,"CBASS","35"
"83","P83","A","Control","Pclivosa",0.528,7,2022-04-22,"CBASS","34"
"84","P115","C","Control","Pclivosa",0.414,3,2022-04-22,"CBASS","32"
"85","P70","B","Control","Pclivosa",0.174,2,2022-04-22,"CBASS","37"
"86","P60","B","Control","Pclivosa",0.168,2,2022-04-22,"CBASS","37"
"87","P52","B","Control","Pclivosa",0.411,7,2022-04-22,"CBASS","34"
"88","P28","C","Control","Pclivosa",0.253,1,2022-04-22,"CBASS","36"
"89","P35","C","Control","Pclivosa",0.135,2,2022-04-22,"CBASS","37"
"90","P89","B","Control","Pclivosa",0.533,3,2022-04-22,"CBASS","32"
"91","P41","C","Control","Pclivosa",0.404,5,2022-04-22,"CBASS","35"
"92","P110","A","Control","Pclivosa",0.405,5,2022-04-22,"CBASS","35"
"93","P1","B","Control","Pclivosa",0.487,3,2022-04-22,"CBASS","32"
"94","P54","A","Control","Pclivosa",0.274,1,2022-04-22,"CBASS","36"
"95","P135","C","Control","Pclivosa",0.464,7,2022-04-22,"CBASS","34"
"96","P147","C","Control","Pclivosa",0.493,6,2022-04-22,"CBASS","30"
"97","P24","B","Control","Pclivosa",0.516,6,2022-04-22,"CBASS","30"
"98","P49","B","Control","Pclivosa",0.509,4,2022-04-22,"CBASS","33"
"99","P127","A","Control","Pclivosa",0.18,2,2022-04-22,"CBASS","37"
"100","P80","C","Control","Pclivosa",0.489,8,2022-04-22,"CBASS","28"
"101","P34","A","Control","Pclivosa",0.477,8,2022-04-22,"CBASS","28"
"102","P73","B","Control","Pclivosa",0.194,2,2022-04-22,"CBASS","37"
"103","P58","A","Control","Pclivosa",0.475,5,2022-04-22,"CBASS","35"
"104","P116","A","Control","Pclivosa",0.16,2,2022-04-22,"CBASS","37"
"105","P36","C","Control","Pclivosa",0.46,6,2022-04-22,"CBASS","30"
"106","P44","C","Control","Pclivosa",0.488,3,2022-04-22,"CBASS","32"
"107","P16","A","Control","Pclivosa",0.488,3,2022-04-22,"CBASS","32"
"108","P131","C","Control","Pclivosa",0.229,1,2022-04-22,"CBASS","36"
"109","A24","MB-B","Variable","Acervicornis",0.539,7,2022-04-22,"CBASS","34"
"110","A96","SI-C","Variable","Acervicornis",0.525,8,2022-04-22,"CBASS","28"
"111","A83","MB-B","Variable","Acervicornis",0.572,4,2022-04-22,"CBASS","33"
"112","A109","BC-8b","Variable","Acervicornis",0.544,4,2022-04-22,"CBASS","33"
"113","A137","BC-8b","Variable","Acervicornis",0.507,3,2022-04-22,"CBASS","32"
"114","A9","BC-8b","Variable","Acervicornis",0.575,5,2022-04-22,"CBASS","35"
"115","A71","MB-B","Variable","Acervicornis",0.601,4,2022-04-22,"CBASS","33"
"116","A55","MB-B","Variable","Acervicornis",0.523,8,2022-04-22,"CBASS","28"
"117","A129","MB-B","Variable","Acervicornis",0.53,3,2022-04-22,"CBASS","32"
"118","A19","BC-8b","Variable","Acervicornis",0.106,2,2022-04-22,"CBASS","37"
"119","A64","SI-C","Variable","Acervicornis",0.475,4,2022-04-22,"CBASS","33"
"120","A41","MB-B","Variable","Acervicornis",0.514,5,2022-04-22,"CBASS","35"
"121","P50","A","Control","Pclivosa",0.466,4,2022-04-22,"CBASS","33"
"122","P123","C","Control","Pclivosa",0.249,1,2022-04-22,"CBASS","36"
"123","P82","C","Control","Pclivosa",0.435,8,2022-04-22,"CBASS","28"
"124","P61","A","Control","Pclivosa",0.466,3,2022-04-22,"CBASS","32"
"125","P124","B","Control","Pclivosa",0.494,3,2022-04-22,"CBASS","32"
"126","P12","B","Control","Pclivosa",0.48,5,2022-04-22,"CBASS","35"
"127","A99","BC-8b","Variable","Acervicornis",0.533,3,2022-04-22,"CBASS","32"
"128","A141","SI-C","Variable","Acervicornis",0.506,7,2022-04-22,"CBASS","34"
"129","A27","BC-8b","Variable","Acervicornis",0.511,8,2022-04-22,"CBASS","28"
"130","A40","BC-8b","Variable","Acervicornis",0.52,3,2022-04-22,"CBASS","32"
"131","A132","MB-B","Variable","Acervicornis",0.535,5,2022-04-22,"CBASS","35"
"132","A28","MB-B","Variable","Acervicornis",0.35,1,2022-04-22,"CBASS","36"
"133","A111","MB-B","Variable","Acervicornis",0.569,8,2022-04-22,"CBASS","28"
"134","A139","SI-C","Variable","Acervicornis",0.497,8,2022-04-22,"CBASS","28"
"135","A149","SI-C","Variable","Acervicornis",0.501,5,2022-04-22,"CBASS","35"
"136","A30","BC-8b","Variable","Acervicornis",0.599,4,2022-04-22,"CBASS","33"
"137","A88","MB-B","Variable","Acervicornis",0.539,5,2022-04-22,"CBASS","35"
"138","A134","BC-8b","Variable","Acervicornis",0.511,8,2022-04-22,"CBASS","28"
"139","A36","MB-B","Variable","Acervicornis",0.17,2,2022-04-22,"CBASS","37"
"140","A122","BC-8b","Variable","Acervicornis",0.522,7,2022-04-22,"CBASS","34"
"141","A73","MB-B","Variable","Acervicornis",0.307,1,2022-04-22,"CBASS","36"
"142","A142","BC-8b","Variable","Acervicornis",0.258,1,2022-04-22,"CBASS","36"
"143","A11","SI-C","Variable","Acervicornis",0.525,6,2022-04-22,"CBASS","30"
"144","A20","SI-C","Variable","Acervicornis",0.464,3,2022-04-22,"CBASS","32"
"145","A90","MB-B","Control","Acervicornis",0.456,7,2022-04-22,"CBASS","34"
"146","A67","SI-C","Control","Acervicornis",0.424,5,2022-04-22,"CBASS","35"
"147","A140","MB-B","Control","Acervicornis",0.454,6,2022-04-22,"CBASS","30"
"148","A63","BC-8b","Control","Acervicornis",0.502,8,2022-04-22,"CBASS","28"
"149","A143","MB-B","Control","Acervicornis",0.153,2,2022-04-22,"CBASS","37"
"150","A46","SI-C","Control","Acervicornis",0.388,4,2022-04-22,"CBASS","33"
"151","A26","BC-8b","Control","Acervicornis",0.155,1,2022-04-22,"CBASS","36"
"152","A53","MB-B","Control","Acervicornis",0.277,1,2022-04-22,"CBASS","36"
"153","A1","MB-B","Control","Acervicornis",0.244,1,2022-04-22,"CBASS","36"
"154","A3","BC-8b","Control","Acervicornis",0.476,6,2022-04-22,"CBASS","30"
"155","A42","MB-B","Control","Acervicornis",0.14,2,2022-04-22,"CBASS","37"
"156","A121","MB-B","Control","Acervicornis",0.468,8,2022-04-22,"CBASS","28"
"157","A48","SI-C","Control","Acervicornis",0.117,2,2022-04-22,"CBASS","37"
"158","A72","BC-8b","Control","Acervicornis",0.509,7,2022-04-22,"CBASS","34"
"159","A43","BC-8b","Control","Acervicornis",0.455,8,2022-04-22,"CBASS","28"
"160","A97","MB-B","Control","Acervicornis",0.452,5,2022-04-22,"CBASS","35"
"161","A118","BC-8b","Control","Acervicornis",0.512,6,2022-04-22,"CBASS","30"
"162","A138","BC-8b","Control","Acervicornis",0.1,2,2022-04-22,"CBASS","37"
"163","A120","SI-C","Control","Acervicornis",0.39,8,2022-04-22,"CBASS","28"
"164","A85","BC-8b","Control","Acervicornis",0.511,5,2022-04-22,"CBASS","35"
"165","A78","SI-C","Control","Acervicornis",0.413,7,2022-04-22,"CBASS","34"
"166","A105","BC-8b","Control","Acervicornis",0.501,4,2022-04-22,"CBASS","33"
"167","A146","BC-8b","Control","Acervicornis",0.488,5,2022-04-22,"CBASS","35"
"168","A116","MB-B","Control","Acervicornis",0.452,6,2022-04-22,"CBASS","30"
"169","A51","BC-8b","Control","Acervicornis",0.192,1,2022-04-22,"CBASS","36"
"170","A148","BC-8b","Control","Acervicornis",0.103,2,2022-04-22,"CBASS","37"
"171","A106","SI-C","Control","Acervicornis",0.157,1,2022-04-22,"CBASS","36"
"172","A102","MB-B","Control","Acervicornis",0.5,4,2022-04-22,"CBASS","33"
"173","A95","SI-C","Control","Acervicornis",0.376,3,2022-04-22,"CBASS","32"
"174","A14","SI-C","Control","Acervicornis",0.262,2,2022-04-22,"CBASS","37"
"175","A123","SI-C","Control","Acervicornis",0.467,3,2022-04-22,"CBASS","32"
"176","A35","MB-B","Control","Acervicornis",0.243,1,2022-04-22,"CBASS","36"
"177","A6","MB-B","Control","Acervicornis",0.447,8,2022-04-22,"CBASS","28"
"178","A80","BC-8b","Control","Acervicornis",0.505,3,2022-04-22,"CBASS","32"
"179","A93","SI-C","Control","Acervicornis",0.44,8,2022-04-22,"CBASS","28"
"180","A133","MB-B","Control","Acervicornis",0.457,8,2022-04-22,"CBASS","28"
"181","P95","C","Control","Pclivosa",0.422,7,2022-04-22,"CBASS","34"
"182","P72","C","Control","Pclivosa",0.142,2,2022-04-22,"CBASS","37"
"183","P5","A","Control","Pclivosa",0.523,6,2022-04-22,"CBASS","30"
"184","P66","B","Control","Pclivosa",0.356,1,2022-04-22,"CBASS","36"
"185","P68","C","Control","Pclivosa",0.463,4,2022-04-22,"CBASS","33"
"186","P3","C","Control","Pclivosa",0.382,5,2022-04-22,"CBASS","35"
"187","A12","SI-C","Control","Acervicornis",0.432,6,2022-04-22,"CBASS","30"
"188","A52","BC-8b","Control","Acervicornis",0.403,6,2022-04-22,"CBASS","30"
"189","A31","SI-C","Control","Acervicornis",0.401,5,2022-04-22,"CBASS","35"
"190","A128","BC-8b","Control","Acervicornis",0.428,8,2022-04-22,"CBASS","28"
"191","A7","MB-B","Control","Acervicornis",0.414,6,2022-04-22,"CBASS","30"
"192","A115","BC-8b","Control","Acervicornis",0.42,8,2022-04-22,"CBASS","28"
"193","A82","SI-C","Control","Acervicornis",0.451,4,2022-04-22,"CBASS","33"
"194","A33","MB-B","Control","Acervicornis",0.092,2,2022-04-22,"CBASS","37"
"195","A89","BC-8b","Control","Acervicornis",0.121,2,2022-04-22,"CBASS","37"
"196","A100","MB-B","Control","Acervicornis",0.471,3,2022-04-22,"CBASS","32"
"197","A84","BC-8b","Control","Acervicornis",0.455,5,2022-04-22,"CBASS","35"
"198","A150","MB-B","Control","Acervicornis",0.474,5,2022-04-22,"CBASS","35"
"199","A56","MB-B","Control","Acervicornis",0.259,1,2022-04-22,"CBASS","36"
"200","A87","SI-C","Control","Acervicornis",0.462,7,2022-04-22,"CBASS","34"
"201","A70","BC-8b","Control","Acervicornis",0.43,4,2022-04-22,"CBASS","33"
"202","A108","BC-8b","Control","Acervicornis",0.479,7,2022-04-22,"CBASS","34"
"203","A34","SI-C","Control","Acervicornis",0.45,6,2022-04-22,"CBASS","30"
"204","A23","SI-C","Control","Acervicornis",0.227,1,2022-04-22,"CBASS","36"
"205","A5","SI-C","Control","Acervicornis",0.449,4,2022-04-22,"CBASS","33"
"206","A75","MB-B","Control","Acervicornis",0.421,5,2022-04-22,"CBASS","35"
"207","A22","BC-8b","Control","Acervicornis",0.454,3,2022-04-22,"CBASS","32"
"208","A25","MB-B","Control","Acervicornis",0.46,4,2022-04-22,"CBASS","33"
"209","A101","MB-B","Control","Acervicornis",0.49,7,2022-04-22,"CBASS","34"
"210","A44","MB-B","Control","Acervicornis",0.441,4,2022-04-22,"CBASS","33"
"211","A124","BC-8b","Control","Acervicornis",0.489,3,2022-04-22,"CBASS","32"
"212","A57","MB-B","Control","Acervicornis",0.411,3,2022-04-22,"CBASS","32"
"213","A119","SI-C","Control","Acervicornis",0.432,5,2022-04-22,"CBASS","35"
"214","A39","MB-B","Control","Acervicornis",0.444,3,2022-04-22,"CBASS","32"
"215","A114","SI-C","Control","Acervicornis",0.474,3,2022-04-22,"CBASS","32"
"216","A92","BC-8b","Control","Acervicornis",0.472,7,2022-04-22,"CBASS","34"
"217","A81","BC-8b","Control","Acervicornis",0.492,4,2022-04-22,"CBASS","33"
"218","A112","MB-B","Control","Acervicornis",0.386,7,2022-04-22,"CBASS","34"
"219","A74","MB-B","Variable","Acervicornis",0.498,4,2022-04-22,"CBASS","33"
"220","A45","BC-8b","Variable","Acervicornis",0,2,2022-04-22,"CBASS","37"
"221","A77","BC-8b","Variable","Acervicornis",0.496,4,2022-04-22,"CBASS","33"
"222","A130","BC-8b","Variable","Acervicornis",0.441,6,2022-04-22,"CBASS","30"
"223","A110","BC-8b","Variable","Acervicornis",0.515,5,2022-04-22,"CBASS","35"
"224","A61","SI-C","Variable","Acervicornis",0.377,5,2022-04-22,"CBASS","35"
"225","A131","SI-C","Variable","Acervicornis",0.423,6,2022-04-22,"CBASS","30"
"226","A8","SI-C","Variable","Acervicornis",0.161,2,2022-04-22,"CBASS","37"
"227","A65","MB-B","Variable","Acervicornis",0.473,3,2022-04-22,"CBASS","32"
"228","A62","SI-C","Variable","Acervicornis",0.426,8,2022-04-22,"CBASS","28"
"229","A113","SI-C","Variable","Acervicornis",0.278,1,2022-04-22,"CBASS","36"
"230","A38","MB-B","Variable","Acervicornis",0.514,7,2022-04-22,"CBASS","34"
"231","A54","MB-B","Variable","Acervicornis",0.133,2,2022-04-22,"CBASS","37"
"232","A76","BC-8b","Variable","Acervicornis",0.175,1,2022-04-22,"CBASS","36"
"233","A58","BC-8b","Variable","Acervicornis",0.106,2,2022-04-22,"CBASS","37"
"234","A60","BC-8b","Variable","Acervicornis",0.441,7,2022-04-22,"CBASS","34"
"235","A68","BC-8b","Variable","Acervicornis",0.489,7,2022-04-22,"CBASS","34"
"236","A69","SI-C","Variable","Acervicornis",0.218,1,2022-04-22,"CBASS","36"
"237","A94","MB-B","Variable","Acervicornis",0.475,6,2022-04-22,"CBASS","30"
"238","A29","SI-C","Variable","Acervicornis",0.402,3,2022-04-22,"CBASS","32"
"239","A32","BC-8b","Variable","Acervicornis",0.549,6,2022-04-22,"CBASS","30"
"240","A125","BC-8b","Variable","Acervicornis",0.403,8,2022-04-22,"CBASS","28"
"241","A79","SI-C","Variable","Acervicornis",0.456,4,2022-04-22,"CBASS","33"
"242","A13","MB-B","Variable","Acervicornis",0.501,6,2022-04-22,"CBASS","30"
"243","P13","A","Control","Pclivosa",0.392,8,2022-04-22,"CBASS","28"
"244","P122","B","Control","Pclivosa",0.478,6,2022-04-22,"CBASS","30"
"245","P91","C","Control","Pclivosa",0.434,8,2022-04-22,"CBASS","28"
"246","P57","A","Control","Pclivosa",0.183,2,2022-04-22,"CBASS","37"
"247","P148","C","Control","Pclivosa",0.417,3,2022-04-22,"CBASS","32"
"248","P26","A","Control","Pclivosa",0.506,4,2022-04-22,"CBASS","33"
"249","A103","MB-B","Variable","Acervicornis",0.126,2,2022-04-22,"CBASS","37"
"250","A145","BC-8b","Variable","Acervicornis",0.279,1,2022-04-22,"CBASS","36"
"251","A21","MB-B","Variable","Acervicornis",0.498,3,2022-04-22,"CBASS","32"
"252","A91","BC-8b","Variable","Acervicornis",0.492,6,2022-04-22,"CBASS","30"
"253","A117","SI-C","Variable","Acervicornis",0.1,2,2022-04-22,"CBASS","37"
"254","A4","MB-B","Variable","Acervicornis",0.486,7,2022-04-22,"CBASS","34"
"255","P33","A","Control","Pclivosa",0.413,7,2022-04-22,"CBASS","34"
"256","P7","A","Control","Pclivosa",0.448,8,2022-04-22,"CBASS","28"
"257","P146","B","Control","Pclivosa",0.451,7,2022-04-22,"CBASS","34"
"258","P30","A","Control","Pclivosa",0.457,7,2022-04-22,"CBASS","34"
"259","P29","B","Control","Pclivosa",0.469,3,2022-04-22,"CBASS","32"
"260","P17","C","Control","Pclivosa",0.369,5,2022-04-22,"CBASS","35"
"261","P38","C","Control","Pclivosa",0.162,2,2022-04-22,"CBASS","37"
"262","P120","B","Variable","Pclivosa",0.475,5,2022-04-22,"CBASS","35"
"263","P25","A","Variable","Pclivosa",0.451,5,2022-04-22,"CBASS","35"
"264","P53","A","Variable","Pclivosa",0.13,2,2022-04-22,"CBASS","37"
"265","P21","A","Variable","Pclivosa",0.478,8,2022-04-22,"CBASS","28"
"266","P106","C","Variable","Pclivosa",0.282,1,2022-04-22,"CBASS","36"
"267","P22","C","Variable","Pclivosa",0.487,4,2022-04-22,"CBASS","33"
"268","P103","C","Variable","Pclivosa",0.415,5,2022-04-22,"CBASS","35"
"269","P90","B","Variable","Pclivosa",0.443,6,2022-04-22,"CBASS","30"
"270","P114","B","Variable","Pclivosa",0.482,8,2022-04-22,"CBASS","28"
"271","P31","C","Variable","Pclivosa",0.159,2,2022-04-22,"CBASS","37"
"272","A147","BC-8b","Variable","Acervicornis",0.556,5,2022-04-22,"CBASS","35"
"273","A59","MB-B","Variable","Acervicornis",0.342,1,2022-04-22,"CBASS","36"
"274","A86","SI-C","Control","Acervicornis",0,2,2022-04-22,"CBASS","37"
"275","A104","BC-8b","Control","Acervicornis",0.23,1,2022-04-22,"CBASS","36"
"276","A107","SI-C","Variable","Acervicornis",0.307,1,2022-04-22,"CBASS","36"
"277","P142","A","Control","Pclivosa",0.464,6,2022-04-22,"CBASS","30"
