gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Symbiodinium44203,NA,6.290665147561072,-1.2053128633225703,0.30845475071428635,-3.9075840476810173,9.322361729572259e-5,0.008736323253023308,Variable vs Initial
Symbiodinium44682,NA,4.174506251486866,1.1222271945112656,0.29966926200702754,3.7448859018611937,1.8047577613382703e-4,0.01396394734907892,Variable vs Initial
Symbiodinium45086,NA,8.792311933702944,-1.1742042573255005,0.23528773914961673,-4.990503379263794,6.022214697847207e-7,1.5393210925890167e-4,Variable vs Initial
Symbiodinium45457,NA,4.922623058688065,1.0820053688342017,0.2932045737614905,3.6902745238700376,2.2401217101148437e-4,0.016194647874622187,Variable vs Initial
Symbiodinium47634,Belongs to the peptidase S10 family,3.5390243628747973,1.2755116352305207,0.351961015599755,3.6240139637539124,2.900659341778566e-4,0.018958921378181913,Variable vs Initial
Symbiodinium48098,NA,4.785057778838556,1.0027546324785128,0.2876302935853388,3.486262243031085,4.898205753205153e-4,0.028110966028363476,Variable vs Initial
Symbiodinium5075,cAMP-dependent protein kinase activity,6.068441116360125,1.001237876249121,0.25681351463446794,3.898696210260661,9.671201703671095e-5,0.008873947511945389,Variable vs Initial
Symbiodinium50751,NA,4.907574536244249,1.1807918376147377,0.3170276055521334,3.724571037144471,1.9564761590553536e-4,0.015056451473504479,Variable vs Initial
Symbiodinium51623,Conserved hypothetical ATP binding protein,4.149619223968676,1.0725436647195408,0.32172813568120356,3.3336955826030428,8.570039618825899e-4,0.04130355121342556,Variable vs Initial
Symbiodinium51769,NA,3.7911604140024404,1.1501970176445862,0.32327185273526354,3.5579869014656063,3.737079443017119e-4,0.02286006630228506,Variable vs Initial
Symbiodinium52251,NA,7.833891366141707,1.0131223340431097,0.21498689512475783,4.712484142138945,2.447151298153479e-6,5.151253482613073e-4,Variable vs Initial
Symbiodinium52835,NA,5.064139588025961,1.0467975111104233,0.32057446255959676,3.26538022633608,0.0010931722643978744,0.047561300281432135,Variable vs Initial
Symbiodinium52884,NA,3.3515693473340624,1.3828635837956667,0.3208824998880695,4.30956373213883,1.635769146862059e-5,0.0022299428160174775,Variable vs Initial
Symbiodinium53401,NA,3.4726681902329255,1.2282685678907037,0.30081560965772813,4.083127764839875,4.443357740217259e-5,0.00489247866872845,Variable vs Initial
Symbiodinium55214,Responsible for synthesis of pseudouridine from uracil,12.252172371484576,1.0132034764165478,0.19010133642569593,5.329807225277315,9.831707019766206e-8,3.2124967280591e-5,Variable vs Initial
Symbiodinium56090,NA,34.99017079969262,1.5695146969448768,0.2889096906709334,5.432544312722779,5.555615128164288e-8,1.9880768736135904e-5,Variable vs Initial
Symbiodinium56639,NA,5.3271830522279,1.0324560147227493,0.2686325711078666,3.843376141860986,1.2135325727064289e-4,0.010556140850464,Variable vs Initial
Symbiodinium5915,NA,3.3760182343921143,1.0949114790147432,0.33184802661792484,3.2994364624484445,9.687915555943363e-4,0.04430441637948028,Variable vs Initial
Symbiodinium59644,DNA-binding transcription factor activity,2343.540678249579,1.0715044073416737,0.20240586751884296,5.293840640474131,1.197738173362173e-7,3.7270487420665536e-5,Variable vs Initial
Symbiodinium61339,NA,13.367019241122149,-1.038745664650464,0.21460929727904426,-4.840170849168022,1.2972755303900875e-6,2.90143780343808e-4,Variable vs Initial
Symbiodinium62953,NA,28.433204483971057,1.2952740910334657,0.2796545088004364,4.631693930448241,3.626860515890068e-6,6.830905450585583e-4,Variable vs Initial
Symbiodinium63887,actin monomer binding,3216.842008359441,1.083804668659379,0.24589039078928954,4.407673944396314,1.044866800209943e-5,0.0015418786987840335,Variable vs Initial
Symbiodinium6509,NA,4.467334744645077,1.0053811096149385,0.3014616144577319,3.3350219775854866,8.529265797292815e-4,0.04124591575082748,Variable vs Initial
Symbiodinium67058,NA,13.85736799751895,-1.3502655140458488,0.41006535263865007,-3.2928056597741966,9.919301236199453e-4,0.044790182301248885,Variable vs Initial
Symbiodinium70865,NA,950.4944489187257,1.01644278813739,0.23873545069450583,4.25761144890905,2.0662266084669546e-5,0.002738515525332962,Variable vs Initial
Symbiodinium71546,60S ribosomal protein,1933.797532809003,1.3043826315262168,0.22160480631891985,5.886075546795815,3.954735966721258e-9,1.6649438419896498e-6,Variable vs Initial
Symbiodinium74449,Belongs to the eukaryotic ribosomal protein eS8 family,6.0083676096974905,1.4568978018123657,0.3197327016500384,4.556611801963895,5.198537388953464e-6,9.419223314617707e-4,Variable vs Initial
Symbiodinium75213,antioxidant activity,4.898659140149326,1.1344326872649504,0.34140222449784985,3.322862611494481,8.909878553714686e-4,0.04181508249766296,Variable vs Initial
Symbiodinium8320,NA,4.805394194836948,1.0322188699078807,0.2937279231677247,3.514200688772999,4.410794376406487e-4,0.025875455206509204,Variable vs Initial
Symbiodinium11359,Ribosomal protein L14p/L23e,61.331649417983726,1.0089225859595847,0.24877069154189,4.055632838845464,4.999874685309045e-5,0.008083888298020125,Control vs Initial
Symbiodinium11972,NA,36.335534154213015,1.2452421785249213,0.19487142191131404,6.390070777497743,1.658089905340676e-10,1.6348070761822542e-7,Control vs Initial
Symbiodinium14152,Cytochrome b6-f complex subunit,9.652969152338901,1.7149842748941169,0.31106964437765744,5.513184284905736,3.5239890050938895e-8,1.70929484878895e-5,Control vs Initial
Symbiodinium15306,NA,12.007592347774766,3.001691050905144,0.37123429275098657,8.085705198896033,6.180552177334619e-16,1.648816807108443e-12,Control vs Initial
