"","lfc"
"K23692",-0.391149004182364
"K10902",-0.64812658747907
"K17542",-0.279920605914954
"K22324",-1.89596602979032
"K10423",1.32300169000773
"K02959",0.931771955891901
"K09627",-2.51501992467388
"K09539",0.972043551872991
"K04644",0.658900116383013
"K11247",-1.64555959804609
"K02964",0.357023176876647
"K07409",0.54823964279968
"K05635",1.24450921828074
"K15381",0.381173960966804
"K04968",-0.313781446436388
"K06692",-0.513440866220674
"K01880",0.568192483189633
"K04224",1.11058662504803
"K24822",-0.647154956512009
"K08745",0.400047318889391
"K08498",0.883428866471049
"K01534",0.249515854704734
"K00314",0.405027063834906
"K14684",0.43685400252706
"K01061",-0.709516360158428
"K11317",0.295358399664164
"K02918",0.680634891096058
"K23901",0.49932455242587
"K22990",1.04195657169318
"K05610",0.724323738479263
"K10350",-0.421611581946584
"K15690",-0.717226103857798
"K18384",0.491160022647383
"K23844",-0.475518730965296
"K10313",0.397209746417775
"K02513",-0.751973141854482
"K01723",-0.742758035111089
"K18932",0.820794158333295
"K00624",0.58821651283737
"K07252",0.56147194212087
"K03174",-0.761827939877997
"K17498",-0.393512653010265
"K09676",0.3741575172016
"K22193",0.777076392490785
"K02725",0.465415503557693
"K10356",-0.504567183344491
"K16529",-0.474995789564582
"K03687",0.803323387744286
"K17915",-0.313753014963452
"K03124",-1.10782780544367
"K11721",-0.559057468322616
"K13132",0.411239324831042
"K02936",0.450529238775484
"K15139",1.32036296043905
"K02295",1.48167298506745
"K10425",0.37934703794641
"K12812",0.405808915095493
"K20278",0.345054767208758
"K03593",0.519513401315812
"K23345",-0.497189855807292
"K00939",-0.708195234209156
"K10594",0.276217586881924
"K00031",-0.460279356888142
"K02930",0.219153885213194
"K17285",-0.209185519768929
"K12877",0.223838636680189
"K05701",-0.320783246996196
"K14395",0.576699476619799
"K08378",-0.551898128503597
"K04702",1.65570863419563
"K12798",-0.68292066649696
"K08727",-0.536061616880533
"K08045",0.331724691578272
"K11731",0.643520948125133
"K07809",0.530600255283886
"K15631",0.374980431588089
"K13104",-0.484813211043809
"K08833",-0.24341350702638
"K13855",0.638232889015628
"K19363",-0.631694217040331
"K08496",-0.518470459450487
"K13345",0.412907548223981
"K03283",-0.650059877922242
"K24226",-0.611271351386736
"K12229",0.381799486043206
"K25112",0.604635257016735
"K04163",-2.85937426007792
"K04255",1.45772164269394
"K24691",-0.535938222247789
"K00445",-1.66092359920175
"K02030",-1.66249647168432
"K23398",0.589419484227111
"K14573",-0.411895465139623
"K01349",0.451915842602628
"K11512",0.367390213986747
"K18749",-0.63541100390198
"K17932",0.562923519936862
"K19827",0.359884543771691
"K03965",0.286454464025145
"K23868",-1.37641162318255
"K05293",1.11100522782107
"K05929",-0.392487713253727
"K00653",-0.562630871193766
"K10888",-0.437896922287169
"K16782",0.324623243736635
"K20301",0.589871160507057
"K11481",0.352028589505605
"K04988",-0.927075403388443
"K14620",0.236299597820315
"K24464",-0.870831301033825
"K26154",-0.516993890498715
"K09445",0.507029228624574
