Species,ID,Colony,Treatment,Random_Tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_time,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_time,bw_final_salinity,bw_final_temp,SWrho_initial,CalcMAir_initial,SWrho_final,CalcMAir_final,percent_change
Acropora cervicornis,128,BC-8b,control,7,5.087,2022-03-15T00:00:00Z,1899-12-31T11:28:00Z,35.5,28.2,5.35,2022-04-21T00:00:00Z,1899-12-31T03:14:00Z,36.2,28.1,1.0226238109263377,7.814352556869617,1.0231804952054604,8.220757109199509,5.200745031302959
Acropora cervicornis,129,MB-B,variable,5,3.4003,2022-03-09T00:00:00Z,1899-12-31T11:03:00Z,33.8,25.2,4.1311,2022-04-21T00:00:00Z,1899-12-31T01:56:00Z,36.4,28.2,1.022300680979201,5.222457701098219,1.023297182003828,6.348195893852347,21.55571681351099
Acropora cervicornis,130,BC-8b,variable,8,5.4633,2022-03-12T00:00:00Z,1899-12-31T10:20:00Z,33.9,25.9,5.8965,2022-04-21T00:00:00Z,1899-12-31T03:25:00Z,36.3,27.9,1.0221606659585452,8.390365328138358,1.023321089289348,9.06117170696594,7.9949603216671745
Acropora cervicornis,131,SI-C,variable,8,5.096,2022-03-12T00:00:00Z,1899-12-31T11:04:00Z,33.9,25.5,5.4105,2022-04-21T00:00:00Z,1899-12-31T03:42:00Z,36.2,27.9,1.0222840613873163,7.826783693414139,1.0232462252041143,8.31400740334027,6.225082090055788
Acropora cervicornis,132,MB-B,variable,5,3.5965,2022-03-09T00:00:00Z,1899-12-31T10:40:00Z,33.6,25.4,4.0818,2022-04-21T00:00:00Z,1899-12-31T02:07:00Z,36.4,28.2,1.0220894718984117,5.523186147772496,1.023297182003828,6.272437365236018,13.565561569307153
Acropora cervicornis,133,MB-B,control,6,4.9257,2022-03-15T00:00:00Z,1899-12-31T09:58:00Z,35.5,28.1,5.4811,2022-04-21T00:00:00Z,1899-12-31T02:33:00Z,36.3,28.4,1.0226567056370548,7.566703405020963,1.023156154805815,8.422096565733497,11.304700540329483
Acropora cervicornis,134,BC-8b,variable,5,6.532,2022-03-09T00:00:00Z,1899-12-31T11:02:00Z,33.8,25.2,7.2138,2022-04-21T00:00:00Z,1899-12-31T02:12:00Z,36.4,28.2,1.022300680979201,10.032377644200091,1.023297182003828,11.085332124391098,10.495562642617823
Acropora cervicornis,138,BC-8b,control,6,5.1033,2022-03-15T00:00:00Z,1899-12-31T09:30:00Z,35.7,27.8,5.4243,2022-04-21T00:00:00Z,1899-12-31T02:39:00Z,36.3,28.3,1.0229046527070944,7.840546106530594,1.0231892886338,8.334964191916445,6.3059138823766014
Acropora cervicornis,140,MB-B,control,6,3.9805,2022-03-15T00:00:00Z,1899-12-31T10:07:00Z,35.5,28,4.5315,2022-04-21T00:00:00Z,1899-12-31T02:30:00Z,36.2,28.6,1.0226895265037685,6.114822501142757,1.0230148840185123,6.962453397632544,13.861905171104787
Acropora cervicornis,147,BC-8b,variable,5,5.4624,2022-03-09T00:00:00Z,1899-12-31T10:22:00Z,33.7,25.6,6.0803,2022-04-21T00:00:00Z,1899-12-31T01:51:00Z,36.4,28.3,1.022103213262581,8.388730517948463,1.0232641100244664,9.343338578594961,11.3796486679841
Acropora cervicornis,148,BC-8b,control,6,3.6813,2022-03-15T00:00:00Z,1899-12-31T10:21:00Z,35.5,27.9,4.0382,2022-04-21T00:00:00Z,1899-12-31T02:22:00Z,36.4,28.1,1.0227222733974162,5.655290181159601,1.023330180548443,6.205545333173306,9.729918967674909
Acropora cervicornis,149,SI-C,variable,5,4.493,2022-03-09T00:00:00Z,1899-12-31T10:35:00Z,33.8,25.4,4.9392,2022-04-21T00:00:00Z,1899-12-31T01:58:00Z,36.4,28.2,1.0222396312550286,6.90049453572637,1.023297182003828,7.589990355816977,9.991976901377667
