	Pcli-003	Pcli-004	Pcli-006	Pcli-008	Pcli-011	Pcli-015	Pcli-018	Pcli-024	Pcli-026	Pcli-028	Pcli-029	Pcli-033	Pcli-038	Pcli-039	Pcli-040	Pcli-045	Pcli-049	Pcli-050	Pcli-052	Pcli-055	Pcli-058	Pcli-064	Pcli-066	Pcli-067	Pcli-069	Pcli-070	Pcli-075	Pcli-076	Pcli-077	Pcli-079	Pcli-091	Pcli-094	Pcli-096	Pcli-101	Pcli-103	Pcli-105	Pcli-109	Pcli-111	Pcli-114	Pcli-115	Pcli-120	Pcli-124	Pcli-126	Pcli-128	Pcli-130	Pcli-132	Pcli-135	Pcli-148	
Breviolum165189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Breviolum165210	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum165235	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	
Breviolum165243	6	1	0	1	0	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	4	2	0	0	5	
Breviolum165255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Breviolum165263	0	0	0	1	0	0	0	0	4	1	2	0	0	0	1	0	4	0	3	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	1	2	4	0	0	0	2	0	4	6	1	0	0	0	
Breviolum165289	1	0	0	0	0	0	1	4	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	2	4	0	1	2	0	0	2	0	1	4	3	0	0	0	3	0	3	8	0	0	0	1	
Breviolum165296	0	0	0	5	0	0	0	0	1	1	4	3	0	0	0	0	0	0	9	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	2	0	0	3	3	0	2	0	0	0	0	2	
Breviolum165304	1	0	0	3	0	0	0	6	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	3	0	0	0	0	0	0	0	
Breviolum165306	1	0	0	0	0	1	0	0	0	4	0	3	7	0	0	0	0	1	1	0	0	0	0	1	0	2	4	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	11	4	1	0	0	0	
Breviolum165320	8	0	6	14	0	3	1	12	5	16	12	16	10	10	3	0	6	2	28	0	1	0	1	2	0	10	7	1	2	3	10	4	1	1	2	15	16	9	2	2	17	5	45	16	13	0	2	21	
Breviolum165325	5	1	0	4	0	0	0	0	1	3	11	5	1	1	0	0	0	1	1	0	1	0	0	0	0	4	1	0	0	0	0	0	1	0	5	3	1	0	0	1	6	0	5	4	2	0	0	0	
Breviolum16533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum165351	0	0	0	0	0	0	0	0	2	1	5	1	1	0	0	0	10	1	1	1	0	0	0	0	0	1	4	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	6	4	4	0	0	2	
Breviolum165355	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	
Breviolum165356	0	2	0	1	0	1	1	2	0	0	8	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	4	0	0	0	0	0	9	0	2	0	5	1	0	2	0	0	2	7	0	0	0	0	
Breviolum165363	0	0	4	1	0	2	0	0	0	6	0	1	4	0	0	1	1	0	1	0	1	0	0	0	0	0	2	5	0	2	2	0	7	0	1	2	3	3	0	6	4	0	8	6	3	0	0	0	
Breviolum165377	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Breviolum16538	0	1	2	1	0	2	0	0	2	13	4	9	9	1	1	0	0	0	4	0	0	0	0	0	1	4	5	0	4	2	0	0	2	0	5	6	13	0	0	2	6	1	12	16	3	0	1	0	
Breviolum165381	1	0	0	0	0	0	0	3	1	1	2	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	1	7	0	0	0	0	0	0	1	5	2	0	0	0	
Breviolum165399	0	0	1	4	0	0	0	4	0	6	9	8	4	0	4	1	0	1	2	0	0	0	0	0	0	6	6	2	0	1	1	5	0	0	0	7	9	0	2	0	3	5	6	11	1	0	1	8	
Breviolum165416	9	0	0	2	0	0	0	1	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	4	0	0	0	1	0	4	3	0	0	0	2	
Breviolum165431	7	2	10	15	0	2	5	14	7	51	18	45	20	7	4	7	27	5	27	2	4	2	0	2	0	22	25	4	13	2	4	6	17	5	2	16	43	18	2	12	27	4	45	54	16	1	0	36	
Breviolum165448	3	1	2	5	0	1	0	7	4	15	4	4	6	0	0	0	0	8	11	3	0	0	2	3	1	9	9	2	2	0	0	6	2	1	1	2	9	2	0	3	7	0	15	19	2	0	2	6	
Breviolum165461	0	0	1	2	0	0	0	3	3	4	2	1	6	0	0	1	0	0	2	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	7	0	0	0	0	
Breviolum165496	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	5	
Breviolum165497	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	2	0	0	3	0	0	1	0	2	0	0	1	
