term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:0071688,striated muscle myosin thick filament assembly,-948,0.203548593585683,2,6,0.652483876950902,242,0.311040946543799,2,73,0.462944664623329
GO:0071695,anatomical structure maturation,54,0.750131522933476,3,116,0.946208847486853,65,0.725513392519266,2,122,0.821197574150155
GO:0071897,DNA biosynthetic process,587,0.00385662701818078,2,82,0.098769485371719,-1697,1.53996983191361e-8,2,46,3.66176016948085e-7
GO:0071900,regulation of protein serine/threonine kinase activity,96,0.401139896696439,2,264,0.809551659814678,481,2.68590285083899e-4,2,245,0.00153089628139423
GO:0071901,negative regulation of protein serine/threonine kinase activity,86,0.677744471938987,4,79,0.924968798907367,356,0.138226493599917,7,72,0.258022788053178
GO:0071902,positive regulation of protein serine/threonine kinase activity,45,0.744032545253384,5,177,0.945373725449437,643,4.94226393648411e-5,3,168,3.77838608113461e-4
GO:0072073,kidney epithelium development,390,0.0464409621099135,4,88,0.377938817786484,-309,0.195561220614861,4,73,0.332617413953902
GO:0072091,regulation of stem cell proliferation,159,0.459095589332779,3,73,0.833399813580802,-258,0.315303445146535,2,63,0.467228745615219
GO:0072330,monocarboxylic acid biosynthetic process,289,0.085769705502875,4,120,0.472693190276205,-1030,2.50844187829079e-6,2,87,2.75436755263302e-5
GO:0072331,signal transduction by p53 class mediator,457,0.0599576160579233,3,57,0.421099403424339,1130,3.28061669601825e-7,3,85,5.1031815271395e-6
GO:0072337,modified amino acid transport,484,0.194628086834244,2,24,0.642673252833415,-903,0.00235906533319423,3,47,0.00993290666608097
GO:0072347,response to anesthetic,42,0.861392297387034,2,59,0.979249209605357,481,0.0823110301529266,3,54,0.17643704071058
GO:0072384,organelle transport along microtubule,-642,0.0115401868555575,2,52,0.187915579991242,612,0.0413139578980626,2,46,0.102597855533991
GO:0072523,purine-containing compound catabolic process,8,0.980250313433024,2,30,0.996836374289023,154,0.113921416399079,5,466,0.222868098457587
GO:0072527,pyrimidine-containing compound metabolic process,670,0.0191883499858021,2,41,0.257813914218105,-1133,4.2590363672856e-4,2,40,0.00226609060872203
GO:0072593,reactive oxygen species metabolic process,-354,0.172409626281812,2,50,0.618746389057424,-62,0.805642193894486,2,66,0.883327711367425
GO:0072594,establishment of protein localization to organelle,-566,4.08843904358778e-7,4,279,8.92097399310853e-5,290,0.0215316627491834,2,269,0.0607442374788046
GO:0072657,protein localization to membrane,-605,1.92782894820395e-7,4,257,4.38179454685523e-5,1059,7.08381023639959e-12,3,177,4.81105360205534e-10
GO:0072659,protein localization to plasma membrane,-91,0.647540188197211,2,86,0.91621461461402,490,0.0990428937681311,4,47,0.203112211653323
GO:0080135,regulation of cellular response to stress,-338,2.98853135951599e-4,2,408,0.0171604616485892,521,6.20638198682031e-5,2,252,4.49912480597977e-4
GO:0090066,regulation of anatomical structure size,-105,0.280744520800435,2,377,0.727536897946237,445,2.13165697496199e-4,3,297,0.00126655480740447
GO:0090068,positive regulation of cell cycle process,532,9.74567728275474e-5,3,184,0.00781803964373928,310,0.0771416594333483,3,136,0.167764385563787
