delta.rank,pval,level,nseqs,term,name,p.adj,GO_category,Contrast
-2249,0.00372224782183063,3,7,GO:0035190,syncytial nuclear migration,0.0387860844147614,BP,Variable_vs_Initial
-737,0.00224645588740398,2,73,GO:0035194;GO:0016441;GO:0031047,gene silencing by RNA,0.026782401796192,BP,Variable_vs_Initial
-784,3.93334839076058e-4,2,87,GO:0035315,hair cell differentiation,0.00726781276847632,BP,Variable_vs_Initial
-1050,0.00331337146199134,3,33,GO:0035418,protein localization to synapse,0.0357960142277189,BP,Variable_vs_Initial
-1546,0.00139688040515587,6,18,GO:0035710;GO:0043367,"CD4-positive, alpha-beta T cell activation",0.0186816059946845,BP,Variable_vs_Initial
-1131,0.00184979847767268,3,32,GO:0035735,intraciliary transport involved in cilium assembly,0.0231148556099336,BP,Variable_vs_Initial
-1198,0.00293234283594387,2,26,GO:0035914,skeletal muscle cell differentiation,0.0329989386331758,BP,Variable_vs_Initial
-532,0.00480653851324859,2,120,GO:0035966;GO:0035967;GO:0006986;GO:0034620,response to topologically incorrect protein,0.0463885929065977,BP,Variable_vs_Initial
-1919,1.83597632303229e-5,8,21,GO:0036003,positive regulation of transcription from RNA polymerase II promoter in response to stress,7.01098158555264e-4,BP,Variable_vs_Initial
-1793,7.12849531902205e-4,2,15,GO:0036158,outer dynein arm assembly,0.0113422281075995,BP,Variable_vs_Initial
-2454,0.0015480164773042,5,7,GO:0036500,ATF6-mediated unfolded protein response,0.0201871180333659,BP,Variable_vs_Initial
-808,6.87827115121748e-4,3,75,GO:0042048,olfactory behavior,0.0110670609983634,BP,Variable_vs_Initial
-1021,5.83391191720807e-4,2,48,GO:0042073;GO:0098840;GO:0099118,protein transport along microtubule,0.00975378341018945,BP,Variable_vs_Initial
-562,0.00329120340795831,2,117,GO:0042110,T cell activation,0.0357960142277189,BP,Variable_vs_Initial
524,1.93481359090115e-4,2,219,GO:0042254,ribosome biogenesis,0.00432914540964132,BP,Variable_vs_Initial
863,8.83960441499017e-4,4,63,GO:0042273,ribosomal large subunit biogenesis,0.0132547785573465,BP,Variable_vs_Initial
1362,0.00383449312579182,2,19,GO:0042447,hormone catabolic process,0.0392526652615761,BP,Variable_vs_Initial
1172,5.24495965040736e-4,3,37,GO:0042558,pteridine-containing compound metabolic process,0.0089530196930425,BP,Variable_vs_Initial
724,0.00234584992117593,4,75,GO:0042737,drug catabolic process,0.0275627495717906,BP,Variable_vs_Initial
-687,0.00414179790927743,2,74,GO:0043122;GO:0043123,regulation of I-kappaB kinase/NF-kappaB signaling,0.0416415877172764,BP,Variable_vs_Initial
-882,0.0013399760342381,5,56,GO:0043244,regulation of protein complex disassembly,0.0180597240567431,BP,Variable_vs_Initial
-1221,0.00528746797328913,2,22,GO:0043267,negative regulation of potassium ion transport,0.0495689305253685,BP,Variable_vs_Initial
-790,6.11292906075333e-4,2,80,GO:0043271,negative regulation of ion transport,0.010119901057802,BP,Variable_vs_Initial
-2586,0.00481054891524425,3,5,GO:0043276,anoikis,0.0463885929065977,BP,Variable_vs_Initial
-423,0.00515892869715826,2,189,GO:0043405;GO:0043406,regulation of MAP kinase activity,0.0488435431030124,BP,Variable_vs_Initial
-377,6.96999090552666e-4,3,358,GO:0043408,regulation of MAPK cascade,0.0111832235033212,BP,Variable_vs_Initial
-615,0.00225895175741052,3,105,GO:0043409,negative regulation of MAPK cascade,0.0268449702623391,BP,Variable_vs_Initial
-698,0.00117721027849764,6,92,GO:0043433,negative regulation of DNA-binding transcription factor activity,0.0163666516389186,BP,Variable_vs_Initial
-327,3.31882867760988e-4,6,548,GO:0043549;GO:0051338;GO:0045859,regulation of transferase activity,0.00648814015882232,BP,Variable_vs_Initial
-1875,0.00383602960275328,2,10,GO:0043619,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,0.0392526652615761,BP,Variable_vs_Initial
868,1.64814283568554e-4,2,80,GO:0043648,dicarboxylic acid metabolic process,0.00390176184047262,BP,Variable_vs_Initial
-361,1.09517159557778e-4,2,521,GO:0044092,negative regulation of molecular function,0.00294513751148804,BP,Variable_vs_Initial
450,1.73629179961846e-5,2,406,GO:0044283,small molecule biosynthetic process,6.76563226409152e-4,BP,Variable_vs_Initial
-1648,9.32661521522153e-4,2,17,GO:0045071,negative regulation of viral genome replication,0.013768776276492,BP,Variable_vs_Initial
-505,0.00206725624096307,3,160,GO:0045089;GO:0002833;GO:0031349,positive regulation of defense response,0.0251941356345457,BP,Variable_vs_Initial
-591,8.61601503567002e-4,2,136,GO:0045637,regulation of myeloid cell differentiation,0.0130217768138042,BP,Variable_vs_Initial
-552,0.0012864304241120201,2,146,GO:0045665,negative regulation of neuron differentiation,0.0175027873380372,BP,Variable_vs_Initial
-745,0.00330149856219215,4,66,GO:0045746,negative regulation of Notch signaling pathway,0.0357960142277189,BP,Variable_vs_Initial
-740,3.46255475676458e-5,2,134,GO:0045765;GO:1901342,regulation of vasculature development,0.001159854599225,BP,Variable_vs_Initial
-649,0.00412517939609564,6,83,GO:0045766;GO:1904018,positive regulation of vasculature development,0.0416004006704856,BP,Variable_vs_Initial
-506,0.0025032807067749,2,153,GO:0045785,positive regulation of cell adhesion,0.0290258945109446,BP,Variable_vs_Initial
-719,1.0786599729785e-4,3,124,GO:0045807,positive regulation of endocytosis,0.00291441713453814,BP,Variable_vs_Initial
1904,1.30485816037295e-4,2,17,GO:0046337,phosphatidylethanolamine metabolic process,0.00335167154377411,BP,Variable_vs_Initial
624,0.00393078133276364,4,91,GO:0046434,organophosphate catabolic process,0.040134608688182,BP,Variable_vs_Initial
-1336,3.66922686215355e-4,5,30,GO:0046631;GO:0046632,alpha-beta T cell activation,0.00686840897595279,BP,Variable_vs_Initial
-604,1.61546881901491e-4,2,168,GO:0046883,regulation of hormone secretion,0.0038879854602174,BP,Variable_vs_Initial
-696,0.00163748491670818,4,87,GO:0046887,positive regulation of hormone secretion,0.0208897853071369,BP,Variable_vs_Initial
-1220,0.0035949479830362,2,24,GO:0048008,platelet-derived growth factor receptor signaling pathway,0.0378670011538684,BP,Variable_vs_Initial
-1063,7.01289453207408e-4,6,43,GO:0048015;GO:0048017,inositol lipid-mediated signaling,0.0112206312513185,BP,Variable_vs_Initial
-917,4.53568834673647e-4,5,62,GO:0048259,regulation of receptor-mediated endocytosis,0.00811888214065828,BP,Variable_vs_Initial
-842,7.46546666159295e-4,2,68,GO:0048520,positive regulation of behavior,0.0117156693253711,BP,Variable_vs_Initial
-571,0.00257114967401075,2,119,GO:0048640,negative regulation of developmental growth,0.0296926317192209,BP,Variable_vs_Initial
-841,5.8406908339647e-4,2,71,GO:0048675;GO:1990138,neuron projection extension,0.00975378341018945,BP,Variable_vs_Initial
-880,0.00411032145209802,2,45,GO:0048679;GO:0070570,regulation of neuron projection regeneration,0.0415236706836287,BP,Variable_vs_Initial
-755,8.45785422845428e-4,3,83,GO:0048814,regulation of dendrite morphogenesis,0.0128847311224963,BP,Variable_vs_Initial
-1466,2.4262112984536e-5,3,35,GO:0050433,regulation of catecholamine secretion,8.63188715375293e-4,BP,Variable_vs_Initial
-1610,1.69714499478904e-4,3,23,GO:0050691,regulation of defense response to virus by host,0.00395910985263208,BP,Variable_vs_Initial
-703,5.85829412516838e-4,3,102,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,0.00975474091539665,BP,Variable_vs_Initial
-419,1.83974461096074e-4,4,352,GO:0050776,regulation of immune response,0.00414884139038705,BP,Variable_vs_Initial
-1616,0.00320125859025104,2,14,GO:0050779;GO:0061157,RNA destabilization,0.0349939106964847,BP,Variable_vs_Initial
-541,0.00382672052010897,2,122,GO:0050863;GO:1903037,regulation of T cell activation,0.0392526652615761,BP,Variable_vs_Initial
-482,9.62947766114217e-4,2,203,GO:0050878,regulation of body fluid levels,0.0140708285824037,BP,Variable_vs_Initial
-1652,1.41140232439554e-6,4,36,GO:0050885,neuromuscular process controlling balance,7.62689859824307e-5,BP,Variable_vs_Initial
-1864,4.35324795870022e-4,2,15,GO:0050893,sensory processing,0.00791600136743964,BP,Variable_vs_Initial
-727,4.60823387958398e-4,2,99,GO:0051048;GO:1903531,negative regulation of secretion,0.00816514007860952,BP,Variable_vs_Initial
-560,1.42221605159513e-5,3,262,GO:0051051,negative regulation of transport,5.78805744991959e-4,BP,Variable_vs_Initial
-1793,0.00162631813695608,2,13,GO:0051085,chaperone cofactor-dependent protein refolding,0.0207936390367956,BP,Variable_vs_Initial
-497,1.74415779772077e-4,2,248,GO:0051098,regulation of binding,0.00402236501607606,BP,Variable_vs_Initial
-729,0.00111610067495139,3,85,GO:0051101,regulation of DNA binding,0.0155927430881014,BP,Variable_vs_Initial
-2999,0.00107405348112761,3,5,GO:0051208,sequestering of calcium ion,0.0152281642076707,BP,Variable_vs_Initial
-381,1.7542107592706e-5,2,582,GO:0051248;GO:0032269,negative regulation of protein metabolic process,6.78926974939324e-4,BP,Variable_vs_Initial
-323,6.83668572935146e-4,2,500,GO:0051640;GO:0051656,organelle localization,0.0110622982648941,BP,Variable_vs_Initial
-811,0.0014887511650011,2,65,GO:0051668,localization within membrane,0.0195138825471998,BP,Variable_vs_Initial
-293,0.00139916357746502,3,542,GO:0051707;GO:0043207;GO:0009607,response to biotic stimulus,0.0186816059946845,BP,Variable_vs_Initial
-1006,6.33249271154081e-5,4,67,GO:0051865,protein autoubiquitination,0.00195013538987665,BP,Variable_vs_Initial
-598,0.00312605812841076,2,104,GO:0051924,regulation of calcium ion transport,0.0343686390778058,BP,Variable_vs_Initial
-927,0.00129606464193013,2,51,GO:0051928,positive regulation of calcium ion transport,0.0175920812061038,BP,Variable_vs_Initial
-904,2.39594812688882e-4,2,70,GO:0051952,regulation of amine transport,0.00498849804225204,BP,Variable_vs_Initial
-1159,0.0028293518803205,2,28,GO:0060117,auditory receptor cell development,0.0320921338029224,BP,Variable_vs_Initial
-1335,0.00457401690665943,2,19,GO:0060216,definitive hemopoiesis,0.0445577701383422,BP,Variable_vs_Initial
-1028,2.42109367274104e-4,2,54,GO:0060259,regulation of feeding behavior,0.00498849804225204,BP,Variable_vs_Initial
-495,9.11894150039614e-6,3,355,GO:0060627,regulation of vesicle-mediated transport,3.98871286244568e-4,BP,Variable_vs_Initial
-1230,0.00224901104468721,2,26,GO:0060632,regulation of microtubule-based movement,0.026782401796192,BP,Variable_vs_Initial
-1340,1.78337773897437e-4,4,33,GO:0061014,positive regulation of mRNA catabolic process,0.00403762359242893,BP,Variable_vs_Initial
2670,0.0035963073721551,9,5,GO:0061732,mitochondrial acetyl-CoA biosynthetic process from pyruvate,0.0378670011538684,BP,Variable_vs_Initial
1479,0.00296167312306393,4,17,GO:0070129,regulation of mitochondrial translation,0.0332636542135494,BP,Variable_vs_Initial
-355,0.00298103698789521,2,308,GO:0071407,cellular response to organic cyclic compound,0.0333503513020777,BP,Variable_vs_Initial
-2166,0.00153780175870802,2,9,GO:0071896;GO:1902414,protein localization to cell junction,0.0201107956024647,BP,Variable_vs_Initial
-2855,6.49501607596334e-4,4,6,GO:0072383;GO:0072386,plus-end-directed vesicle transport along microtubule,0.0105992740977544,BP,Variable_vs_Initial
-662,0.00432432987127551,3,79,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.0427064853494243,BP,Variable_vs_Initial
349,0.00104459771340076,3,393,GO:0090407,organophosphate biosynthetic process,0.0149961295798485,BP,Variable_vs_Initial
-424,0.00140338171540205,2,247,GO:0097435,supramolecular fiber organization,0.0186943499205185,BP,Variable_vs_Initial
-2569,0.00508911568289154,2,5,GO:0098532,histone H3-K27 trimethylation,0.0483423791568868,BP,Variable_vs_Initial
-301,0.00301551005827936,6,436,GO:0098771;GO:0006873;GO:0055082;GO:0030003;GO:0055080,cellular chemical homeostasis,0.0336047502214478,BP,Variable_vs_Initial
-2227,3.17964021455622e-4,3,11,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,0.00628033763757863,BP,Variable_vs_Initial
774,0.00105379736604171,2,76,GO:0140053;GO:0032543,mitochondrial gene expression,0.015015301772853,BP,Variable_vs_Initial
-1441,0.00221898326324662,2,19,GO:1900073,regulation of neuromuscular synaptic transmission,0.0265906613637587,BP,Variable_vs_Initial
-1488,8.93790018735904e-4,2,21,GO:1900271,regulation of long-term synaptic potentiation,0.0133671781392148,BP,Variable_vs_Initial
748,1.12026251517197e-4,2,114,GO:1901136,carbohydrate derivative catabolic process,0.002970770225419,BP,Variable_vs_Initial
-666,0.00410779764229404,3,79,GO:1901184;GO:0042058,regulation of ERBB signaling pathway,0.0415236706836287,BP,Variable_vs_Initial
-1384,0.00330003727936631,4,19,GO:1901186;GO:0045742,positive regulation of ERBB signaling pathway,0.0357960142277189,BP,Variable_vs_Initial
-1650,0.00534736259803626,2,12,GO:1901739,regulation of myoblast fusion,0.0499418710444241,BP,Variable_vs_Initial
-1537,0.00507254216358833,2,14,GO:1902003;GO:1902991,regulation of amyloid precursor protein catabolic process,0.0482649859020498,BP,Variable_vs_Initial
-1542,7.82890205523147e-4,3,20,GO:1902074,response to salt,0.0121199867492881,BP,Variable_vs_Initial
-578,0.00201156765442874,2,122,GO:1902105,regulation of leukocyte differentiation,0.0246729326007876,BP,Variable_vs_Initial
-516,0.00245041672874637,2,148,GO:1902115,regulation of organelle assembly,0.028474911073961,BP,Variable_vs_Initial
-2956,0.00126850173596872,2,5,GO:1902430,negative regulation of amyloid-beta formation,0.0172999474848305,BP,Variable_vs_Initial
-415,3.40430398929635e-4,2,328,GO:1902532,negative regulation of intracellular signal transduction,0.00656560715511431,BP,Variable_vs_Initial
-507,0.00101774352029275,2,181,GO:1902903,regulation of supramolecular fiber organization,0.0146473238297409,BP,Variable_vs_Initial
-2782,0.00241508332003099,6,5,GO:1902946,protein localization to early endosome,0.0282895649430215,BP,Variable_vs_Initial
-2362,0.00477917123308548,3,6,GO:1902965;GO:1905666;GO:1902966;GO:1905668,regulation of protein localization to endosome,0.0462448918298982,BP,Variable_vs_Initial
-2505,0.00123229392054761,2,7,GO:1902992,negative regulation of amyloid precursor protein catabolic process,0.0169677393675402,BP,Variable_vs_Initial
