,AOI,Ft,Fm,fvfm,file,Tank,Puck,Colony,Date,Treatment_period,Treatment,CBASS_temp,Species
90,2,0.2107,0.4282,0.508,24,4,P28,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
91,3,0.1843,0.3607,0.489,24,4,P35,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
92,4,0.1486,0.3152,0.529,24,4,P89,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
93,5,0.1935,0.3891,0.503,24,4,P41,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
94,6,0.1486,0.3289,0.548,24,4,P111,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
95,1,0.1588,0.306,0.481,25,4,P110,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
96,2,0.2019,0.4115,0.51,25,4,P1,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
97,3,0.1544,0.324,0.523,25,4,P54,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
98,4,0.2072,0.4106,0.495,25,4,P135,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
99,5,0.174,0.3548,0.51,25,4,P147,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
100,6,0.154,0.3284,0.531,25,4,P24,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
101,1,0.1686,0.3465,0.513,26,4,P49,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
102,2,0.1965,0.4213,0.534,26,4,P127,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
103,3,0.196,0.3886,0.496,26,4,P80,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
104,4,0.1598,0.3338,0.521,26,4,P34,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
105,4,0.1598,0.3338,0.521,26,4,P73,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
106,5,0.153,0.3304,0.537,26,4,P58,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
107,5,0.153,0.3304,0.537,26,4,P116,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
108,6,0.1979,0.3983,0.503,26,4,P36,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
109,1,0.2434,0.455,0.465,27,4,P44,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
110,2,0.1867,0.3895,0.521,27,4,P16,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
111,3,0.1945,0.393,0.505,27,4,P131,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
112,4,0.1901,0.3944,0.518,27,NA,NANA,NA,4/6/22,Temp Treatment,NA,NA,Acervicornis
113,5,0.1647,0.3617,0.545,27,NA,NANA,NA,4/6/22,Temp Treatment,NA,NA,Acervicornis
114,1,0.2028,0.5425,0.626,28,5,A24,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
115,2,0.237,0.5455,0.565,28,5,A96,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
116,3,0.2053,0.5342,0.616,28,5,A83,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
117,4,0.1857,0.4418,0.58,28,5,A109,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
118,5,0.2278,0.5078,0.551,28,5,A137,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
119,6,0.1979,0.5303,0.627,28,5,A9,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
120,1,0.1867,0.4976,0.625,29,5,A71,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
121,2,0.2165,0.5714,0.621,29,5,A55,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
122,3,0.1882,0.4198,0.552,29,5,A129,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
123,4,0.2131,0.5313,0.599,29,5,A19,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
124,5,0.2419,0.5924,0.592,29,5,A64,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
125,6,0.2092,0.5411,0.613,29,5,A41,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
126,1,0.1696,0.3416,0.504,3,1,P50,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
127,2,0.2175,0.4262,0.49,3,1,P123,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
128,3,0.1984,0.393,0.495,3,1,P82,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
129,4,0.1554,0.327,0.525,3,1,P61,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
130,5,0.1808,0.3719,0.514,3,1,P124,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
131,6,0.1725,0.3661,0.529,3,1,P12,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
132,1,0.2087,0.5303,0.606,30,5,A99,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
133,2,0.2336,0.5293,0.559,30,5,A141,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
134,3,0.1877,0.4966,0.622,30,5,A27,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
135,4,0.2204,0.521,0.577,30,5,A40,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
136,5,0.2165,0.5567,0.611,30,5,A132,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
137,6,0.196,0.5401,0.637,30,5,A28,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
138,1,0.1901,0.4609,0.587,31,5,A111,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
139,2,0.2458,0.5753,0.573,31,5,A139,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
140,3,0.2278,0.565,0.597,31,5,A149,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
141,4,0.1877,0.4873,0.615,31,5,A30,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
142,5,0.1906,0.5054,0.623,31,5,A88,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
143,6,0.2405,0.5914,0.593,31,5,A134,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
144,1,0.0171,0.0347,0.507,32,5,A36,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
145,2,0.0308,0.0665,0.537,32,5,A122,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
146,3,0.0142,0.0244,0.42,32,5,A73,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
147,1,0.2195,0.4633,0.526,33,5,A142,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
148,2,0.2097,0.5122,0.591,33,5,A11,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
149,3,0.24,0.5596,0.571,33,5,A20,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
150,1,0.1823,0.412,0.558,34,6,A90,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
151,2,0.2258,0.4643,0.514,34,6,A67,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
152,3,0.1955,0.4643,0.579,34,6,A140,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
153,4,0.1808,0.4125,0.562,34,6,A63,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
154,5,0.216,0.4467,0.516,34,6,A143,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
155,6,0.2273,0.4555,0.501,34,6,A46,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
156,1,0.2248,0.4311,0.478,35,6,A26,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
157,2,0.1975,0.4873,0.595,35,6,A53,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
158,3,0.2121,0.4819,0.56,35,6,A1,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
159,4,0.2356,0.5005,0.529,35,6,A3,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
160,5,0.2209,0.4575,0.517,35,6,A42,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
161,6,0.2038,0.4462,0.543,35,6,A121,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
162,1,0.2273,0.4633,0.509,36,6,A48,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
163,2,0.238,0.5313,0.552,36,6,A72,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
164,3,0.2517,0.5293,0.524,36,6,A43,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
165,4,0.1921,0.4316,0.555,36,6,A97,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
166,5,0.2278,0.502,0.546,36,6,A118,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
167,6,0.2175,0.4457,0.512,36,6,A138,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
168,1,0.2111,0.4213,0.499,37,6,A120,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
169,2,0.1882,0.4511,0.583,37,6,A85,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
170,3,0.2136,0.4379,0.512,37,6,A78,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
171,4,0.197,0.391,0.496,37,6,A105,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
172,5,0.237,0.5005,0.526,37,6,A146,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
173,6,0.2009,0.4555,0.559,37,6,A116,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
174,1,0.2229,0.4286,0.48,38,6,A51,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
175,2,0.2571,0.4384,0.414,38,6,A148,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
176,3,0.2141,0.4242,0.495,38,6,A106,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
177,4,0.2151,0.4106,0.476,38,6,A102,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
178,5,0.2356,0.4394,0.464,38,6,A95,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
179,6,0.2082,0.4003,0.48,38,6,A14,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
180,1,0.2087,0.4306,0.515,39,6,A123,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
181,2,0.2234,0.4682,0.523,39,6,A35,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
182,3,0.2292,0.4936,0.536,39,6,A6,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
183,4,0.2454,0.502,0.511,39,6,A80,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
184,5,0.2136,0.4585,0.534,39,6,A93,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
185,6,0.2199,0.4751,0.537,39,6,A133,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
186,1,0.2107,0.3881,0.457,4,1,P95,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
187,2,0.2268,0.4433,0.488,4,1,P72,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
188,3,0.1608,0.3436,0.532,4,1,P5,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
189,4,0.1598,0.3451,0.537,4,1,P66,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
190,5,0.1872,0.3734,0.499,4,1,P68,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
191,6,0.196,0.3983,0.508,4,1,P3,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
192,1,0.1569,0.2937,0.466,40,7,A12,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
193,2,0.2229,0.4003,0.443,40,7,A52,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
194,3,0.1877,0.3646,0.485,40,7,A31,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
195,4,0.1652,0.3255,0.492,40,7,A128,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
196,5,0.174,0.3353,0.481,40,7,A7,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
197,6,0.195,0.3646,0.465,40,7,A115,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
