Species,ID,Colony,Treatment,Treatment_Tank,CBASS_tank,Removed_Date,Reason_removed,mortality_date,CBASS_recovery_tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_salinity,bw_final_temp,tissue_sampled,tissue_sampling_date
Acropora cervicornis,2,BC-8b,,5,,3/8/22,RTL,3/8/22,,,,,,,,,,,
Acropora cervicornis,28,MB-B,Treated,5,1,4/22/22,RTL,4/22/22,,4.6164,3/9/22,33.7,25.6,5.1744,4/21/22,36.4,28.3,,
Acropora cervicornis,59,MB-B,Treated,5,1,4/22/22,RTL,4/22/22,,3.9344,3/9/22,33.7,25.6,,,,,Yes,4/20/22
Acropora cervicornis,73,MB-B,Treated,5,1,4/22/22,RTL,4/22/22,,4.4333,3/9/22,34,25.7,5.1196,4/21/22,36.4,28.4,,
Acropora cervicornis,36,MB-B,Treated,5,2,4/22/22,RTL,4/22/22,,4.6111,3/9/22,33.7,25.6,,,,,Yes,3/30/22
Acropora cervicornis,54,MB-B,Treated,8,2,4/22/22,RTL,4/22/22,,4.1233,3/12/22,33.9,25.8,4.5929,4/21/22,36.3,27.9,,
Acropora cervicornis,103,MB-B,Treated,8,2,4/22/22,RTL,4/22/22,,3.7153,3/12/22,33.9,25.9,4.2524,4/21/22,36.2,27.9,Yes,4/22/22
Acropora cervicornis,21,MB-B,Treated,8,3,7/4/22,bleaching,7/5/22,3,5.1361,3/12/22,33.8,25.9,,,,,Yes,3/22/22
Acropora cervicornis,65,MB-B,Treated,8,3,7/4/22,RTL,7/9/22,3,5.2325,3/12/22,33.8,25.7,,,,,Yes,3/30/22
Acropora cervicornis,129,MB-B,Treated,5,3,7/4/22,bleaching,7/7/22,3,3.4003,3/9/22,33.8,25.2,4.1311,4/21/22,36.4,28.2,Yes,6/1/22
Acropora cervicornis,71,MB-B,Treated,5,4,6/28/22,RTL,,4,4.8079,3/9/22,33.7,25.3,,,,,Yes,3/30/22
Acropora cervicornis,74,MB-B,Treated,8,4,6/14/22,tissue sampling,,4,6.0794,3/12/22,33.9,25.5,,,,,Yes,4/20/22
Acropora cervicornis,83,MB-B,Treated,5,4,7/4/22,bleaching,7/5/22,4,3.9252,3/9/22,33.8,25.3,,,,,Yes,3/22/22
Acropora cervicornis,41,MB-B,Treated,5,5,4/23/22,RTL,4/23/22,,4.6997,3/9/22,33.7,25.4,,,,,Yes,4/20/22
Acropora cervicornis,88,MB-B,Treated,5,5,4/23/22,RTL,4/23/22,,4.925,3/9/22,34,25.6,5.5681,4/21/22,36.4,28.2,,
Acropora cervicornis,132,MB-B,Treated,5,5,4/23/22,RTL,4/23/22,,3.5965,3/9/22,33.6,25.4,4.0818,4/21/22,36.4,28.2,Yes,4/22/22
Acropora cervicornis,13,MB-B,Treated,8,6,6/30/22,RTL,,6,5.4378,3/12/22,33.9,25.7,6.0251,4/21/22,36.2,28,Yes,6/1/22
Acropora cervicornis,94,MB-B,Treated,8,6,7/4/22,bleaching,7/5/22,6,4.4583,3/12/22,33.9,25.7,4.3528,4/21/22,36.3,27.9,Yes,3/22/22
Acropora cervicornis,4,MB-B,Treated,8,7,6/30/22,RTL,,7,5.5129,3/12/22,33.9,25.5,,,,,Yes,3/30/22
Acropora cervicornis,24,MB-B,Treated,5,7,7/4/22,bleaching,7/7/22,7,6.6184,3/9/22,33.8,25.2,7.2551,4/21/22,36.4,28.3,Yes,6/1/22
Acropora cervicornis,38,MB-B,Treated,8,7,,,,7,4.4399,3/12/22,33.9,25.6,,,,,Yes,4/20/22
Acropora cervicornis,55,MB-B,Treated,5,8,7/6/22,RTL,7/6/22,8,4.8379,3/9/22,33.7,25.3,,,,,Yes,3/22/22
Acropora cervicornis,111,MB-B,Treated,5,8,7/6/22,RTL,7/6/22,8,4.7704,3/9/22,33.8,25.3,5.4076,4/21/22,36.4,28.2,,
Acropora cervicornis,1,MB-B,Untreated,6,1,4/22/22,RTL,4/22/22,,4.255,3/15/22,35.5,28,4.8376,4/21/22,36.4,28.2,,
Acropora cervicornis,35,MB-B,Untreated,6,1,4/22/22,RTL,4/22/22,,4.507,3/15/22,35.2,27.9,5.1111,4/21/22,36.4,28.2,Yes,4/22/22
Acropora cervicornis,53,MB-B,Untreated,6,1,4/22/22,RTL,4/22/22,,6.3006,3/15/22,35.6,28,7.0026,4/21/22,36.3,28.3,,
Acropora cervicornis,56,MB-B,Untreated,7,1,4/22/22,RTL,4/22/22,,4.245,3/15/22,35.5,28.1,,,,,Yes,4/20/22
Acropora cervicornis,33,MB-B,Untreated,7,2,4/22/22,RTL,4/22/22,,3.8982,3/15/22,35.5,27.5,4.2893,4/21/22,36.1,28.2,,
Acropora cervicornis,42,MB-B,Untreated,6,2,4/22/22,RTL,4/22/22,,4.2997,3/15/22,35.6,28.1,,,,,Yes,3/22/22
Acropora cervicornis,143,MB-B,Untreated,6,2,4/22/22,RTL,4/22/22,,3.3073,3/15/22,35.5,28.2,,,,,Yes,4/20/22
Acropora cervicornis,39,MB-B,Untreated,7,3,7/1/22,RTL,7/14/22,3,5.2533,3/15/22,35.5,28.2,5.7309,4/21/22,36.2,28.1,Yes,6/1/22
Acropora cervicornis,57,MB-B,Untreated,7,3,,,,3,4.3977,3/15/22,35.6,28.2,,,,,Yes,4/20/22
Acropora cervicornis,100,MB-B,Untreated,7,3,6/14/22,partial mortality,,3,3.8767,3/15/22,35.6,28.2,4.2668,4/21/22,36.3,27.9,Yes,4/22/22
Acropora cervicornis,25,MB-B,Untreated,7,4,7/4/22,bleaching,7/5/22,4,4.6538,3/15/22,35.6,28.2,5.0819,4/21/22,36.3,28.2,Yes,4/22/22
Acropora cervicornis,44,MB-B,Untreated,7,4,7/4/22,bleaching,7/5/22,4,5.2165,3/15/22,35.6,28.2,,,,,Yes,3/30/22
Acropora cervicornis,102,MB-B,Untreated,6,4,6/28/22,RTL,,4,4.1262,3/15/22,35.8,27.7,,,,,Yes,3/22/22
Acropora cervicornis,75,MB-B,Untreated,7,5,4/23/22,RTL,4/23/22,,4.4983,3/15/22,35.5,28.2,4.9123,4/21/22,36.3,28.2,,
Acropora cervicornis,97,MB-B,Untreated,6,5,4/23/22,RTL,4/23/22,,3.6139,3/15/22,35.5,28.1,,,,,Yes,4/20/22
Acropora cervicornis,150,MB-B,Untreated,7,5,4/23/22,RTL,4/23/22,,4.1925,3/15/22,35.6,28.2,,,,,Yes,3/22/22
Acropora cervicornis,7,MB-B,Untreated,7,6,5/30/22,RTL,5/30/22,6,3.0799,3/15/22,35.5,28.1,3.4054,4/21/22,36.3,28.1,Yes,4/22/22
Acropora cervicornis,116,MB-B,Untreated,6,6,7/4/22,paling,7/5/22,6,4.6699,3/15/22,35.5,27.9,,,,,Yes,3/30/22
Acropora cervicornis,140,MB-B,Untreated,6,6,7/4/22,bleaching,7/7/22,6,3.9805,3/15/22,35.5,28,4.5315,4/21/22,36.2,28.6,Yes,6/1/22
Acropora cervicornis,90,MB-B,Untreated,6,7,6/1/22,tissue sampling,6/1/22,7,3.0182,3/15/22,35.5,28.2,3.4702,4/21/22,36.4,28.2,Yes,4/22/22
Acropora cervicornis,101,MB-B,Untreated,7,7,6/29/22,RTL,,7,4.6901,3/15/22,35.7,27.5,,,,,Yes,3/30/22
Acropora cervicornis,112,MB-B,Untreated,7,7,6/29/22,RTL,,7,4.1111,3/15/22,35.4,28.2,,,,,Yes,3/22/22
Acropora cervicornis,6,MB-B,Untreated,6,8,7/1/22,RTL,7/5/22,8,6.3487,3/15/22,35.5,28.1,7.0062,4/21/22,36.2,28.5,Yes,4/22/22
Acropora cervicornis,121,MB-B,Untreated,6,8,7/1/22,RTL,7/9/22,8,4.457,3/15/22,35.6,28.1,,,,,Yes,3/30/22
Acropora cervicornis,133,MB-B,Untreated,6,8,6/30/22,RTL,,8,4.9257,3/15/22,35.5,28.1,5.4811,4/21/22,36.3,28.4,,
Acropora cervicornis,10,MB-B,,7,,2/28/22,RTL,2/28/22,,,,,,,,,,,
Acropora cervicornis,49,MB-B,,8,,3/2/22,RTL,,,,,,,,,,,,
Acropora cervicornis,126,MB-B,,6,,3/1/22,RTL,3/1/22,,,,,,,,,,,
Acropora cervicornis,135,MB-B,,8,,2/28/22,RTL,2/28/22,,,,,,,,,,,
Acropora cervicornis,69,SI-C,Treated,8,1,4/22/22,RTL,4/22/22,,5.6059,3/12/22,33.9,25.7,,,,,Yes,4/20/22
Acropora cervicornis,107,SI-C,Treated,5,1,4/22/22,RTL,4/22/22,,6.4836,3/9/22,33.7,25.3,6.9447,4/21/22,36.4,28.2,,
Acropora cervicornis,113,SI-C,Treated,8,1,4/22/22,RTL,4/22/22,,4.6344,3/12/22,33.9,25.7,,,,,Yes,4/20/22
Acropora cervicornis,8,SI-C,Treated,8,2,4/22/22,RTL,4/22/22,,5.3761,3/12/22,33.9,25.6,5.6833,4/21/22,36.3,27.9,,
Acropora cervicornis,117,SI-C,Treated,8,2,4/22/22,RTL,4/22/22,,4.4024,3/12/22,33.8,25.7,,,,,,
Acropora cervicornis,20,SI-C,Treated,5,3,7/1/22,RTL,7/5/22,3,4.9093,3/9/22,33.8,25.4,,,,,Yes,3/30/22
Acropora cervicornis,29,SI-C,Treated,8,3,,,,3,4.4187,3/12/22,33.9,25.6,,,,,Yes,3/22/22
Acropora cervicornis,64,SI-C,Treated,5,4,6/1/22,tissue sampling,6/1/22,4,4.5702,3/9/22,33.9,25.6,,,,,Yes,3/22/22
Acropora cervicornis,79,SI-C,Treated,8,4,6/25/22,RTL,,4,5.2134,3/12/22,33.8,25.6,,,,,Yes,3/22/22
