	Acer-005	Acer-009	Acer-019	Acer-021	Acer-022	Acer-029	Acer-030	Acer-034	Acer-038	Acer-041	Acer-042	Acer-043	Acer-045	Acer-055	Acer-056	Acer-057	Acer-059	Acer-063	Acer-064	Acer-068	Acer-069	Acer-072	Acer-074	Acer-078	Acer-079	Acer-082	Acer-083	Acer-089	Acer-091	Acer-094	Acer-095	Acer-096	Acer-097	Acer-102	Acer-106	Acer-108	Acer-110	Acer-112	Acer-113	Acer-114	Acer-123	Acer-124	Acer-137	Acer-139	Acer-141	Acer-143	Acer-146	Acer-150	
Acropora155	12	12	13	7	6	7	7	12	4	3	8	7	7	5	5	6	5	2	10	0	0	1	1	7	2	1	2	1	0	4	12	10	3	1	5	0	1	9	7	2	5	0	4	12	6	5	0	3	
Acropora156	7	8	11	11	8	7	6	5	4	5	12	8	0	1	3	1	3	9	13	0	3	0	1	11	4	1	9	0	4	4	7	10	3	5	3	2	4	9	7	0	1	3	2	10	5	1	2	4	
Acropora158	1	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	
Acropora159	75	76	71	37	76	92	115	108	37	62	74	56	37	41	50	29	46	62	98	15	38	6	31	62	34	49	61	8	45	44	81	159	35	51	111	23	62	89	99	39	63	67	120	146	101	25	32	63	
Acropora16	615	680	694	267	632	512	794	841	128	286	527	681	317	310	208	211	146	618	545	175	143	88	135	619	180	150	336	114	152	332	623	695	110	374	401	136	595	619	310	184	206	497	552	625	340	94	188	328	
Acropora160	86	101	50	60	72	78	81	82	76	58	90	71	35	76	48	43	57	56	93	17	38	3	34	54	30	19	83	9	28	73	79	119	21	44	65	20	56	61	66	27	21	51	66	129	69	38	20	64	
Acropora161	61	165	148	75	167	114	158	126	44	153	153	129	80	69	128	82	80	130	73	47	44	12	38	117	68	23	106	11	35	118	94	107	74	98	31	38	149	165	70	23	20	96	118	183	77	43	52	98	
Acropora162	139	189	167	74	137	113	83	196	27	38	251	161	57	90	49	28	28	180	97	14	25	9	26	211	81	5	124	6	6	154	92	66	31	157	24	15	120	245	37	11	19	111	70	194	76	22	21	152	
Acropora163	230	190	127	76	182	226	166	351	49	115	162	165	66	84	100	62	88	157	210	17	66	9	42	262	137	32	121	6	18	117	179	175	73	94	46	11	144	186	84	42	27	102	77	202	111	41	33	176	
Acropora164	0	4	0	1	0	0	3	0	1	2	1	1	0	0	7	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	2	1	0	1	1	1	2	0	0	1	1	3	1	0	3	
