	Acer-005	Acer-009	Acer-019	Acer-021	Acer-022	Acer-029	Acer-030	Acer-034	Acer-038	Acer-041	Acer-042	Acer-043	Acer-045	Acer-055	Acer-056	Acer-057	Acer-059	Acer-063	Acer-064	Acer-068	Acer-069	Acer-072	Acer-074	Acer-078	Acer-079	Acer-082	Acer-083	Acer-089	Acer-091	Acer-094	Acer-095	Acer-096	Acer-097	Acer-102	Acer-106	Acer-108	Acer-110	Acer-112	Acer-113	Acer-114	Acer-123	Acer-124	Acer-137	Acer-139	Acer-141	Acer-143	Acer-146	Acer-150	
Acropora335	18	33	28	5	36	16	15	18	7	7	17	30	14	20	12	6	12	37	21	4	8	3	4	19	11	2	16	6	0	17	32	14	5	14	9	3	28	16	8	1	6	13	24	31	11	1	7	9	
Acropora336	0	8	18	2	6	1	11	2	0	4	11	10	7	1	4	8	2	2	6	2	0	3	6	4	1	4	3	0	3	5	1	2	1	12	0	1	5	8	0	0	0	6	10	2	0	3	0	0	
Acropora337	172	151	165	111	104	145	81	272	67	100	212	139	54	201	102	57	66	99	251	11	52	8	59	226	75	33	137	2	26	92	264	230	60	181	123	15	99	297	90	26	49	78	111	411	109	31	22	111	
Acropora338	39	25	26	19	22	21	11	32	16	21	35	20	20	14	22	7	11	29	45	6	4	4	7	42	11	6	21	3	3	17	27	32	6	27	23	5	32	43	13	7	6	15	14	28	15	3	4	15	
Acropora339	0	2	2	5	3	2	3	2	4	2	7	2	0	7	2	1	1	2	5	0	1	0	3	6	5	2	5	0	0	10	7	2	5	16	3	0	3	11	0	0	1	3	4	5	2	0	0	10	
Acropora34	30	26	38	23	13	24	54	27	11	35	42	22	12	28	31	20	21	34	25	7	14	3	15	24	11	5	33	3	11	18	23	52	18	21	14	6	11	44	28	8	9	11	36	41	25	11	6	11	
Acropora340	13	31	23	9	22	11	22	18	6	4	17	28	18	10	12	12	5	22	26	3	5	1	10	15	11	2	6	5	8	11	21	17	8	9	19	3	28	13	13	3	5	13	26	29	12	11	9	10	
Acropora341	2	0	0	1	0	0	0	0	0	3	0	0	0	1	1	2	0	3	0	0	0	0	0	0	1	0	0	4	1	0	0	4	4	1	0	0	0	0	0	2	0	0	1	2	1	1	0	1	
Acropora342	10	24	28	13	17	18	21	25	9	9	18	17	11	13	7	5	12	23	20	3	8	0	1	16	9	11	15	1	7	22	30	19	8	7	12	2	19	40	16	5	14	12	20	19	15	2	1	21	
Acropora343	17	25	18	16	25	17	30	13	23	20	30	21	14	18	33	17	14	24	15	17	4	1	8	7	8	6	18	8	13	19	13	22	20	15	10	11	28	31	18	7	9	26	15	16	8	26	12	22	
Acropora344	56	128	119	73	112	81	109	137	61	76	127	86	54	88	74	76	57	106	155	19	34	19	31	100	35	36	115	23	39	86	101	101	48	75	75	25	88	144	64	37	43	62	87	129	67	28	21	83	
Acropora345	0	0	0	0	1	3	1	1	1	0	2	1	0	1	2	1	1	0	0	0	2	0	1	1	0	1	0	2	1	0	2	0	2	0	0	1	1	2	0	1	0	2	0	0	0	1	0	1	
Acropora347	5	3	4	2	1	0	2	6	1	2	3	2	1	2	7	0	0	5	4	0	1	0	5	4	0	2	0	0	0	3	0	4	2	1	4	0	3	7	1	0	3	0	3	3	1	3	0	1	
Acropora348	365	477	477	272	457	458	516	615	176	367	570	413	175	350	254	137	210	414	528	125	112	35	174	435	200	145	403	78	118	367	473	591	179	367	486	118	462	577	308	146	162	262	474	615	299	127	178	393	
Acropora349	5	9	7	10	12	13	13	14	4	6	13	12	2	13	17	5	7	7	12	2	4	0	3	10	7	4	13	4	8	12	12	9	6	15	2	6	16	32	10	6	5	12	11	15	7	4	1	11	
Acropora35	5	24	15	6	12	12	20	21	8	21	8	10	6	8	16	3	9	4	19	2	7	0	6	15	11	3	6	0	6	12	21	17	5	9	3	2	9	19	11	1	2	1	22	23	14	3	5	11	
Acropora350	7	7	3	11	4	9	3	2	3	5	15	5	0	6	4	0	9	5	3	1	2	2	0	3	1	2	6	0	1	5	3	9	2	5	3	0	7	4	1	1	1	4	2	6	2	0	0	4	
Acropora351	17	27	27	13	24	29	22	30	21	21	57	22	18	27	21	9	10	29	31	7	5	0	5	13	12	8	24	0	3	14	20	32	12	22	28	6	28	42	24	12	7	16	16	47	30	8	11	21	
Acropora352	0	3	0	2	0	0	2	3	1	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	2	0	2	0	1	0	0	2	0	0	0	0	3	1	0	0	1	
Acropora353	54	85	46	77	36	47	56	51	64	82	112	46	22	94	79	80	71	57	43	12	39	5	43	31	33	23	90	8	22	81	53	54	55	92	31	7	44	136	37	29	19	27	57	78	55	29	23	69	
Acropora354	0	1	4	1	1	0	0	6	2	5	2	0	0	6	1	1	0	1	2	0	2	0	1	1	1	0	0	0	2	5	0	2	1	1	0	0	1	1	1	2	0	0	2	4	1	0	0	0	
Acropora355	0	1	5	3	2	1	2	4	11	1	0	2	0	0	0	1	4	0	5	0	0	0	1	3	3	2	2	0	1	4	3	2	2	1	1	0	2	11	1	2	0	1	5	8	2	0	1	1	
Acropora356	13	22	20	12	19	19	14	15	26	21	18	16	5	26	27	16	25	22	29	17	13	7	17	22	14	7	28	11	12	15	16	23	17	25	12	12	12	16	18	13	6	19	18	28	11	15	13	15	
Acropora357	1	3	0	2	0	0	0	3	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	1	0	0	0	2	4	2	1	0	3	
Acropora358	2	4	3	2	3	3	10	3	6	5	9	3	5	2	8	5	6	2	5	4	5	1	7	3	0	1	0	0	0	1	3	1	2	3	3	1	1	5	6	0	0	1	4	9	4	1	6	3	
Acropora359	60	52	36	27	39	47	64	49	80	50	45	49	33	38	127	115	118	38	47	22	62	20	57	35	33	104	29	11	34	49	48	76	100	45	37	23	47	45	84	74	49	47	58	82	90	15	35	45	
Acropora36	0	2	0	0	1	2	0	2	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Acropora360	5	9	8	15	5	1	3	6	7	10	14	2	3	7	14	9	13	6	4	5	1	2	4	4	1	3	8	0	2	10	3	13	9	7	6	2	7	15	5	5	2	4	4	6	9	0	0	7	
Acropora361	2	0	2	2	4	0	2	2	4	3	2	2	0	3	0	0	0	2	0	0	2	0	1	1	0	0	2	0	1	5	4	1	0	4	0	2	5	0	0	0	1	2	2	1	1	1	2	3	
Acropora362	6	3	4	5	5	1	1	4	3	1	4	5	1	9	2	0	1	14	16	0	1	0	1	7	2	0	8	1	0	2	25	4	1	5	14	0	12	11	1	3	4	5	1	0	0	3	3	0	
Acropora363	1	10	8	0	3	4	4	2	1	6	4	4	0	12	2	0	3	3	9	0	0	0	1	8	1	0	9	0	0	1	10	2	0	12	2	0	5	8	3	2	0	1	3	14	1	0	0	2	
Acropora364	25	45	40	28	35	22	25	36	21	28	33	31	16	38	37	17	23	31	32	10	16	7	16	27	10	11	26	9	17	33	30	37	15	15	20	21	43	50	11	14	4	23	32	30	19	14	19	22	
Acropora365	1	0	0	1	0	2	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	6	5	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	
Acropora366	72	71	76	78	78	93	76	101	34	75	154	94	48	101	44	8	32	83	53	19	25	9	40	79	34	9	113	16	11	109	57	79	18	106	44	8	76	111	33	23	12	38	50	73	27	27	32	107	
Acropora367	1	5	1	1	2	1	0	1	0	5	8	2	2	1	2	0	0	3	1	0	0	0	1	2	2	0	2	0	0	5	4	4	1	1	0	0	3	6	1	0	0	6	2	6	2	2	1	5	
Acropora368	47	109	82	61	61	62	58	70	20	37	92	67	42	78	40	26	28	80	51	11	28	7	22	38	18	12	69	7	21	66	57	46	18	46	26	11	62	67	35	9	9	22	50	62	27	16	12	70	
Acropora369	1	1	1	0	1	2	0	0	0	2	4	1	1	0	0	2	0	2	4	1	0	0	0	1	1	3	0	0	1	0	2	2	0	2	0	0	0	0	3	1	0	0	5	1	0	2	2	0	
Acropora37	166	125	142	98	133	150	145	180	68	137	257	162	77	172	106	84	88	127	190	34	32	10	73	115	72	44	176	14	37	215	172	224	71	215	99	24	131	275	107	56	61	106	115	226	92	49	31	175	
Acropora370	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Acropora371	0	1	0	0	1	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
Acropora372	27	76	46	29	38	47	61	34	24	34	41	45	18	36	29	29	31	42	40	11	20	2	11	20	14	16	42	3	22	55	42	34	23	37	41	11	55	24	56	14	21	12	55	81	41	18	34	25	
Acropora373	2	0	0	1	1	0	0	2	1	2	0	1	0	1	1	2	1	1	4	2	1	0	2	0	0	3	1	2	0	2	0	4	0	0	5	4	3	1	4	0	1	1	1	1	2	1	3	0	
Acropora374	16	6	15	9	21	16	12	12	7	6	20	12	15	10	21	9	4	27	8	3	19	2	12	6	6	9	7	2	10	17	7	27	10	22	12	7	12	27	22	5	7	11	25	22	20	9	6	11	
Acropora375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	
Acropora376	14	12	18	15	10	14	13	19	7	9	20	13	6	13	15	3	8	7	19	3	6	1	6	12	3	12	26	1	2	11	20	11	9	16	9	2	15	20	6	4	7	6	17	19	8	2	6	14	
Acropora377	8	4	18	12	13	3	5	12	4	3	28	12	4	17	3	1	8	8	11	2	0	4	3	19	7	2	29	4	0	14	20	13	3	22	1	2	30	41	9	0	0	9	17	24	16	3	5	18	
Acropora378	2	4	4	4	5	7	8	5	1	7	6	3	1	2	5	1	3	4	5	0	0	0	4	0	0	2	4	0	0	9	6	7	1	4	4	1	2	2	1	0	1	3	1	2	3	0	4	7	
Acropora379	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
Acropora38	0	0	1	1	0	0	1	2	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	1	1	0	0	1	2	0	0	0	2	0	0	0	0	0	3	
Acropora380	6	7	4	5	7	8	2	10	0	9	5	8	7	7	8	3	7	6	7	2	2	0	5	3	0	1	16	0	0	6	5	6	0	4	2	0	8	3	0	3	0	4	5	6	4	1	1	4	
Acropora381	19	8	11	13	13	17	9	22	7	11	17	12	8	7	7	2	6	4	27	1	4	3	1	6	9	7	22	2	4	11	16	26	4	4	14	2	15	14	13	1	11	7	18	22	18	2	4	9	
Acropora382	227	224	271	127	242	204	197	324	77	140	289	205	103	175	106	71	78	252	262	34	56	21	80	212	68	45	159	27	35	160	221	226	68	194	132	41	185	287	121	70	73	146	193	270	99	56	46	153	
Acropora383	0	1	1	0	0	0	0	1	0	0	1	5	0	0	2	1	4	0	0	0	0	0	0	0	1	0	0	1	0	2	1	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	2	0	
Acropora384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Acropora385	25	50	46	25	47	36	48	34	11	15	69	46	14	49	28	15	18	19	24	5	5	9	13	33	13	5	41	2	3	43	28	38	18	42	11	12	39	34	23	8	8	23	38	39	21	14	7	48	
Acropora386	3	5	6	5	3	7	8	4	2	3	10	13	11	2	4	3	5	6	5	5	1	1	0	0	6	3	20	2	2	10	8	5	5	6	4	5	5	8	7	0	0	2	4	8	6	6	3	14	
Acropora387	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	
Acropora388	57	76	77	48	48	61	74	63	49	50	104	81	38	81	68	70	34	55	73	13	37	7	26	30	33	21	50	13	30	66	35	101	34	61	52	28	73	64	68	28	24	33	69	74	63	15	36	60	
Acropora389	5	16	11	18	11	13	22	15	12	18	25	10	9	7	17	14	19	20	16	8	5	2	8	11	10	4	12	3	7	13	7	25	5	13	10	7	16	15	17	11	3	12	11	22	11	4	6	22	
Acropora39	185	213	194	204	182	181	203	222	137	243	346	216	99	240	211	164	196	213	231	62	111	15	118	182	71	115	195	22	61	204	213	323	121	240	139	40	217	464	175	60	68	107	155	286	222	88	60	263	
Acropora390	7	2	2	4	5	6	9	4	4	7	11	7	1	4	3	1	3	4	11	0	3	0	5	5	4	3	3	2	1	2	6	6	0	4	4	0	4	16	3	3	0	2	8	6	3	3	2	7	
Acropora391	15	3	8	9	3	9	14	10	7	23	16	4	4	7	14	5	13	5	13	5	12	0	8	9	2	7	12	2	1	13	15	28	16	19	14	3	9	18	17	10	3	3	21	16	14	8	3	12	
Acropora392	10	16	12	3	6	9	14	9	4	5	9	7	2	10	5	5	4	8	6	1	3	0	5	8	10	3	10	1	1	14	13	10	9	10	11	5	12	26	17	3	12	6	12	22	8	5	6	14	
Acropora393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Acropora394	138	12	15	112	6	132	6	122	54	57	107	5	5	80	90	63	68	26	123	7	51	0	39	88	113	48	58	4	5	94	90	100	55	99	51	3	3	123	74	33	38	9	7	142	101	29	1	81	
Acropora395	16	18	11	8	14	18	13	16	4	9	11	7	4	10	6	11	7	17	15	2	15	3	6	18	6	9	17	4	4	6	39	19	2	6	14	4	6	15	11	10	2	8	11	27	20	4	9	10	
Acropora396	37	61	34	30	48	51	47	44	32	29	70	70	22	59	36	24	30	63	55	10	28	6	14	42	25	16	66	5	18	61	105	71	30	59	50	11	46	75	56	15	20	35	85	95	75	30	30	42	
Acropora397	0	3	1	2	1	1	1	2	0	4	7	3	0	2	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	3	1	2	0	0	0	0	
Acropora398	6	3	5	3	4	5	1	3	5	2	7	7	1	3	4	6	3	10	8	2	0	1	3	5	2	7	7	1	0	7	3	6	1	2	3	0	5	6	2	1	1	3	6	8	3	0	6	2	
Acropora399	0	2	0	4	4	0	4	2	0	0	4	1	1	1	2	0	1	2	3	0	1	0	2	1	2	0	3	0	0	2	3	7	3	1	6	0	1	2	1	0	0	4	0	2	4	0	1	5	
Acropora40	0	0	0	0	0	0	0	0	2	5	6	0	0	4	2	0	0	1	0	0	0	0	1	0	0	0	2	0	0	2	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	
Acropora400	14	15	12	7	5	15	10	19	8	11	16	11	10	11	6	5	9	5	22	3	10	0	5	13	4	4	8	0	2	28	14	36	7	11	17	4	11	29	17	8	2	4	16	22	18	4	8	13	
Acropora401	137	212	213	135	148	135	178	195	80	131	258	232	94	205	81	67	91	201	247	50	52	14	63	171	63	34	194	31	38	94	217	225	57	144	123	30	126	166	94	26	54	106	152	271	104	44	63	104	
Acropora402	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora403	342	375	427	114	325	248	289	384	211	157	245	227	107	245	316	281	132	240	377	37	141	35	97	250	141	286	220	18	99	287	380	284	295	319	532	85	234	542	391	280	272	237	425	750	418	144	118	276	
Acropora404	18	38	25	16	21	26	26	26	10	38	14	20	7	19	13	19	14	16	31	5	15	1	13	16	8	9	25	0	13	43	15	33	14	33	25	11	34	37	33	17	26	26	36	62	41	14	10	23	
Acropora405	24	9	18	10	15	14	38	8	9	14	28	20	8	15	14	12	13	10	12	2	5	4	5	11	7	6	7	0	4	15	14	23	1	14	11	3	16	25	14	4	2	9	28	21	11	2	6	6	
Acropora406	0	1	1	1	2	0	0	1	0	0	2	5	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	1	1	0	0	2	1	0	0	1	0	1	0	1	0	3	0	0	0	1	
Acropora407	37	68	41	52	50	45	60	82	24	52	70	50	21	46	26	24	23	56	51	16	15	3	26	31	16	13	46	12	19	51	35	73	30	50	43	15	51	76	43	8	18	40	43	52	36	20	22	61	
Acropora408	815	1531	1161	363	1140	728	1292	1127	473	689	897	1129	439	1115	853	281	551	676	1070	190	292	185	355	891	258	566	952	192	248	747	946	866	546	708	1639	271	811	1345	796	628	313	810	840	1753	444	232	482	657	
Acropora409	0	0	0	0	1	0	1	0	0	0	4	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	
Acropora41	5	10	16	11	12	6	7	7	10	14	14	10	9	7	1	4	3	8	8	5	0	1	3	6	4	1	6	2	4	6	11	10	3	6	7	1	9	13	6	5	1	4	10	15	9	0	0	6	
Acropora410	27	43	20	11	26	17	21	24	11	10	23	16	20	7	21	5	7	18	15	4	4	2	12	21	1	12	17	1	6	22	23	42	9	25	10	1	30	32	16	7	11	17	43	43	11	13	4	27	
Acropora411	1	4	0	0	4	2	1	1	0	0	2	4	1	4	3	0	3	2	1	0	0	0	2	0	1	0	4	0	0	0	2	2	1	3	4	0	2	0	3	2	1	1	2	5	3	0	1	1	
Acropora412	0	1	2	0	0	2	1	1	0	4	5	1	4	1	6	3	2	0	2	0	1	0	4	4	2	3	3	0	0	1	0	3	2	3	3	0	3	2	3	2	1	2	0	5	3	1	1	3	
Acropora413	47	56	66	53	62	53	50	77	32	46	78	70	26	46	48	39	40	72	80	11	21	3	23	46	30	15	50	7	11	50	60	61	33	53	39	5	65	78	62	18	22	31	41	92	62	21	16	44	
Acropora414	6	5	4	1	9	6	7	3	2	2	6	6	5	9	9	3	3	5	8	1	1	1	3	6	0	1	2	0	0	5	1	11	1	5	6	0	2	3	3	1	3	4	2	2	3	0	0	1	
Acropora415	6	10	7	8	6	8	5	6	8	7	14	4	6	6	10	6	9	7	12	1	3	1	1	4	3	9	16	2	3	19	10	17	11	22	18	2	6	24	15	8	12	17	12	21	18	3	11	6	
Acropora416	37	31	39	34	44	36	52	39	9	35	65	50	12	38	29	18	18	65	63	10	18	3	14	54	9	8	43	5	12	31	94	54	15	15	30	20	30	38	28	6	7	18	52	55	32	10	13	39	
Acropora417	0	1	0	1	0	0	3	0	0	4	0	1	0	0	3	0	0	4	0	0	0	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	
Acropora418	9	11	7	11	7	16	6	10	10	9	9	7	5	3	10	8	11	6	16	3	5	4	9	8	2	5	9	2	4	4	15	12	6	10	12	5	11	11	7	6	4	3	11	18	10	5	2	7	
Acropora419	9	10	11	5	8	10	3	20	0	2	13	14	4	12	10	1	4	10	20	0	3	0	1	25	5	0	6	0	3	2	48	9	4	4	13	1	3	13	4	4	2	3	2	19	3	3	4	8	
Acropora42	34	28	19	27	35	25	22	47	16	26	32	34	17	22	28	26	19	18	40	10	11	1	6	34	18	11	20	7	10	16	25	25	7	20	33	12	23	37	14	8	15	20	20	39	17	11	4	30	
Acropora420	10	12	1	0	2	5	2	9	3	1	2	2	1	8	0	3	3	4	9	1	3	0	2	7	1	1	2	0	0	7	23	5	5	7	7	1	4	8	2	1	2	0	3	11	2	9	2	4	
Acropora421	29	17	31	31	22	27	21	28	15	17	34	22	9	29	13	28	28	24	24	4	7	2	13	24	9	5	31	6	6	24	23	19	22	11	23	5	25	26	18	8	11	14	19	26	21	6	9	27	
Acropora422	96	94	82	71	101	97	120	127	109	132	131	70	40	93	108	50	100	80	93	36	48	11	76	81	52	47	119	19	54	132	68	182	95	105	103	35	83	191	86	51	44	60	174	145	123	69	38	123	
Acropora424	7	6	1	5	8	8	16	6	2	7	10	9	2	5	6	4	4	5	8	0	2	0	0	2	3	4	5	2	9	11	5	4	13	6	0	4	12	1	2	1	2	2	10	9	2	5	2	13	
Acropora425	2	6	5	4	5	3	6	8	3	11	13	14	8	4	11	6	8	15	5	2	2	1	5	9	14	5	8	2	8	7	11	10	6	8	3	2	9	19	6	3	0	10	7	15	6	5	0	6	
Acropora426	4	3	2	0	4	5	1	8	2	5	4	7	0	2	3	2	1	3	6	3	5	1	1	0	2	2	5	3	1	8	7	4	9	6	6	3	3	11	6	5	4	3	6	12	6	1	4	6	
Acropora427	50	31	29	24	12	38	23	24	16	22	44	32	22	31	18	15	19	26	53	4	20	2	12	28	21	22	40	2	25	24	46	59	19	23	42	3	30	37	63	15	20	10	43	72	62	12	17	28	
Acropora428	2	1	4	1	2	3	1	3	0	0	2	0	1	1	1	1	3	2	0	1	1	0	0	4	2	0	1	0	0	2	0	1	1	3	1	3	0	7	1	0	0	0	0	6	1	0	0	2	
Acropora429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora43	127	190	146	74	134	102	182	151	76	128	123	151	64	116	137	140	89	135	110	20	71	24	70	81	56	72	90	18	49	123	106	156	63	108	124	28	125	165	127	82	59	84	122	182	138	51	61	104	
Acropora430	15	10	4	12	10	5	13	10	19	16	12	6	9	2	24	29	24	9	6	16	5	6	12	18	7	14	6	8	21	14	11	21	19	3	19	15	15	12	5	7	8	13	6	13	18	17	8	5	
Acropora431	1	0	2	1	0	0	1	1	2	0	1	0	0	0	0	0	1	2	1	1	0	0	0	0	3	0	0	0	1	0	0	4	0	0	1	2	0	2	0	0	0	1	0	3	2	1	1	0	
Acropora432	2	3	2	0	7	1	0	4	0	0	3	2	3	1	1	1	5	3	0	4	1	1	0	11	1	0	3	2	5	0	1	5	4	2	2	4	4	4	0	3	0	3	4	5	4	4	3	1	
Acropora433	3	9	11	7	8	4	6	10	4	5	9	8	4	9	6	3	1	4	10	3	5	3	3	6	2	4	4	1	2	6	6	8	1	9	5	2	5	13	9	2	6	7	11	16	5	5	3	12	
Acropora434	2	1	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	1	2	0	1	0	0	2	0	2	4	0	0	4	3	6	2	6	0	0	0	2	3	0	0	6	0	4	2	3	1	4	
Acropora435	1	9	4	4	1	6	6	5	6	3	8	5	3	5	11	10	5	9	7	4	3	1	1	7	2	2	4	4	7	4	1	8	5	8	5	8	3	7	3	2	4	10	1	6	4	6	4	0	
Acropora436	2	2	0	4	1	0	2	1	4	1	1	2	0	1	0	2	0	0	1	2	3	0	0	2	2	1	1	4	7	3	3	6	10	3	6	4	3	3	1	2	3	6	3	3	9	5	0	1	
Acropora437	74	123	136	86	127	110	171	126	59	139	108	137	85	127	82	46	70	93	95	27	33	21	75	86	31	22	100	21	33	86	99	160	71	76	128	25	151	114	66	34	67	67	113	144	62	37	62	90	
Acropora438	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	1	0	5	0	0	0	0	0	0	4	3	0	0	2	0	0	0	0	1	
Acropora439	20	12	20	15	12	13	21	13	15	13	15	21	2	12	8	6	7	9	19	2	0	0	4	11	2	0	17	4	1	10	17	20	6	20	14	1	20	20	12	7	1	8	20	17	9	4	8	15	
Acropora44	107	176	176	115	132	167	172	207	69	121	188	159	84	129	77	45	89	160	209	25	32	8	57	133	74	50	178	15	45	189	152	185	87	146	103	24	133	223	113	57	38	97	157	226	152	36	34	160	
Acropora440	6	2	4	7	6	3	8	3	1	4	4	4	0	2	0	6	1	1	6	2	9	1	2	5	4	0	7	0	0	15	5	10	5	6	10	0	5	6	8	2	3	0	6	2	7	1	2	4	
Acropora441	9	8	11	6	16	11	11	14	14	11	21	18	6	18	11	3	11	17	11	3	5	6	6	12	11	8	30	1	7	27	22	29	11	33	30	8	34	34	20	10	13	19	23	43	34	11	9	21	
Acropora442	4	2	0	0	3	1	3	1	6	3	12	0	4	3	9	8	4	2	6	0	3	2	5	3	4	1	2	0	2	4	2	3	6	7	6	3	1	3	3	6	2	10	3	4	4	11	1	2	
Acropora443	7	5	8	3	4	0	2	9	2	7	7	5	1	5	3	1	2	6	10	3	4	0	8	2	4	1	4	0	1	6	6	2	2	1	3	1	7	4	4	2	1	5	3	1	2	0	2	6	
Acropora444	3	3	3	1	1	0	0	1	0	0	1	4	1	1	1	2	1	1	0	0	3	2	0	2	2	0	2	0	4	0	2	1	1	1	1	1	1	3	1	0	0	3	2	3	2	1	0	2	
Acropora445	0	2	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	4	0	0	0	2	0	
Acropora446	6	9	2	4	7	9	5	6	1	1	4	7	2	5	5	1	3	6	8	0	0	0	3	3	2	1	4	1	0	12	9	6	1	6	1	1	4	6	2	0	3	7	4	11	8	1	2	2	
Acropora447	6	18	11	4	12	6	6	9	0	1	12	13	7	8	4	3	3	12	4	3	3	0	4	6	0	1	4	0	0	4	15	8	0	1	2	3	3	12	5	1	2	9	7	8	2	0	2	17	
Acropora448	9	8	8	10	11	15	12	16	8	20	14	9	8	7	30	18	14	11	16	8	13	2	9	22	10	12	12	5	9	7	15	22	12	9	11	7	11	11	11	5	6	20	2	12	15	17	9	11	
Acropora449	2	0	1	1	1	3	2	1	3	0	1	2	0	1	1	1	1	1	1	0	0	0	2	2	0	2	0	0	0	0	0	3	1	0	0	0	1	2	2	0	1	0	1	2	0	0	0	1	
Acropora45	14	17	14	9	7	9	18	12	5	7	18	12	6	5	5	5	13	4	14	3	4	5	1	10	3	2	8	0	1	8	8	17	3	3	12	1	6	27	12	2	4	5	20	9	9	2	2	6	
Acropora450	80	138	133	35	111	91	113	146	28	75	101	141	76	71	31	18	42	83	132	11	29	3	19	85	33	15	38	6	18	46	96	140	16	58	54	13	76	109	53	21	28	53	92	154	84	10	15	36	
Acropora451	4	4	0	0	6	2	0	0	2	0	6	4	0	7	5	0	2	1	1	0	0	0	0	4	3	0	3	0	0	0	1	1	0	1	0	0	0	3	0	1	0	0	3	4	2	2	0	2	
Acropora452	83	156	183	118	175	144	192	205	53	81	188	152	79	145	86	46	57	124	181	21	22	11	48	103	60	32	144	23	30	109	126	131	45	110	111	11	128	139	82	25	53	81	117	159	63	35	31	99	
Acropora453	30	41	26	13	19	26	30	24	29	22	17	29	11	26	31	33	20	25	36	6	19	3	13	15	13	12	35	1	4	56	24	27	24	30	29	12	34	68	18	8	11	19	41	47	32	17	14	40	
Acropora454	6	18	15	3	17	10	16	12	2	7	14	8	4	5	12	11	6	8	12	2	1	4	3	14	9	7	11	0	3	2	7	17	7	4	5	6	8	18	9	0	5	9	10	8	9	3	3	14	
Acropora455	12	30	29	6	21	19	32	28	17	17	29	17	15	25	28	7	6	20	32	6	3	2	10	12	7	4	32	8	5	29	27	35	8	15	17	4	28	35	15	10	7	17	21	24	14	5	4	16	
Acropora456	4	67	84	67	85	5	50	11	24	22	133	117	69	60	26	14	23	60	7	13	2	1	15	2	8	2	70	4	28	123	3	6	31	82	2	2	97	95	4	2	4	27	67	6	2	18	19	50	
Acropora457	295	91	56	216	73	334	76	311	143	154	372	56	52	237	238	138	141	91	302	21	117	5	99	204	175	96	175	15	35	216	256	228	119	233	161	26	74	333	169	89	74	52	50	493	215	71	23	226	
