Photo ID,Date,ID,Tank,Species,Photo #,Coral Position,Colony,Treatment,Treatment_Tank,CBASS_tank,Image J Points,Mean,X,Y,month,mean_Rintensity_percoral
3775,2022-03-08,29,8,Acropora cervicornis,6,4,SI-C,Treated,8,3,13,67,2884.167,2150.5,03,83.25
3775,2022-03-08,29,8,Acropora cervicornis,6,4,SI-C,Treated,8,3,14,74,2798.833,1991.833,03,83.25
3775,2022-03-08,29,8,Acropora cervicornis,6,4,SI-C,Treated,8,3,15,95,2722.833,1798.5,03,83.25
3775,2022-03-08,29,8,Acropora cervicornis,6,4,SI-C,Treated,8,3,16,97,2713.5,1679.833,03,83.25
3775,2022-03-08,65,8,Acropora cervicornis,6,3,MB-B,Treated,8,3,9,65,2411.833,2191.5,03,76.25
3775,2022-03-08,65,8,Acropora cervicornis,6,3,MB-B,Treated,8,3,10,66,2405.167,2060.833,03,76.25
3775,2022-03-08,65,8,Acropora cervicornis,6,3,MB-B,Treated,8,3,11,74,2415.833,1927.5,03,76.25
3775,2022-03-08,65,8,Acropora cervicornis,6,3,MB-B,Treated,8,3,12,100,2440.5,1803.5,03,76.25
3775,2022-03-08,68,8,Acropora cervicornis,6,1,BC-8b,Treated,8,7,1,84,1380,2172,03,92.5
3775,2022-03-08,68,8,Acropora cervicornis,6,1,BC-8b,Treated,8,7,2,94,1383.5,2106.5,03,92.5
3775,2022-03-08,68,8,Acropora cervicornis,6,1,BC-8b,Treated,8,7,3,96,1407.5,1806.5,03,92.5
3775,2022-03-08,68,8,Acropora cervicornis,6,1,BC-8b,Treated,8,7,4,96,1428.833,1745.167,03,92.5
3775,2022-03-08,74,8,Acropora cervicornis,6,2,MB-B,Treated,8,4,5,76,1956.167,2194.833,03,88
3775,2022-03-08,74,8,Acropora cervicornis,6,2,MB-B,Treated,8,4,6,85,1944.167,2092.167,03,88
3775,2022-03-08,74,8,Acropora cervicornis,6,2,MB-B,Treated,8,4,7,90,1961.5,1972.167,03,88
3775,2022-03-08,74,8,Acropora cervicornis,6,2,MB-B,Treated,8,4,8,101,1949.5,1730.833,03,88
3775,2022-03-08,117,8,Acropora cervicornis,6,5,SI-C,Treated,8,2,17,42,3426.5,2189.5,03,46.5
3775,2022-03-08,117,8,Acropora cervicornis,6,5,SI-C,Treated,8,2,18,44,3423.5,2066.5,03,46.5
3775,2022-03-08,117,8,Acropora cervicornis,6,5,SI-C,Treated,8,2,19,49,3391.5,1988.5,03,46.5
3775,2022-03-08,117,8,Acropora cervicornis,6,5,SI-C,Treated,8,2,20,51,3389.5,1923.5,03,46.5
3778,2022-03-08,5,7,Acropora cervicornis,1,1,SI-C,Untreated,7,4,1,27,1387,2120,03,49.75
3778,2022-03-08,5,7,Acropora cervicornis,1,1,SI-C,Untreated,7,4,2,46,1388.167,1865.5,03,49.75
3778,2022-03-08,5,7,Acropora cervicornis,1,1,SI-C,Untreated,7,4,3,55,1340.167,1702.833,03,49.75
3778,2022-03-08,5,7,Acropora cervicornis,1,1,SI-C,Untreated,7,4,4,71,1361.5,1586.833,03,49.75
3778,2022-03-08,12,7,Acropora cervicornis,1,4,SI-C,Untreated,7,6,13,37,2891.5,2204.5,03,44.75
3778,2022-03-08,12,7,Acropora cervicornis,1,4,SI-C,Untreated,7,6,14,44,2925.5,2138.5,03,44.75
3778,2022-03-08,12,7,Acropora cervicornis,1,4,SI-C,Untreated,7,6,15,41,2927.5,1991.5,03,44.75
3778,2022-03-08,12,7,Acropora cervicornis,1,4,SI-C,Untreated,7,6,16,57,2897.5,1880.5,03,44.75
3778,2022-03-08,52,7,Acropora cervicornis,1,2,BC-8b,Untreated,7,6,5,61,1843.833,2066.5,03,60.25
3778,2022-03-08,52,7,Acropora cervicornis,1,2,BC-8b,Untreated,7,6,6,54,1823.167,1927.5,03,60.25
3778,2022-03-08,52,7,Acropora cervicornis,1,2,BC-8b,Untreated,7,6,7,59,1788.5,1880.833,03,60.25
