gene,Fish_kME
Acropora10617,0.574097520543423
Acropora10618,0.561314713100786
Acropora10619,0.732564669327006
Acropora1062,0
Acropora10620,0.771037025188392
Acropora10621,0.480741608309657
Acropora10627,0
Acropora10628,0.712503327193586
Acropora10629,0.39613040942789
Acropora1063,0.902357049148277
Acropora10630,0.616100397045933
Acropora10631,0
Acropora10632,0
Acropora10633,0.450414976792989
Acropora10634,0
Acropora10635,0
Acropora10636,0
Acropora10637,0
Acropora10638,0.334024803640088
Acropora10639,0
Acropora1064,0
Acropora10640,0
Acropora10641,0
Acropora10643,0
Acropora10645,0
Acropora10646,0.694625346557259
Acropora10647,0
Acropora10648,0.753183542297752
Acropora10649,0
Acropora1065,0
Acropora10650,0
Acropora10651,0.404693661484011
Acropora10652,0
Acropora10653,0
Acropora10656,0
Acropora10657,0.486960304196886
Acropora10658,0
Acropora10659,0
Acropora1066,0
Acropora10660,0.347077949388227
Acropora10661,0.45647568612051
Acropora10662,0
Acropora10663,0
Acropora10665,0
Acropora10666,0
Acropora10667,0.405510371207135
Acropora10668,0
Acropora1067,0
Acropora10671,0
Acropora10672,0
Acropora10673,0.600961715879045
Acropora10674,0
Acropora10675,0
Acropora10676,0
Acropora10678,0.421485360780789
Acropora10679,0
Acropora1068,0
Acropora10680,0
Acropora10682,0
Acropora10684,0
Acropora10686,0
Acropora10687,0.500045944921559
Acropora10688,0
Acropora1069,0.668637620044983
Acropora10690,0
Acropora10692,0
Acropora10693,0
Acropora10695,0.535898200070027
Acropora10696,0
Acropora10697,0.902784124641279
Acropora10698,0
Acropora107,0
Acropora1070,0
Acropora10700,0
Acropora10701,0
Acropora10702,0.747964682885807
Acropora10703,0.317524498784734
Acropora10705,0
Acropora10706,0
Acropora10707,0
Acropora10708,0
Acropora10709,0
Acropora1071,0
Acropora10710,0
Acropora10711,0
Acropora10713,0
Acropora10714,0.748749755550819
Acropora10715,0.328597082361476
Acropora10716,0
Acropora10717,0
Acropora10718,0
Acropora10719,0.413779285111018
Acropora1072,0
Acropora10720,0
Acropora10721,0
Acropora10722,0
Acropora10723,0
Acropora10724,0
Acropora10725,0.59986042332751
Acropora10726,0.644472259767947
Acropora10729,0.558860474959583
Acropora1073,0
Acropora10731,0.386560077214237
Acropora10732,0.910457078922883
Acropora10736,0.697966409465464
Acropora10737,0.545345278781858
Acropora10738,0
Acropora10739,0
Acropora10740,0
Acropora10741,0
Acropora10743,0
Acropora10744,0
Acropora10745,0
Acropora10746,0.666497303958456
Acropora10748,0
Acropora10749,0.768929237133085
Acropora1075,0
Acropora10750,0
Acropora10751,0.784453828028813
Acropora10752,0
Acropora10753,0.409262153811234
Acropora10754,0
Acropora10757,0
Acropora10758,0.426086053935923
Acropora10759,0
Acropora1076,0
Acropora10760,0
Acropora10761,0
Acropora10763,0
Acropora10764,0
Acropora10766,0
Acropora10767,0.36438197665692
Acropora10769,0
Acropora1077,0
Acropora10771,0
Acropora10773,0
Acropora10774,0
Acropora10775,0
Acropora10776,0
Acropora10778,0
Acropora10779,0
Acropora1078,0
Acropora10781,0.562137725695846
Acropora10782,0.481730743287285
Acropora10783,0
Acropora10784,0
Acropora10786,0
Acropora10787,0
Acropora10788,0
Acropora10789,0
Acropora1079,0
Acropora10791,0
Acropora10792,0
Acropora10793,0
Acropora10794,0
Acropora10795,0
Acropora10796,0
Acropora10798,0
Acropora10799,0
Acropora108,0
Acropora1080,0
Acropora10801,0
Acropora10802,0.280975357424017
Acropora10803,0
Acropora10806,0.799011298212365
Acropora10807,0.530906851444509
