gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pseudodiploria191982,"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",1.9046292842582202,2.129551295337137,0.4789180375047775,4.446588202090621,8.724485441018907e-6,0.003216863217618271
Pseudodiploria192509,positive regulation of protein folding,53.645487179473186,-1.142028906518378,0.13200000580987536,-8.651733759491538,5.072286762728691e-18,2.0711414923911928e-14
Pseudodiploria192650,Berberine and berberine like,34.23889850082626,1.3100499895655606,0.31057688372769937,4.218118147885587,2.463497339164424e-5,0.006819712210266532
Pseudodiploria192756,NA,10.175201401999248,-1.177131077291439,0.3212477162981425,-3.664247300668656,2.480670168371665e-4,0.03823935647301735
Pseudodiploria193009,axonogenesis involved in innervation,24.432417584884433,-1.5030262639130378,0.3272188976791562,-4.593335759558671,4.3621635994808955e-6,0.0018038382168154693
Pseudodiploria193157,guanyl-nucleotide exchange factor activity,5.844084216184544,1.184859536032756,0.3118717896455646,3.7991879207135812,1.4517098827146702e-4,0.02549545969288033
Pseudodiploria193327,NA,2.2859974368010527,2.1004179674051975,0.5429298758508035,3.86867266074411,1.094294337431053e-4,0.021301989466230256
Pseudodiploria195306,"ATPase activity, coupled to transmembrane movement of substances",2.280355085085113,1.7908592526748743,0.5033950806625891,3.55756208486915,3.743126499935613e-4,0.046315519032915434
Pseudodiploria196007,NA,11.087177082923011,-1.5181740914409154,0.27656972656362594,-5.489299607387266,4.0353064086211164e-8,3.295432978600435e-5
Pseudodiploria197058,NA,9.910842691046863,1.1105845284650038,0.24480514347767457,4.53660618681521,5.716671204326821e-6,0.0022231045423873803
Pseudodiploria197331,NA,29.598022401184316,1.1872843038277998,0.19907346180115099,5.964051125075353,2.4605969460867796e-9,3.349077493369614e-6
Pseudodiploria197566,NA,9.370294810497315,-1.005049531421534,0.25966231153240915,-3.8706022660361747,1.085668003510952e-4,0.021301989466230256
Pseudodiploria197583,NA,4.131015241410777,1.6076715631573808,0.3791355104928099,4.240361344859754,2.2316025009391606e-5,0.006508707794257019
Pseudodiploria197663,RNA-directed 5'-3' RNA polymerase activity,6.664284951152111,1.247974731442152,0.279029285834517,4.472558239575914,7.728934070976705e-6,0.002935736748401454
Pseudodiploria198730,NA,11.89522099640254,2.390223454306049,0.6146682680284742,3.888639740542655,1.0080762276500515e-4,0.020327048180504063
Pseudodiploria199221,NA,42.7931087056713,-3.2980962281692747,0.6504141909692097,-5.070763021413542,3.962239008733283e-7,2.813706509984379e-4
Pseudodiploria200175,cytochrome P450,17.427261805462063,1.6551048658127456,0.328202428614041,5.042939117794017,4.584351466937188e-7,2.8437785790540063e-4
Pseudodiploria200760,NA,167.54777602833997,1.0723557220575906,0.19315003465320554,5.5519312951870265,2.825306427576143e-8,2.7144546989177144e-5
Pseudodiploria200917,NA,6.843348359397944,-1.5146626441190278,0.36893250368672825,-4.10552778349173,4.033927933815235e-5,0.010425205531747323
Pseudodiploria201832,NA,2.334563959256946,1.5694205907707368,0.437199124141354,3.589715770481087,3.310387190259853e-4,0.044723206884807555
Pseudodiploria201995,protein kinase regulator activity,4.681973887830053,-1.5936495099839758,0.4461329730983695,-3.57214016017728,3.540758132484543e-4,0.04511269757998956
Pseudodiploria202916,Solute carrier family 12,6.809743191354578,1.0313825077593055,0.28042033659604293,3.677987553538439,2.3508142811693336e-4,0.03691908620609493
Pseudodiploria205124,NA,27.249125261046807,-1.067150681359313,0.24438483101243139,-4.366681339992944,1.2614856000444418e-5,0.004120768861105174
Pseudodiploria205158,NA,1.7885068212948083,-2.540883948008286,0.6808359377720038,-3.732006210370125,1.899608171118484e-4,0.031026300258878203
Pseudodiploria205213,Zinc finger protein,3.5059669311124324,1.3116508360781824,0.3586695217487213,3.6569899490849576,2.551943828787664e-4,0.03823935647301735
Pseudodiploria267186,NA,2.7130100454756807,3.527627878671992,0.8741683644939404,4.035410136025856,5.4506999185832214e-5,0.013092100260326435
Pseudodiploria293394,NA,4.346807098785049,-1.4181946641446268,0.3955956189518671,-3.584960490467872,3.371292377865897e-4,0.04476692553470219
Pseudodiploria37249,NA,6.22574855753294,-1.0809373541292027,0.28265301764852846,-3.8242554886617897,1.3116784476944666e-4,0.02434505009794741
Pseudodiploria54417,NA,12.302383620951836,2.1700198756793907,0.6141137076619895,3.533579935775962,4.099720956354151e-4,0.04789792969269699
Pseudodiploria62723,NA,3.818317913752088,1.768813727409087,0.44827376244017386,3.9458337195123057,7.952278830803934e-5,0.0177341756497826
Pseudodiploria74531,NA,4.162747383236654,1.3000348958245886,0.35719125030210724,3.6396045388150964,2.730570683146225e-4,0.04054400997075208
Pseudodiploria84865,cellular macromolecule catabolic process,3.632802527603724,4.688836093076759,0.8882374399617626,5.278809338726599,1.300260112043753e-7,1.0112927814290771e-4
Pseudodiploria95707,NA,11.57065794724707,-1.3996784476326118,0.277817089975586,-5.038129395695609,4.701036039579879e-7,2.8437785790540063e-4
